"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSINTIPAMPAEXP"
1.00,18.54,11.96,17.94,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,16.44,15.34,12.68,0.00,5.60,20.30,54.45,2.90,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.31,25.40,84.50,2.32,27.00,10.00,14.63,141.01,17.95,38.75,0.60,19.51,19.51,19.51,1.20,119.90,7.80,10.24,3.50,10.80,8.41,3.90,2.40,12.89,14.55,18.00,0.00,0.00,0.92,1.00,115.90,122.10,4.84,7.87,109.45,112.50,122.00,0.40,2.00,80.00,252.40,11.00,219.00,25.00,0.35,49.46
2.00,17.92,12.07,17.41,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,16.43,15.24,12.68,0.00,5.60,21.10,56.69,2.90,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.20,25.30,84.30,2.32,27.00,10.00,14.63,142.46,17.95,38.78,0.60,19.51,19.51,19.51,1.20,121.40,7.80,10.24,3.50,10.80,8.41,3.90,2.40,12.88,14.84,18.00,0.00,0.00,0.92,1.00,118.90,122.50,5.18,8.50,107.49,109.60,123.80,0.30,2.00,80.00,252.40,11.00,219.00,25.00,0.35,48.91
3.00,16.36,11.93,16.19,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,17.28,15.03,12.68,0.00,5.60,21.60,58.59,2.90,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,13.85,23.58,84.00,2.32,27.00,10.00,14.63,134.07,17.95,39.68,0.60,19.51,19.51,19.51,1.20,122.70,7.80,10.24,3.50,10.80,8.41,3.90,2.40,12.74,14.90,18.00,0.00,0.00,0.92,1.00,122.00,123.20,5.47,9.04,101.85,107.20,125.00,0.20,2.00,80.00,252.40,11.00,219.00,25.00,0.36,46.23
4.00,14.56,12.00,14.89,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,17.94,15.28,12.68,0.00,5.60,21.80,63.08,3.20,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,13.92,23.89,83.90,2.32,27.00,10.00,14.63,124.46,17.95,39.79,0.60,19.51,19.51,19.51,1.20,124.00,7.80,10.24,3.50,10.80,8.41,3.90,2.40,12.19,14.30,18.00,0.00,0.00,0.77,1.00,122.10,122.20,5.62,9.31,94.87,105.40,127.20,0.20,2.00,80.00,252.40,11.00,219.00,25.00,0.35,42.68
5.00,12.72,11.47,13.60,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,18.11,16.35,12.68,0.00,5.60,21.90,58.08,3.10,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.16,24.19,83.80,2.32,27.00,10.00,14.63,117.52,17.95,38.97,0.60,19.51,19.51,19.51,1.20,125.30,7.80,10.24,3.50,10.80,8.41,3.90,2.40,11.48,13.59,18.00,0.00,0.00,0.75,1.00,121.30,120.80,5.75,9.54,86.53,104.10,129.90,0.10,2.00,80.00,252.40,11.00,219.00,25.00,0.34,45.23
6.00,11.45,10.12,11.92,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,17.75,16.68,12.68,0.00,5.60,22.00,62.88,0.60,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,14.13,24.49,83.70,2.32,27.00,10.00,14.63,119.53,17.95,37.89,0.60,19.51,19.51,19.51,1.20,126.30,7.80,10.24,3.50,10.80,8.41,3.90,2.40,10.29,12.54,18.00,0.00,0.00,0.70,1.00,119.70,118.90,5.85,9.68,88.50,105.25,131.10,0.10,2.00,80.00,252.40,11.00,219.00,25.00,0.32,41.55
7.00,10.32,9.92,10.07,0.00,4.20,8.30,7.20,5.30,1.50,0.00,2.50,0.00,16.73,16.45,12.68,0.00,5.60,22.20,65.00,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,13.60,24.76,83.70,2.32,27.00,10.00,14.63,128.59,17.95,36.42,0.60,19.51,19.51,19.51,1.20,127.10,7.80,10.24,3.50,10.80,8.41,3.90,2.40,9.20,11.47,18.00,0.00,0.00,0.59,1.00,118.20,117.30,5.89,9.80,96.49,105.72,132.00,0.10,2.00,79.71,252.40,11.00,218.50,25.00,0.28,36.78
8.00,8.51,10.15,6.28,0.00,4.20,8.30,7.20,5.30,1.66,0.00,2.50,0.00,15.23,16.08,12.68,0.00,5.60,21.60,65.90,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,13.22,24.93,83.60,2.32,27.00,10.00,14.63,133.85,17.95,33.76,0.60,19.51,19.51,19.51,1.20,127.20,7.80,10.24,3.50,10.80,8.41,3.90,2.40,8.44,10.32,18.00,0.00,0.00,0.43,1.00,116.30,115.50,5.77,9.83,96.57,105.33,131.70,0.10,2.00,78.29,252.40,11.00,195.92,25.00,0.24,30.87
9.00,5.11,10.52,0.81,0.00,4.20,8.30,7.20,5.30,1.66,0.00,2.50,0.00,11.72,15.14,12.68,0.00,5.60,20.70,65.78,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,12.54,25.05,83.50,2.32,27.00,10.00,14.63,117.15,17.95,28.93,0.60,19.51,19.51,19.51,1.20,126.90,7.80,10.24,3.50,10.80,8.41,3.90,2.40,7.69,9.29,18.00,0.00,0.00,0.37,1.00,114.40,113.90,5.61,9.77,87.94,104.66,131.00,0.10,2.00,73.68,251.87,11.00,179.39,22.00,0.19,28.59
10.00,2.06,11.09,0.01,0.00,4.20,8.30,7.20,5.30,1.66,0.00,2.50,0.00,3.63,12.45,12.68,0.00,5.60,19.30,65.36,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,10.36,25.03,83.10,2.32,27.00,10.00,14.63,77.07,17.95,19.56,0.60,19.51,19.51,19.51,1.20,125.87,7.80,10.24,3.50,10.80,8.41,3.90,2.40,6.96,8.57,18.00,0.00,0.00,0.26,1.00,112.60,112.40,5.36,9.46,67.88,103.09,125.93,0.00,2.00,55.48,217.43,11.00,145.98,22.00,0.13,15.63
11.00,0.62,11.55,0.00,0.00,4.20,8.30,7.20,5.30,1.66,0.00,2.50,0.00,0.01,7.33,12.68,0.00,5.60,17.70,64.02,0.00,4.00,9.60,4.00,10.00,17.56,10.00,13.66,1.40,5.62,25.13,82.60,2.32,27.00,10.00,14.63,39.98,17.95,8.54,0.60,19.51,19.51,19.51,1.20,125.44,7.80,10.24,3.50,10.80,8.41,3.90,2.40,6.38,7.98,18.00,0.00,0.00,0.09,1.00,110.90,111.20,5.05,9.04,37.30,101.99,125.41,0.00,2.00,23.77,111.19,11.00,86.48,22.00,0.08,15.82
12.00,0.07,11.51,0.00,0.00,4.20,8.30,7.20,5.30,1.66,0.00,2.50,0.00,0.00,3.07,12.68,0.00,5.60,16.10,65.07,0.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,1.42,25.59,80.35,2.32,27.00,10.00,14.63,14.27,17.95,2.60,0.60,19.51,19.51,19.51,1.20,124.57,7.80,10.24,3.50,10.80,8.41,3.70,2.40,6.24,7.79,18.00,0.00,0.00,0.04,1.00,110.90,111.10,4.55,8.27,12.77,102.26,123.35,0.00,2.00,7.93,21.09,11.00,26.16,22.00,0.03,0.76
13.00,0.00,10.93,0.00,0.00,4.20,8.30,7.20,5.30,1.66,0.00,2.50,0.00,0.00,0.80,12.68,0.00,5.60,14.50,62.11,6.90,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.18,26.01,80.29,2.32,27.00,10.00,14.63,2.40,17.95,0.37,0.60,19.51,19.51,19.51,1.20,122.62,7.80,10.24,3.50,10.80,8.41,3.70,2.40,5.92,7.49,18.00,0.00,0.00,0.00,1.00,111.40,111.40,4.11,7.50,1.93,101.97,119.64,0.00,2.00,1.23,4.69,11.00,3.11,22.00,0.00,7.82
14.00,0.00,11.60,0.00,0.00,4.20,8.30,7.20,5.30,1.66,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,13.58,62.35,8.10,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,26.27,79.54,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,117.44,7.80,10.24,3.50,10.80,8.41,3.70,2.40,5.03,6.85,18.00,0.00,0.00,0.00,1.00,109.60,110.40,3.81,6.72,0.00,99.94,111.02,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
15.00,0.00,13.06,0.00,0.00,4.20,8.30,7.20,5.30,1.66,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,13.14,57.38,8.10,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,26.49,78.80,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,109.74,7.80,10.24,3.50,10.80,8.41,3.70,2.40,4.34,6.34,18.00,0.00,0.00,0.00,1.00,107.00,108.80,3.54,5.98,0.00,97.63,100.65,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
16.00,0.00,11.60,0.00,0.00,4.20,8.30,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,12.40,51.82,8.10,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,26.62,78.10,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,94.50,7.80,10.24,3.50,10.80,8.41,3.70,2.40,4.21,6.24,18.00,0.00,0.00,0.00,1.00,101.60,106.10,3.35,5.39,0.00,94.47,85.02,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
17.00,0.00,10.58,0.00,0.00,4.20,8.30,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,11.49,46.58,8.10,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,26.51,76.90,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,80.15,7.80,10.24,3.50,10.80,8.41,3.70,2.40,4.09,6.17,18.00,0.00,0.00,0.00,1.00,95.30,102.80,3.14,4.72,0.00,91.92,69.88,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
18.00,0.00,10.41,0.00,0.00,4.20,8.30,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,10.06,42.33,8.10,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,25.73,74.21,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,68.49,7.80,10.24,3.50,10.80,8.41,3.70,2.40,4.00,6.19,18.00,0.00,0.00,0.00,1.00,88.30,98.00,2.82,3.80,0.00,91.20,56.21,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
19.00,0.00,11.03,0.00,0.00,4.20,8.30,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,8.74,38.03,8.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,25.09,72.10,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,57.61,7.80,10.24,3.50,10.80,8.41,3.70,2.40,4.08,6.49,18.00,0.00,0.00,0.00,1.00,81.20,92.50,2.53,3.02,0.00,90.45,44.22,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
20.00,0.00,11.97,0.00,0.00,4.20,8.30,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,7.79,33.56,5.90,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,24.88,71.71,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,49.03,7.80,10.24,3.50,10.80,8.41,3.70,2.40,4.70,7.64,18.00,0.00,0.00,0.00,1.00,73.10,86.40,2.35,2.67,0.00,89.60,37.29,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
21.00,0.00,13.30,0.00,0.00,4.20,8.30,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,7.35,29.84,5.40,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,24.58,70.61,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,49.03,7.80,10.24,3.50,10.80,8.41,3.70,2.40,5.38,8.73,18.00,0.00,0.00,0.00,1.00,64.60,80.10,2.14,2.36,0.00,88.61,35.00,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
22.00,0.00,13.26,0.00,0.00,4.20,8.30,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,8.46,28.37,0.90,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,24.00,67.41,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,49.03,7.80,10.24,3.50,10.80,8.41,3.70,2.40,6.31,9.69,18.00,0.00,0.00,0.00,1.00,58.90,75.20,1.88,2.15,0.00,87.19,37.00,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
23.00,0.00,13.60,0.00,0.00,4.20,8.30,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,9.54,27.40,0.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,23.28,64.00,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,42.00,7.80,10.24,3.50,10.80,8.41,3.70,2.40,7.10,10.48,18.00,0.00,0.00,0.00,1.00,54.00,70.80,1.63,1.93,0.00,85.96,36.00,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
24.00,0.00,13.72,0.00,0.00,4.20,8.30,7.20,5.30,1.72,0.00,2.50,0.00,0.00,0.00,12.68,0.00,5.60,10.54,27.97,0.00,4.00,15.41,4.00,10.00,17.56,10.00,13.66,1.40,0.00,22.13,60.02,2.32,27.00,10.00,14.63,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,39.57,7.80,10.24,3.50,10.80,8.41,3.70,2.40,7.51,10.76,18.00,0.00,0.00,0.00,1.00,49.00,66.80,1.41,1.64,0.00,85.29,35.00,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
