"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
11.00,0.00,23.01,0.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.00,0.00,3.10,2.50,7.40,15.10,23.80,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.00,14.30,25.30,0.00,28.20,3.50,10.95,0.00,14.49,0.00,0.60,3.50,3.00,3.00,2.30,36.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,8.25,9.50,0.00,0.71,43.70,65.90,15.07,8.63,0.00,45.27,45.00,0.20,0.98,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.12
12.00,0.03,22.85,0.05,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.03,0.00,3.10,2.50,7.40,15.93,22.40,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.00,14.70,26.30,0.00,28.30,3.50,10.95,0.00,14.49,0.17,0.60,3.50,3.00,3.00,2.30,38.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,8.41,9.50,0.00,0.71,43.50,66.90,15.07,8.63,0.00,42.63,48.00,0.30,0.97,0.30,0.00,5.00,0.46,12.14,0.00,0.00,0.00,0.79
13.00,1.08,22.71,0.87,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,0.83,0.00,0.00,2.50,7.40,16.07,21.50,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.04,14.90,26.70,0.00,28.30,3.50,10.93,6.00,14.49,2.02,0.60,3.50,3.00,3.00,2.30,41.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,8.23,9.50,0.04,0.70,45.30,66.40,15.08,8.63,4.32,41.59,53.00,0.30,0.96,4.80,0.92,5.00,9.07,12.14,0.00,0.00,1.65,0.90
14.00,2.73,22.76,2.58,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,2.91,0.18,0.00,2.50,7.40,15.83,20.60,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,0.55,15.20,27.00,0.00,28.30,3.50,10.92,24.00,14.49,8.13,0.60,3.50,3.00,3.00,2.30,44.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,8.97,9.50,0.07,0.70,47.20,65.80,15.08,8.63,17.28,42.26,59.00,0.30,0.96,20.60,21.69,5.00,69.66,12.14,0.03,4.27,39.96,1.57
15.00,4.00,23.00,4.42,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,5.65,1.47,0.00,2.50,7.40,17.73,23.00,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,1.65,14.90,26.80,0.00,28.30,3.50,10.91,53.00,14.49,17.67,0.60,3.50,3.00,3.00,2.30,46.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,3.16,9.45,9.50,0.08,0.71,48.80,64.60,15.09,8.63,38.16,41.03,60.00,0.40,0.95,43.80,91.16,5.00,129.85,12.14,0.08,16.65,69.66,5.30
16.00,7.37,22.75,7.00,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,6.55,3.04,0.00,2.50,7.40,18.71,25.40,0.00,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,2.14,14.60,26.60,0.00,28.20,3.50,11.18,89.00,14.49,25.47,0.60,3.50,3.00,3.00,2.30,44.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,1.66,9.09,8.40,0.12,0.69,50.40,63.40,15.09,8.63,64.08,41.26,58.00,0.40,0.95,60.60,159.60,5.00,161.29,12.14,0.14,31.02,81.91,11.60
17.00,8.47,22.59,8.55,13.53,4.50,7.50,3.30,6.90,1.90,0.00,3.50,14.49,7.43,5.13,0.00,2.50,7.40,19.56,29.60,3.30,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,3.39,14.20,26.80,0.00,28.00,3.50,11.75,113.00,14.49,28.75,0.60,3.50,3.00,3.00,2.30,44.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,3.16,9.49,0.10,0.58,0.69,51.00,59.50,16.45,10.10,81.36,41.91,56.00,0.40,0.94,67.10,201.13,5.00,163.67,12.14,0.20,43.79,78.10,11.73
18.00,11.31,22.30,10.92,13.53,4.50,7.50,3.30,6.90,2.00,0.00,3.50,14.49,7.92,9.27,0.00,2.50,7.40,19.88,33.90,3.70,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,5.49,13.90,27.00,0.00,27.80,3.50,11.76,122.00,14.49,29.75,0.60,3.50,3.00,3.00,2.30,45.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,5.27,10.57,0.00,0.79,0.69,51.60,55.50,16.45,10.10,87.84,42.26,57.00,0.40,0.94,69.10,213.57,5.00,164.37,12.14,0.26,47.49,76.77,11.96
19.00,12.06,22.53,11.98,13.53,4.50,7.50,3.30,6.90,2.00,0.00,3.50,14.49,9.10,13.00,0.00,2.50,7.40,20.19,38.30,3.70,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,8.68,13.60,28.70,0.00,27.60,3.50,11.76,125.00,14.49,30.03,0.60,3.50,3.00,3.00,2.30,46.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,5.27,10.89,0.00,0.98,0.68,52.70,54.40,15.10,8.63,90.00,41.29,58.00,0.30,0.93,69.50,217.60,5.00,165.90,12.14,0.32,48.48,78.15,12.49
20.00,14.11,21.73,13.77,13.53,4.50,7.50,3.30,6.90,2.00,0.00,3.50,14.49,9.58,14.93,0.00,2.50,7.40,20.02,42.70,3.70,5.30,6.00,2.50,17.39,9.90,3.50,5.00,1.50,11.46,13.30,30.40,0.00,27.30,3.50,11.76,124.00,14.49,30.05,0.60,3.50,3.00,3.00,2.30,47.00,4.80,5.00,1.80,10.43,8.12,3.80,2.30,8.00,11.86,0.00,1.10,0.68,53.80,53.40,15.10,8.63,89.28,41.14,60.00,0.20,0.93,69.40,219.85,5.00,166.81,12.14,0.35,48.79,79.26,12.61
