"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CS INTIPAMPA EXPANSION","CS COENERGY"
1.00,12.74,12.97,13.43,14.00,4.20,8.50,6.00,7.30,1.50,0.00,2.50,0.00,18.37,18.55,17.56,0.00,5.60,23.44,76.10,3.10,2.50,10.00,3.80,17.56,14.24,12.68,15.61,1.40,15.45,22.67,64.50,2.20,24.90,19.51,18.05,144.48,18.05,39.19,0.60,19.51,19.51,19.51,1.20,116.90,9.00,19.51,6.00,10.80,8.23,5.00,2.40,12.09,13.27,18.90,0.75,1.00,96.70,97.40,5.15,8.12,109.68,62.80,110.90,0.10,2.00,80.00,252.40,11.00,203.97,24.00,22.00,0.34
2.00,11.43,12.85,11.73,14.00,4.20,8.50,6.00,7.30,1.50,0.00,2.50,0.00,17.80,18.26,17.56,0.00,5.60,24.28,75.80,3.60,2.50,10.00,3.80,17.56,14.24,12.68,15.61,1.40,15.25,22.37,63.60,2.20,25.10,19.51,18.05,143.70,18.05,36.51,0.60,19.51,19.51,19.51,1.20,118.60,9.00,19.51,6.00,10.80,8.23,5.00,2.40,12.54,13.67,18.90,0.70,1.00,93.10,93.90,4.92,7.83,107.16,65.20,117.90,0.10,2.00,79.79,252.40,11.00,203.38,24.00,30.00,0.31
3.00,10.36,12.70,10.02,14.00,4.20,8.50,6.00,7.30,1.50,0.00,2.50,0.00,16.53,17.77,17.56,0.00,5.60,24.78,75.50,3.00,2.50,10.00,3.80,17.56,14.24,12.68,15.61,1.40,14.70,22.03,67.80,2.20,25.20,19.51,18.05,140.01,18.05,32.92,0.60,19.51,19.51,19.51,1.20,120.50,9.00,19.51,6.00,10.80,8.23,5.00,2.40,12.91,14.03,18.90,0.59,1.00,88.80,89.80,4.65,7.50,102.89,62.20,120.20,0.10,2.00,79.09,252.40,11.00,200.97,24.00,13.00,0.26
4.00,8.63,12.59,7.66,14.00,4.20,8.50,6.00,7.30,1.66,0.00,2.50,0.00,14.95,16.95,17.56,0.00,5.60,24.25,75.50,3.10,2.50,10.00,3.80,17.56,14.24,12.68,15.61,1.40,13.71,21.60,66.60,2.20,25.30,19.51,18.05,134.43,18.05,30.53,0.60,19.51,19.51,19.51,1.20,121.40,9.00,19.51,6.00,10.80,8.23,5.00,2.40,13.08,14.32,18.90,0.43,1.00,85.80,87.00,4.23,7.05,97.68,64.20,121.30,0.10,2.00,76.85,252.40,11.00,192.11,24.00,9.00,0.20
5.00,5.35,12.54,3.30,14.00,4.20,8.50,6.00,7.30,1.66,0.00,2.50,0.00,11.50,15.53,17.56,0.00,5.60,23.88,75.60,3.20,2.50,10.00,3.80,17.56,14.24,12.68,15.61,1.40,12.34,21.15,65.30,2.20,25.40,19.51,18.05,113.16,18.05,26.01,0.60,19.51,19.51,19.51,1.20,121.90,9.00,19.51,6.00,10.80,8.23,5.00,2.40,13.12,14.44,18.90,0.37,1.00,83.20,84.80,3.87,6.62,87.17,61.20,122.10,0.10,2.00,69.34,251.72,11.00,173.68,24.00,4.00,0.14
6.00,2.33,12.52,0.37,14.00,4.20,8.50,6.00,7.30,1.66,0.00,2.50,0.00,2.57,12.43,17.56,0.00,5.60,23.93,75.30,3.20,2.50,10.00,3.80,17.56,14.24,12.68,15.61,1.40,9.57,20.66,63.30,2.20,25.60,19.51,18.05,73.27,18.05,16.75,0.60,19.51,19.51,19.51,1.20,121.60,9.00,19.51,6.00,10.80,8.23,5.00,2.40,12.79,14.04,18.90,0.25,1.00,80.70,83.70,3.67,6.26,64.21,69.40,122.00,0.00,2.00,49.04,222.99,11.00,136.42,24.00,2.00,0.08
7.00,0.70,12.15,0.00,14.00,4.20,8.50,6.00,7.30,1.66,0.00,2.50,0.00,0.01,7.34,17.56,0.00,5.60,23.64,74.90,3.00,2.50,10.00,3.80,17.56,14.24,12.68,15.61,1.40,4.65,20.20,60.90,2.20,25.80,19.51,18.05,33.95,18.05,7.40,0.60,19.51,19.51,19.51,1.20,121.00,9.00,19.51,6.00,10.80,8.23,5.00,2.40,12.42,13.61,18.90,0.09,1.00,78.30,83.00,3.42,5.79,31.53,68.10,121.70,0.00,2.00,19.37,100.24,11.00,74.60,24.00,0.00,0.04
8.00,0.11,12.07,0.00,14.00,4.20,8.50,6.00,7.30,1.66,0.00,2.50,0.00,0.00,3.04,17.56,0.00,5.60,22.29,74.00,6.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.94,19.84,57.00,2.20,25.90,19.51,18.05,10.60,18.05,1.89,0.60,19.51,19.51,19.51,1.20,119.90,9.00,19.51,6.00,10.80,8.23,5.00,2.40,11.87,13.09,18.90,0.04,1.00,76.10,82.70,3.01,4.97,9.62,67.40,120.10,0.00,2.00,6.71,18.17,11.00,21.18,24.00,0.00,0.00
9.00,0.00,11.40,0.00,14.00,4.20,8.50,6.00,7.30,1.66,0.00,2.50,0.00,0.00,0.67,17.56,0.00,5.60,20.92,72.90,8.90,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.09,19.33,52.60,2.20,26.10,19.51,18.05,1.59,18.05,0.19,0.60,19.51,19.51,19.51,1.20,118.60,9.00,19.51,6.00,10.80,8.23,5.00,2.40,11.32,12.57,18.90,0.00,1.00,74.00,82.70,2.63,4.26,1.24,67.00,118.10,0.00,2.00,1.15,3.63,11.00,2.67,24.00,0.00,0.00
10.00,0.00,11.29,0.00,14.00,4.20,8.50,6.00,7.30,1.66,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,19.47,71.00,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,18.43,51.10,2.20,26.20,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,113.10,9.00,19.51,6.00,10.80,8.23,5.00,2.40,10.76,12.01,18.90,0.00,1.00,73.80,83.60,2.32,3.88,0.00,65.90,107.90,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
11.00,0.00,11.33,0.00,14.00,4.20,8.50,6.00,7.30,1.66,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,18.13,68.90,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,17.51,50.70,2.20,26.40,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,106.30,9.00,19.51,6.00,10.80,8.23,5.00,2.40,10.14,11.42,18.90,0.00,1.00,74.30,84.80,2.11,3.59,0.00,64.60,95.10,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
12.00,0.00,11.32,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,17.14,65.10,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,16.53,49.40,2.20,26.40,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,96.50,9.00,19.51,6.00,10.80,8.23,5.00,2.40,9.37,10.73,18.90,0.00,1.00,74.80,85.60,2.17,3.63,0.00,62.40,83.30,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
13.00,0.00,11.77,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,16.28,60.80,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,15.57,47.80,2.20,26.50,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,85.70,9.00,19.51,6.00,10.80,8.23,5.00,2.40,8.59,10.02,18.90,0.00,1.00,75.30,86.20,2.22,3.59,0.00,59.80,71.80,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
14.00,0.00,11.42,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,15.79,55.70,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,14.66,44.80,2.20,26.60,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,74.40,9.00,19.51,6.00,10.80,8.23,5.00,2.40,7.79,9.25,18.90,0.00,1.00,74.90,85.60,2.20,3.32,0.00,56.50,60.70,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
15.00,0.00,11.36,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,15.39,50.20,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,14.01,41.30,2.20,26.60,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,63.00,9.00,19.51,6.00,10.80,8.23,5.00,2.40,7.07,8.52,18.90,0.00,1.00,74.10,84.70,2.19,3.09,0.00,53.00,49.70,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
16.00,0.00,11.42,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,15.29,47.50,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,14.13,38.90,2.20,26.60,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,61.00,9.00,19.51,6.00,10.80,8.23,5.00,2.40,6.62,7.91,18.90,0.00,1.00,71.10,82.90,2.21,2.99,0.00,51.00,43.30,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
