"ETAPA \ GENERADOR","KALLPACC123GAS","CHILCA1CC123GAS","OLLEROSTG1GAS","STAROSA TG8 GAS","FENIXCCGT11GT12GAS","VENTCC34GASFD"
1.00,0.00,0.00,0.00,0.00,125.89,0.00
2.00,0.00,0.00,0.00,0.00,116.80,0.00
3.00,0.00,0.00,0.00,0.00,113.69,0.00
4.00,0.00,0.00,0.00,0.00,125.41,0.00
5.00,0.00,0.00,0.00,0.00,127.60,0.00
6.00,0.00,0.00,0.00,0.00,127.60,0.00
7.00,0.00,0.00,0.00,0.00,125.88,0.00
8.00,0.00,0.00,0.00,0.00,125.90,0.00
9.00,0.00,0.00,0.00,0.00,125.88,0.00
10.00,0.00,0.00,0.00,0.00,125.89,0.00
11.00,0.00,0.00,0.00,0.00,127.60,0.00
12.00,0.00,0.00,0.00,0.00,127.60,0.00
13.00,0.00,0.00,0.00,0.00,127.25,0.00
14.00,0.00,0.00,0.00,0.00,127.25,0.00
15.00,0.00,0.00,0.00,0.00,127.60,0.00
16.00,0.00,0.00,0.00,0.00,127.60,0.00
17.00,0.00,0.00,0.00,0.00,127.60,0.00
18.00,0.00,0.00,0.00,0.00,127.60,0.00
19.00,0.00,0.00,0.00,0.00,127.60,0.00
20.00,0.00,0.00,0.00,0.00,127.60,0.00
21.00,0.00,0.00,0.00,0.00,127.60,0.00
22.00,0.00,0.00,0.00,0.00,127.60,0.00
23.00,0.00,0.00,0.00,0.00,127.60,0.00
24.00,0.00,0.00,0.00,0.00,127.60,0.00
25.00,0.00,0.00,0.00,0.00,127.60,0.00
26.00,0.00,0.00,0.00,0.00,127.60,0.00
27.00,132.08,0.00,0.00,0.00,78.91,0.00
28.00,204.59,0.00,0.00,0.00,0.00,0.00
29.00,104.93,0.00,0.00,0.00,117.07,0.00
30.00,104.93,0.00,0.00,0.00,117.07,0.00
31.00,159.30,0.00,0.00,0.00,0.00,0.00
32.00,204.40,0.00,0.00,0.00,0.00,0.00
33.00,208.28,0.00,0.00,0.00,0.00,0.00
34.00,146.93,0.00,0.00,0.00,75.07,0.00
35.00,210.21,0.00,0.00,0.00,0.00,0.00
36.00,210.16,0.00,0.00,0.00,0.00,0.00
37.00,202.30,0.00,0.00,0.00,0.00,0.00
38.00,159.75,0.00,0.00,0.00,0.00,0.00
39.00,185.50,0.00,0.00,0.00,0.00,0.00
40.00,154.77,0.00,0.00,0.00,0.00,0.00
41.00,153.18,0.00,0.00,0.00,0.00,0.00
42.00,146.74,0.00,0.00,0.00,0.00,0.00
43.00,185.36,0.00,0.00,0.00,0.00,0.00
44.00,159.99,0.00,0.00,0.00,0.00,0.00
45.00,175.17,0.00,0.00,0.00,0.00,0.00
46.00,175.08,0.00,0.00,0.00,0.00,0.00
47.00,186.00,0.00,0.00,0.00,0.00,0.00
48.00,174.89,0.00,0.00,0.00,0.00,0.00
