"ETAPA","G. HIDRO","G. TERMICA","G. RER Y NO COES","EXCESO","DEFICIT","DEMANDA","PERDIDAS"
1.00,3844.04,1750.85,826.92,0.00,0.00,6239.08,182.74
2.00,3722.67,1900.85,749.31,0.00,0.00,6189.21,183.62
3.00,3647.25,1920.85,735.00,0.00,0.00,6121.03,182.08
4.00,3603.73,1889.86,726.14,0.00,0.00,6040.72,179.00
5.00,3457.59,1890.86,716.65,0.00,0.00,5891.59,173.51
6.00,3499.10,1890.86,707.25,0.00,0.00,5920.91,176.30
7.00,3456.56,1890.86,699.19,0.00,0.00,5872.44,174.17
8.00,3520.24,1905.86,677.48,0.00,0.00,5926.11,177.47
9.00,3507.34,1905.86,672.82,0.00,0.00,5909.14,176.88
10.00,3559.30,1935.86,665.89,0.00,0.00,5981.13,179.91
11.00,3649.32,1965.86,669.30,0.00,0.00,6102.90,181.58
12.00,3530.32,1979.85,723.04,0.00,0.00,6059.52,173.70
13.00,3820.44,1938.85,815.19,0.00,0.00,6395.10,179.38
14.00,3701.54,2038.85,910.59,0.00,0.00,6481.62,169.36
15.00,3840.68,2038.85,985.11,0.00,0.00,6688.08,176.56
16.00,3812.92,2137.68,1026.22,0.00,0.00,6800.08,176.74
17.00,3846.90,2336.99,1049.49,0.00,0.00,7047.12,186.25
18.00,3916.09,2391.70,1074.37,0.00,0.00,7194.63,187.53
19.00,3934.81,2412.36,1091.57,0.00,0.00,7250.59,188.14
20.00,3931.91,2478.87,1115.56,0.00,0.00,7335.26,191.08
21.00,3924.08,2596.04,1139.17,0.00,0.00,7465.18,194.11
22.00,3938.56,2619.12,1161.15,0.00,0.00,7523.76,195.07
23.00,3983.69,2609.96,1175.85,0.00,0.00,7569.01,200.48
24.00,3962.49,2582.45,1195.21,0.00,0.00,7539.21,200.93
25.00,3908.89,2530.11,1233.96,0.00,0.00,7473.14,199.82
26.00,3796.13,2517.76,1275.94,0.00,0.00,7394.36,195.47
27.00,3788.48,2445.17,1298.89,0.00,0.00,7344.86,187.68
28.00,3841.93,2478.98,1305.84,0.00,0.00,7451.42,175.33
29.00,3864.10,2558.63,1316.16,0.00,0.00,7543.06,195.83
30.00,3911.54,2558.52,1311.78,0.00,0.00,7585.97,195.87
31.00,3993.92,2501.38,1294.34,0.00,0.00,7593.70,195.93
32.00,4030.65,2455.25,1258.95,0.00,0.00,7548.71,196.13
33.00,4059.00,2471.80,1181.73,0.00,0.00,7512.21,200.33
34.00,3981.98,2454.17,1059.07,0.00,0.00,7290.87,204.36
35.00,3985.94,2433.80,953.50,0.00,0.00,7158.45,214.78
36.00,4041.92,2361.10,912.82,0.00,0.00,7106.85,208.99
37.00,4155.38,2520.02,904.51,0.00,0.00,7360.60,219.32
38.00,4103.01,2673.48,899.78,0.00,0.00,7450.03,226.24
39.00,4212.19,2579.06,892.16,0.00,0.00,7457.85,225.56
40.00,4174.95,2622.42,874.72,0.00,0.00,7446.47,225.61
41.00,4170.43,2622.46,856.61,0.00,0.00,7425.68,223.82
42.00,4153.30,2628.78,837.45,0.00,0.00,7395.83,223.70
43.00,4174.06,2579.25,817.84,0.00,0.00,7349.91,221.24
44.00,4093.93,2583.40,797.43,0.00,0.00,7263.90,210.86
45.00,4125.34,2506.48,775.14,0.00,0.00,7199.26,207.70
46.00,4040.21,2418.19,767.87,0.00,0.00,7022.02,204.25
47.00,3971.36,2282.02,759.48,0.00,0.00,6809.63,203.23
48.00,3964.74,2158.48,747.35,0.00,0.00,6670.53,200.04
