"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
16.00,0.00,23.69,0.00,17.00,4.20,0.00,9.70,19.22,0.00,0.70,3.50,0.00,18.37,16.48,18.05,0.00,8.00,16.24,59.98,6.60,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,13.46,23.20,77.20,3.10,0.00,19.51,19.32,117.07,9.20,33.25,0.00,20.00,19.51,19.51,2.40,56.50,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,13.30,15.00,18.00,0.00,0.00,1.04,1.23,67.28,72.78,9.29,7.88,89.91,101.30,59.40,0.40,2.00,0.00,0.00
17.00,0.00,23.74,0.00,17.00,4.20,0.00,9.70,19.22,0.00,0.70,3.50,0.00,15.62,16.60,18.05,0.00,8.00,16.77,65.34,5.70,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,13.35,23.30,79.30,3.10,0.00,19.51,19.32,117.82,9.20,32.93,0.00,20.00,19.51,19.51,2.40,70.90,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,13.20,14.90,18.00,0.00,0.00,1.03,1.23,70.88,75.80,10.35,8.56,90.10,104.10,72.40,0.40,2.00,0.00,0.00
18.00,0.00,23.67,0.00,17.00,4.20,0.00,9.70,19.22,0.00,0.70,3.50,0.00,16.08,16.95,18.05,0.00,8.00,17.47,68.98,5.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,13.56,23.90,80.90,3.10,0.00,19.51,19.32,119.09,9.20,33.11,0.00,20.00,19.51,19.51,2.40,80.30,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,12.50,14.20,18.00,0.00,0.00,1.02,1.23,74.38,78.88,11.33,9.08,89.64,106.60,82.60,0.40,2.00,0.00,0.00
19.00,0.00,23.50,0.00,17.00,4.20,0.00,9.70,19.22,0.00,0.70,3.50,0.00,16.93,16.83,18.05,0.00,8.00,17.38,69.96,5.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,12.89,24.60,82.10,3.10,0.00,19.51,19.32,118.47,9.20,34.03,0.00,20.00,19.51,19.51,2.40,88.00,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,11.70,13.40,18.00,0.00,0.00,1.02,1.23,77.13,81.18,11.77,9.41,89.51,109.10,92.00,0.30,2.00,0.00,0.00
20.00,0.00,23.49,0.00,17.00,4.20,0.00,9.70,19.22,0.00,0.70,3.50,0.00,15.44,16.70,18.05,0.00,8.00,17.04,70.05,5.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,13.01,24.90,82.80,3.10,0.00,19.51,19.32,116.90,9.20,34.45,0.00,20.00,19.51,19.51,2.40,95.10,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,11.20,12.50,18.00,0.00,0.00,0.87,1.23,79.63,83.22,12.03,9.67,88.08,110.10,99.10,0.20,2.00,0.00,0.00
21.00,0.00,23.35,0.00,17.00,4.20,0.00,9.70,19.22,0.00,0.70,3.50,0.00,17.45,16.32,18.05,0.00,8.00,17.44,71.04,3.80,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,13.28,25.10,83.20,3.10,0.00,19.51,19.32,113.13,9.20,35.48,0.00,20.00,19.51,19.51,2.40,101.90,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,10.80,11.50,18.00,0.00,0.00,0.84,1.23,81.91,85.48,12.15,10.02,85.43,110.70,105.30,0.20,2.00,0.00,0.00
22.00,0.00,23.40,0.00,17.00,4.20,0.00,9.70,19.22,0.00,0.70,3.50,0.00,17.57,15.43,18.05,0.00,8.00,18.08,72.33,3.80,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,12.96,25.50,83.60,3.10,0.00,19.51,19.32,106.85,9.20,34.50,0.00,20.00,19.51,19.51,2.40,108.40,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,10.40,10.90,18.00,0.00,0.00,0.79,1.23,84.11,87.81,12.22,10.41,80.77,111.90,110.00,0.10,2.00,0.00,0.00
23.00,0.00,23.54,0.00,17.00,4.20,0.00,9.70,19.22,0.00,0.70,3.50,0.00,14.43,14.91,18.05,0.00,8.00,18.48,72.12,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,11.87,25.90,84.10,3.10,0.00,19.51,19.32,99.49,9.20,32.03,0.00,20.00,19.51,19.51,2.40,114.80,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,10.00,10.30,18.00,0.00,0.00,0.66,1.23,86.33,89.72,12.33,10.62,74.73,113.20,114.20,0.10,2.00,0.00,0.00
24.00,0.00,23.64,0.00,17.00,4.20,0.00,9.70,19.22,0.00,0.70,3.50,0.00,10.42,11.72,18.05,0.00,8.00,18.79,71.40,8.10,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,9.49,26.20,84.00,3.10,0.00,19.51,19.32,48.10,9.20,22.79,0.00,20.00,19.51,19.51,2.40,116.30,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,9.20,9.50,18.00,0.00,0.00,0.48,1.23,85.00,91.49,12.46,10.77,37.54,115.20,114.40,0.10,2.00,0.00,0.00
25.00,9.40,23.40,5.73,17.00,4.20,7.60,9.70,19.22,0.00,0.70,3.50,0.00,6.01,6.15,18.05,0.00,8.00,18.18,69.62,8.00,10.54,14.44,5.00,19.32,19.32,19.51,19.51,0.00,4.70,26.50,83.80,3.10,0.00,19.51,19.32,28.38,9.20,6.43,0.00,20.00,19.51,19.51,2.40,116.10,12.88,19.51,19.51,8.40,0.00,0.00,0.00,2.40,8.20,8.50,18.00,0.00,0.00,0.41,1.23,85.00,91.93,12.33,10.72,25.25,117.40,113.30,0.10,2.00,18.15,0.00
