"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE"
1.00,11.73,17.22,12.38,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,17.92,18.77,17.56,0.00,0.00,16.31,24.50,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,15.92,21.87,62.09,2.10,28.12,13.66,18.05,144.48,18.05,38.42,0.60,19.51,19.51,19.51,2.40,70.40,11.22,9.80,3.50,10.80,6.83,7.60,2.40,1.02,0.91,18.00,0.00,0.00,0.00,1.23,83.80,103.10,2.58,4.19,110.40,84.30,82.90,0.20,2.00,79.85,241.30,11.00,202.09,23.00
2.00,13.22,17.33,14.00,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,17.92,18.73,17.56,0.00,0.00,16.11,24.50,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,15.95,22.23,64.23,2.10,28.12,13.66,18.05,144.48,18.05,38.69,0.60,19.51,19.51,19.51,2.40,79.40,11.22,9.80,3.50,10.80,6.83,7.50,2.40,0.94,0.88,18.00,0.00,0.00,0.00,1.23,86.80,101.50,3.38,5.05,111.38,89.10,92.80,0.20,1.96,79.99,247.33,11.00,203.90,23.00
3.00,14.86,15.19,15.41,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,17.92,18.60,17.56,0.00,0.00,15.91,24.50,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,15.90,22.42,66.64,2.10,28.12,13.66,18.05,144.39,18.05,38.89,0.60,19.51,19.51,19.51,2.40,91.40,11.22,9.80,3.50,10.80,6.83,7.50,2.40,0.81,0.80,18.00,0.00,0.00,0.00,1.23,89.40,100.20,4.12,6.10,111.93,92.50,100.00,0.30,2.00,80.00,250.56,11.00,204.00,23.00
4.00,16.18,14.39,16.64,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,18.30,18.58,17.56,0.00,0.00,15.72,24.50,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,15.89,22.56,69.13,2.10,28.12,13.66,18.05,144.22,18.05,38.94,0.60,19.51,19.51,19.51,2.40,101.70,11.22,9.80,3.50,10.80,6.83,7.50,2.40,0.66,0.69,18.00,0.00,0.00,0.00,1.23,91.40,98.70,4.84,7.20,112.12,94.90,106.50,0.30,2.00,80.00,251.82,11.00,204.00,23.00
5.00,17.18,14.37,17.65,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,18.57,18.55,17.56,0.00,0.00,15.69,25.00,1.40,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,15.91,22.62,70.04,2.10,28.12,13.66,18.05,143.95,18.05,38.94,0.60,19.51,19.51,19.51,2.40,107.30,11.22,9.80,3.50,10.80,6.83,7.50,2.40,0.92,0.89,18.00,0.00,0.00,0.00,1.23,91.40,97.00,5.27,8.10,112.18,95.10,111.10,0.30,2.00,80.00,252.36,11.00,204.00,23.00
6.00,17.68,14.17,18.16,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,18.44,18.47,17.56,0.00,0.00,16.17,25.00,3.10,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,15.94,22.65,70.42,2.10,28.12,13.66,18.05,143.67,18.05,38.91,0.60,19.51,19.51,19.51,2.40,111.70,11.22,9.80,3.50,10.80,6.83,7.50,2.40,1.31,1.19,18.00,0.00,0.00,0.00,1.23,90.90,94.60,5.60,8.93,112.15,95.40,114.60,0.40,2.00,80.00,252.40,11.00,204.00,23.00
7.00,17.64,13.31,18.10,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,18.06,18.43,17.56,0.00,0.00,16.64,30.00,3.10,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,15.92,22.35,71.14,2.10,28.12,13.66,18.05,134.08,18.05,38.59,0.60,19.51,19.51,19.51,2.40,113.10,11.22,9.80,3.50,10.80,6.83,7.50,2.40,1.69,1.46,18.00,0.00,0.00,0.00,1.23,88.70,90.60,5.72,9.19,111.90,96.30,116.90,0.40,2.00,80.00,252.23,11.00,204.00,23.00
8.00,17.42,13.07,17.80,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,17.35,18.43,17.56,0.00,0.00,17.12,33.00,3.10,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,15.91,21.95,71.96,2.10,28.12,13.66,18.05,139.47,18.05,38.10,0.60,19.51,19.51,19.51,2.40,114.30,11.22,9.80,3.50,10.80,6.83,7.50,2.40,2.08,1.73,18.00,0.00,0.00,0.00,1.23,86.30,86.50,5.76,9.28,111.33,96.50,118.90,0.40,2.00,80.00,252.31,11.00,204.00,23.00
9.00,16.87,12.36,17.15,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,17.30,18.29,17.56,0.00,0.00,17.60,40.00,0.50,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,15.83,21.80,72.38,2.10,28.12,13.66,18.05,141.54,18.05,37.65,0.60,19.51,19.51,19.51,2.40,115.30,11.22,9.80,3.50,10.80,6.83,7.50,2.40,3.50,3.30,18.00,0.00,0.00,0.00,1.23,86.40,85.00,5.82,9.44,110.69,95.10,120.50,0.40,2.00,80.00,252.39,11.00,204.00,23.00
10.00,15.67,11.91,16.02,14.00,1.45,7.50,5.80,5.50,1.50,0.40,3.30,20.00,17.88,17.91,17.56,0.00,0.00,18.08,45.00,0.00,0.00,0.00,2.50,17.95,14.05,13.66,17.56,1.40,15.62,21.72,72.66,2.10,28.12,13.66,18.05,141.68,18.05,37.53,0.60,19.51,19.51,19.51,2.40,116.40,11.22,9.80,3.50,10.80,6.83,7.50,2.40,5.27,5.31,18.00,0.00,0.00,0.00,1.23,86.30,83.70,5.88,9.62,110.28,93.60,122.20,0.30,2.00,80.00,252.40,11.00,204.00,23.00
