"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASAGRANDETV1","CTCASAGRANDETV3"
11.00,17.72,13.38,18.47,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,17.41,18.79,18.05,0.00,0.00,19.50,66.21,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,16.00,12.30,46.10,2.20,27.00,19.51,18.05,143.04,18.05,38.91,0.60,19.51,19.51,19.51,2.40,84.20,12.88,13.66,3.00,10.80,8.77,9.40,2.40,7.90,9.49,18.00,0.00,0.00,0.92,1.00,52.00,54.90,6.60,4.98,111.87,63.90,87.20,0.40,2.00,80.00,252.40,11.00,204.00,0.00,22.40
12.00,17.27,13.31,17.88,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,17.62,18.75,18.05,0.00,0.00,19.80,68.49,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,16.00,12.20,45.40,2.20,27.00,19.51,18.05,144.48,18.05,38.46,0.60,19.51,19.51,19.51,2.40,94.90,12.88,13.66,3.00,10.80,8.77,9.40,2.40,9.65,11.15,18.00,0.00,0.00,0.92,1.00,53.60,55.40,6.80,5.37,111.78,65.40,96.70,0.30,2.00,80.00,252.40,11.00,204.00,0.00,22.40
13.00,16.20,13.26,16.76,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.36,18.68,18.05,0.00,0.00,19.60,70.02,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.98,12.20,44.70,2.20,27.00,19.51,18.05,144.48,18.05,38.33,0.60,19.51,19.51,19.51,2.40,105.30,12.88,13.66,3.00,10.80,8.77,9.40,2.40,11.05,12.46,18.00,0.00,0.00,0.92,1.00,54.60,55.70,6.90,5.66,112.06,66.50,106.30,0.20,2.00,80.00,252.36,11.00,204.00,0.00,22.40
14.00,14.71,13.33,15.60,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.83,18.72,18.05,0.00,0.00,19.20,69.30,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.98,11.90,43.60,2.20,27.00,19.51,18.05,144.48,18.05,37.92,0.60,19.51,19.51,19.51,2.40,112.30,12.88,13.66,3.00,10.80,8.77,9.40,2.40,11.39,12.70,18.00,0.00,0.00,0.77,1.00,55.70,57.20,6.50,5.66,111.97,65.40,113.10,0.20,2.00,80.00,251.43,11.00,204.00,0.00,22.40
15.00,12.90,14.13,14.18,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.36,18.61,18.05,0.00,0.00,18.70,68.64,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.87,11.40,42.40,2.20,27.00,19.51,18.05,144.48,18.05,37.24,0.60,19.51,19.51,19.51,2.40,118.10,12.88,13.66,3.00,10.80,8.77,9.40,2.40,11.77,12.94,18.00,0.00,0.00,0.75,1.00,57.00,59.00,6.10,5.58,110.82,63.60,118.90,0.10,2.00,80.00,249.21,11.00,203.91,0.00,22.40
16.00,11.18,14.92,12.24,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,17.33,18.30,18.05,0.00,0.00,18.10,68.13,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.57,11.50,42.50,2.20,27.00,19.51,18.05,144.48,18.05,35.69,0.60,19.51,19.51,19.51,2.40,121.00,12.88,13.66,3.00,10.80,8.77,9.40,2.40,12.27,13.17,18.00,0.00,0.00,0.70,1.00,57.20,59.60,5.80,5.27,108.82,62.00,122.50,0.10,2.00,80.00,241.72,11.00,202.44,0.00,22.40
17.00,9.10,14.99,10.26,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,16.15,17.77,18.05,0.00,0.00,17.40,67.58,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,14.95,11.80,43.00,2.20,27.00,19.51,18.05,143.89,18.05,33.75,0.60,19.51,19.51,19.51,2.40,122.90,12.88,13.66,3.00,10.80,8.77,9.40,2.40,12.68,13.40,18.00,0.00,0.00,0.59,1.00,57.10,59.80,5.70,5.05,104.73,60.30,125.30,0.10,2.00,79.73,218.19,11.00,193.00,0.00,22.40
18.00,6.64,15.22,7.98,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,14.81,16.90,18.05,0.00,0.00,16.10,66.91,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,14.02,12.20,44.30,2.20,27.00,19.51,18.05,136.79,18.05,30.86,0.60,19.51,19.51,19.51,2.40,124.20,12.88,13.66,3.00,10.80,8.77,9.40,2.40,12.77,13.58,18.00,0.00,0.00,0.43,1.00,56.90,60.80,5.40,5.06,98.07,59.10,127.00,0.10,2.00,76.09,149.94,11.00,164.64,0.00,22.40
19.00,4.05,15.28,5.42,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,9.97,15.19,18.05,0.00,0.00,14.60,65.78,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,12.35,12.80,45.90,2.20,27.00,19.51,18.05,108.55,18.05,25.50,0.60,19.51,19.51,19.51,2.40,125.10,12.88,13.66,3.00,10.80,8.77,9.40,2.40,12.69,13.54,18.00,0.00,0.00,0.37,1.00,56.80,62.00,5.00,5.00,85.91,57.90,128.20,0.10,2.00,61.66,73.71,11.00,104.86,0.00,22.40
20.00,1.97,13.93,3.42,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.52,11.44,18.05,0.00,0.00,13.40,63.23,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,8.29,13.30,46.80,2.20,27.00,19.51,18.05,67.73,18.05,16.21,0.60,19.51,19.51,19.51,2.40,125.00,12.88,13.66,3.00,10.80,8.77,9.40,2.40,12.08,12.82,18.00,0.00,0.00,0.25,1.00,56.50,62.90,4.80,4.77,60.73,58.60,128.80,0.00,2.00,34.16,58.70,11.00,36.09,0.00,22.40
