"ETAPA \ URS","URSSTK001","URSSTK002","URSSTK003","URSSTK004","URSEGN001","URSKLP001","URSKLP002","URSEGN002","URSENL001","URSENL002","URSCLP001","URSENG001","URSKPL003","URSTCH001","URSENL004","URSCHI001","URSCHG001","URSFNX001","URSENL005"
1.00,0.00,0.00,0.00,0.00,0.00,70.65,0.00,0.00,46.67,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.00,0.00,0.00,0.00,0.00,0.00,115.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.00,0.00,0.00,0.00,0.00,0.00,131.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.00,0.00,0.00,0.00,0.00,0.00,131.00,0.00,0.00,0.00,6.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.55,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,101.77,0.00
16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.99,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,96.33,0.00
17.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,40.41,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,86.91,0.00
18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,91.54,0.00
19.00,0.00,0.00,0.00,0.00,0.00,31.12,0.00,0.00,65.14,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.74,0.00
20.00,0.00,0.00,0.00,0.00,0.00,51.12,0.00,0.00,45.14,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.74,0.00
21.00,0.00,0.00,0.00,0.00,0.00,77.97,0.00,0.00,26.27,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.75,0.00
22.00,0.00,0.00,0.00,0.00,0.00,102.39,0.00,0.00,25.71,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.90,0.00
23.00,0.00,0.00,0.00,0.00,0.00,103.64,0.00,0.00,28.34,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.03,0.00
24.00,0.00,0.00,0.00,0.00,0.00,101.45,0.00,0.00,13.77,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.78,0.00
25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.67,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.33,0.00
26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.54,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.46,0.00
27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.26,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.74,0.00
28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.02,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.98,0.00
29.00,0.00,0.00,0.00,0.00,0.00,90.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.74,0.00
30.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,85.58,0.00,0.00,0.00,0.00,0.00,0.00,123.42,0.00
31.00,0.00,0.00,0.00,0.00,0.00,31.32,0.00,0.00,90.00,6.00,87.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32.00,0.00,0.00,0.00,0.00,0.00,96.18,0.00,0.00,41.33,6.00,71.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33.00,0.00,0.00,0.00,0.00,0.00,63.24,0.00,0.00,73.01,6.00,72.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34.00,0.00,0.00,0.00,0.00,0.00,35.45,0.00,0.00,87.53,6.00,86.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35.00,0.00,0.00,0.00,0.00,0.00,73.03,0.00,0.00,26.40,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.57,0.00
36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,85.58,0.00,0.00,0.00,0.00,0.00,0.00,123.42,0.00
37.00,0.00,0.00,0.00,0.00,0.00,118.46,0.00,0.00,15.76,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.78,0.00
38.00,0.00,0.00,0.00,0.00,0.00,202.99,0.00,0.00,6.01,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39.00,0.00,0.00,0.00,0.00,0.00,170.02,0.00,0.00,7.98,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40.00,0.00,0.00,0.00,0.00,0.00,163.76,0.00,0.00,14.24,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41.00,0.00,0.00,0.00,0.00,0.00,161.53,0.00,0.00,16.47,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42.00,0.00,0.00,0.00,0.00,0.00,148.09,0.00,0.00,29.91,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43.00,0.00,0.00,0.00,0.00,0.00,125.99,0.00,0.00,52.01,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44.00,0.00,0.00,0.00,0.00,0.00,145.02,0.00,0.00,32.98,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45.00,0.00,0.00,0.00,0.00,0.00,157.96,0.00,0.00,47.04,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46.00,0.00,0.00,0.00,0.00,0.00,159.48,0.00,0.00,45.52,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47.00,0.00,0.00,0.00,0.00,0.00,179.86,0.00,0.00,25.14,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48.00,0.00,0.00,0.00,0.00,0.00,71.47,0.00,0.00,18.86,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.67,0.00
