"ETAPA","G. HIDRO","G. TERMICA","G. RER Y NO COES","EXCESO","DEFICIT","DEMANDA","PERDIDAS"
1.00,4133.36,1826.57,766.88,0.00,0.00,6554.74,172.07
2.00,4003.85,1864.66,741.38,0.00,0.00,6436.04,173.85
3.00,3956.38,1864.66,693.63,0.00,0.00,6340.65,174.01
4.00,3875.35,1864.66,690.27,0.00,0.00,6256.11,174.17
5.00,3834.94,1864.66,687.70,0.00,0.00,6212.88,174.42
6.00,3812.17,1864.66,686.22,0.00,0.00,6188.55,174.49
7.00,3774.02,1864.66,685.45,0.00,0.00,6154.04,170.09
8.00,3771.52,1864.66,687.97,0.00,0.00,6152.72,171.43
9.00,3821.11,1864.66,690.85,0.00,0.00,6201.28,175.34
10.00,3862.86,1864.66,698.04,0.00,0.00,6249.01,176.55
11.00,3941.05,1864.66,740.22,0.00,0.00,6371.39,174.53
12.00,3883.12,1864.66,830.63,0.00,0.00,6403.28,175.12
13.00,3925.29,1880.66,940.27,0.00,0.00,6575.21,171.01
14.00,3885.68,1880.66,1028.83,0.00,0.00,6629.89,165.27
15.00,4017.47,1873.66,1114.64,0.00,0.00,6843.27,162.49
16.00,4011.08,1908.92,1151.09,0.00,0.00,6906.00,165.09
17.00,4054.21,2054.25,1196.38,0.00,0.00,7135.79,169.05
18.00,4056.55,2139.39,1216.56,0.00,0.00,7242.54,169.96
19.00,4103.76,2203.59,1257.42,0.00,0.00,7391.34,173.44
20.00,4151.20,2223.54,1273.80,0.00,0.00,7472.58,175.95
21.00,4195.09,2254.49,1325.68,0.00,0.00,7596.00,179.26
22.00,4206.76,2288.86,1348.92,0.00,0.00,7663.06,181.48
23.00,4215.56,2305.36,1384.92,0.00,0.00,7722.13,183.71
24.00,4213.77,2286.12,1392.19,0.00,0.00,7705.92,186.17
25.00,4132.15,2255.44,1431.00,0.00,0.00,7617.21,201.37
26.00,4020.66,2251.91,1447.11,0.00,0.00,7522.26,197.43
27.00,3994.68,2251.80,1446.39,0.00,0.00,7497.83,195.05
28.00,4233.41,2251.69,1285.12,0.00,0.00,7566.53,203.68
29.00,4110.37,2343.74,1461.66,0.00,0.00,7711.12,204.65
30.00,4172.38,2257.47,1457.23,0.00,0.00,7684.81,202.28
31.00,4197.91,2299.35,1439.82,0.00,0.00,7734.97,202.11
32.00,4210.11,2369.34,1341.00,0.00,0.00,7712.64,207.81
33.00,4210.50,2334.84,1289.08,0.00,0.00,7626.24,208.17
34.00,4263.53,2298.82,1183.69,0.00,0.00,7535.95,210.10
35.00,4287.05,2250.52,1084.48,0.00,0.00,7421.28,200.77
36.00,4157.30,2171.97,1054.42,0.00,0.00,7186.49,197.19
37.00,4341.51,2334.42,1050.37,0.00,0.00,7513.49,212.81
38.00,4374.47,2433.41,1041.07,0.00,0.00,7631.72,217.22
39.00,4381.86,2460.11,1029.79,0.00,0.00,7652.81,218.95
40.00,4378.54,2453.35,1016.72,0.00,0.00,7630.86,217.74
41.00,4372.40,2430.49,1001.74,0.00,0.00,7588.60,216.03
42.00,4379.46,2422.66,978.05,0.00,0.00,7564.28,215.89
43.00,4352.15,2379.35,959.97,0.00,0.00,7479.21,212.26
44.00,4344.31,2379.65,945.16,0.00,0.00,7463.26,205.85
45.00,4209.59,2369.52,928.04,0.00,0.00,7308.87,198.29
46.00,4286.13,2153.14,915.49,0.00,0.00,7161.39,193.37
47.00,4203.76,2072.17,877.53,0.00,0.00,6965.99,187.46
48.00,4168.46,1950.78,867.53,0.00,0.00,6803.48,183.29
