"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CS SUNNY","CT AGROLMOS"
1.00,0.00,20.32,0.00,14.00,2.90,7.60,8.20,8.90,0.00,0.40,3.50,19.00,0.00,0.00,19.00,0.00,3.40,15.05,34.67,5.80,0.00,3.30,3.20,18.45,9.50,11.65,15.53,0.00,0.00,19.97,54.62,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,0.00,50.00,12.82,19.42,7.00,10.00,8.00,20.00,2.40,1.36,2.19,9.50,0.00,0.00,0.00,1.00,31.30,72.85,2.60,2.70,0.00,90.30,36.00,0.00,2.00,0.00,0.00,0.00,11.00
2.00,0.00,20.32,0.00,14.00,2.90,7.60,8.20,8.90,0.00,0.40,3.50,19.00,0.00,0.00,19.00,0.00,3.40,15.05,34.67,5.80,0.00,3.30,3.20,18.45,9.50,11.65,15.53,0.00,0.00,19.97,54.62,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,0.00,43.00,12.82,19.42,7.00,10.00,8.00,20.00,2.40,1.36,2.19,9.50,0.00,0.00,0.00,1.00,31.50,72.85,2.30,2.30,0.00,88.80,32.00,0.00,2.00,0.00,0.00,0.00,11.00
3.00,0.00,20.33,0.00,14.00,2.90,7.60,8.20,8.90,0.00,0.40,3.50,19.00,0.00,0.00,19.00,0.00,3.40,15.95,33.89,5.80,0.00,3.30,3.20,18.45,9.50,11.65,15.53,0.00,0.00,18.98,51.24,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,0.00,39.00,12.82,19.42,7.00,10.80,8.00,20.00,2.40,2.14,3.78,9.50,0.00,0.00,0.00,1.00,31.90,71.41,2.20,2.00,0.00,86.50,29.00,0.00,2.00,0.00,0.00,0.00,11.00
4.00,0.00,21.04,0.00,14.00,2.90,7.60,8.20,8.90,0.00,0.40,3.50,19.00,0.00,0.00,19.00,0.00,3.40,16.86,33.10,5.80,0.00,3.30,3.20,18.45,9.50,11.65,15.53,0.00,0.00,18.12,48.09,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,0.00,36.00,12.82,19.42,7.00,10.80,8.00,20.00,2.40,3.09,5.76,9.50,0.00,0.00,0.00,1.00,32.20,70.10,2.10,1.70,0.00,84.10,27.00,0.00,2.00,0.00,0.00,0.00,11.00
5.00,0.00,21.39,0.00,14.00,2.90,7.60,8.20,8.90,0.00,0.40,3.50,19.00,0.00,0.00,19.00,0.00,3.40,17.80,32.02,5.80,0.00,3.30,3.20,18.45,9.50,11.65,15.53,0.00,0.00,18.01,47.25,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,0.00,35.00,12.82,19.42,7.00,10.80,8.00,20.00,2.40,3.67,6.62,9.50,0.00,0.00,0.00,1.00,32.70,68.40,2.10,1.50,0.00,81.60,25.00,0.00,2.00,0.00,0.00,0.00,11.00
6.00,0.00,21.10,0.00,14.00,2.90,7.60,8.20,8.90,0.00,0.40,3.50,19.00,0.00,0.00,19.00,0.00,3.40,18.75,30.86,5.80,0.00,3.30,3.20,18.45,9.50,11.65,15.53,0.00,0.00,18.16,47.18,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,0.00,34.00,12.82,19.42,7.00,10.80,8.00,20.00,2.40,4.12,7.11,9.50,0.00,0.00,0.00,1.00,33.60,66.56,2.10,1.40,0.00,78.70,24.00,0.00,2.00,0.00,0.00,0.00,11.00
7.00,0.00,20.91,0.00,14.00,2.90,7.60,8.20,8.90,0.00,0.40,3.50,19.00,0.00,0.00,19.00,0.00,3.40,19.65,28.82,5.80,0.00,3.30,3.20,18.45,9.50,11.65,15.53,0.00,0.00,18.64,47.48,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,0.00,36.00,12.82,19.42,7.00,10.80,8.00,20.00,2.40,4.47,7.75,9.50,0.00,0.00,0.00,1.00,35.90,64.22,2.30,1.50,0.00,75.00,25.00,0.00,2.00,0.00,0.00,0.00,11.00
8.00,0.00,21.03,0.00,14.00,2.90,7.60,8.20,8.90,0.00,0.40,3.50,19.00,0.00,0.00,19.00,0.00,3.40,20.54,26.48,5.80,0.00,3.30,3.20,18.45,9.50,11.65,15.53,0.00,0.00,19.24,47.89,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,0.00,38.00,12.82,19.42,7.00,10.80,8.00,20.00,2.40,4.79,8.44,9.50,0.00,0.00,0.00,1.00,36.10,61.71,2.30,1.50,0.00,72.00,27.00,0.00,2.00,0.00,0.00,0.00,11.00
9.00,0.00,21.21,0.00,14.00,2.90,7.60,8.20,8.90,0.00,0.40,3.50,19.00,0.00,0.00,19.00,0.00,3.40,20.73,25.25,5.80,0.00,3.30,3.20,18.45,9.50,11.65,15.53,0.00,0.00,19.03,46.61,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.60,20.00,20.00,20.00,0.00,40.00,12.82,19.42,7.00,10.80,8.00,20.00,2.40,5.11,8.94,9.50,0.00,0.00,0.00,1.00,35.50,60.13,2.20,1.40,0.00,70.90,28.00,0.00,2.00,0.00,0.00,0.00,11.00
10.00,0.00,21.32,0.07,14.00,2.90,7.60,8.20,8.90,0.00,0.40,3.50,19.00,0.50,0.02,19.00,0.00,3.40,20.69,24.37,5.80,0.00,3.30,3.20,18.45,9.50,11.65,15.53,0.00,0.00,18.57,44.77,3.46,27.00,19.42,17.96,0.35,17.96,0.14,0.60,20.00,20.00,20.00,0.00,42.00,12.82,19.42,7.00,10.80,8.00,20.00,2.40,5.44,9.36,9.50,0.00,0.00,0.00,1.00,35.00,58.86,2.20,1.40,0.58,70.20,28.00,0.00,2.00,0.00,0.00,0.10,11.00
