"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,14.04,21.06,14.60,0.00,3.00,7.20,3.60,6.40,1.70,0.00,3.50,19.00,10.97,15.25,3.10,6.80,2.74,30.99,0.00,4.50,4.00,2.60,16.43,10.00,4.00,6.50,0.00,11.19,21.16,73.88,2.50,0.00,4.90,16.71,106.00,14.49,27.71,0.60,4.50,5.00,5.20,0.00,52.50,6.70,5.20,2.00,10.70,7.54,5.40,1.10,13.99,15.25,18.00,1.16,0.70,70.12,55.83,10.96,10.33,76.32,82.54,42.70,0.10,1.08,65.10,214.39,11.00,158.99,17.69,0.37,38.80,84.12
2.00,13.40,20.59,14.02,0.00,3.00,7.20,3.60,6.40,1.70,0.00,3.50,19.00,10.73,15.32,3.10,6.80,5.71,35.69,0.00,4.50,4.00,2.60,16.43,10.00,4.00,6.50,0.00,11.28,21.74,76.60,2.50,0.00,4.90,16.71,106.00,14.49,27.84,0.60,4.50,5.00,5.20,0.00,61.89,6.70,5.20,2.00,10.70,7.54,5.40,1.10,14.09,15.35,18.00,1.16,0.71,74.56,61.69,11.39,10.71,76.32,85.47,54.42,0.10,1.08,63.92,213.84,11.00,160.22,17.69,0.38,38.66,85.04
3.00,13.05,20.54,13.42,0.00,3.00,7.20,3.60,6.40,1.70,0.00,3.50,19.00,9.79,15.40,3.10,6.80,9.26,41.25,0.00,4.50,4.00,2.60,16.43,10.00,4.00,6.50,0.00,11.31,22.42,79.82,2.50,0.00,4.90,16.71,107.00,14.49,28.05,0.60,4.50,5.00,5.20,0.00,73.01,6.70,5.20,2.00,10.70,7.54,5.40,1.10,12.87,14.57,18.00,1.16,0.69,79.83,68.64,11.82,10.77,77.04,89.03,68.29,0.00,1.08,61.54,214.05,11.00,162.68,17.69,0.39,38.52,86.45
4.00,11.74,20.74,12.24,0.00,3.00,7.20,3.60,6.40,1.70,0.00,3.50,19.00,9.04,15.53,3.10,6.80,13.00,47.09,0.00,4.50,4.00,2.60,16.43,10.00,4.00,6.50,0.00,11.39,23.14,83.21,2.50,0.00,4.90,16.71,107.00,14.49,27.59,0.60,4.50,5.00,5.20,0.00,84.71,6.70,5.20,2.00,10.70,7.54,5.40,1.10,12.94,14.41,18.00,0.98,0.69,85.37,75.95,12.02,10.90,77.04,92.91,82.88,0.00,1.08,57.73,213.84,11.00,164.40,17.69,0.39,38.18,87.37
5.00,11.03,20.55,11.10,0.00,3.00,7.20,3.60,6.40,1.70,0.00,3.50,19.00,8.08,15.61,3.10,6.80,16.54,52.64,0.00,4.50,4.00,2.60,16.43,10.00,4.00,6.50,0.00,11.32,23.83,86.43,2.50,0.00,4.90,16.71,107.00,14.49,24.71,0.60,4.50,5.00,5.20,0.00,95.83,6.70,5.20,2.00,10.70,7.54,5.40,1.10,13.02,14.35,18.00,0.95,0.69,90.63,82.90,12.54,11.02,77.04,96.78,96.76,0.00,1.08,52.58,212.24,11.00,162.54,17.69,0.39,37.83,85.95
6.00,8.81,20.66,9.24,0.00,3.00,7.20,3.60,6.40,1.70,0.00,3.50,19.00,7.02,15.53,3.10,6.80,19.52,57.34,0.37,4.50,4.00,2.60,16.43,10.00,4.00,6.50,0.00,11.07,24.40,89.16,2.50,0.00,4.90,16.71,106.00,14.49,19.09,0.60,4.50,5.00,5.20,0.00,105.22,6.70,5.20,2.00,10.70,7.54,5.40,1.10,12.75,14.20,18.00,0.89,0.69,95.07,88.76,12.72,11.08,76.32,100.34,108.47,0.00,1.04,46.16,207.47,11.00,156.39,17.69,0.38,31.12,81.41
7.00,7.83,20.49,7.65,0.00,3.00,7.20,3.60,6.40,1.70,0.00,3.50,19.00,4.82,15.29,3.10,6.80,21.55,60.62,0.00,4.50,4.00,2.60,16.43,10.00,4.00,6.50,0.00,10.53,24.80,91.05,2.50,0.00,4.90,16.71,96.00,14.49,14.63,0.60,4.50,5.00,5.20,0.00,111.73,6.70,5.20,2.00,10.70,7.54,5.40,1.10,13.02,14.16,18.00,0.75,0.69,98.14,92.81,12.77,10.96,69.12,103.27,116.60,0.00,1.08,37.88,198.06,11.00,145.11,17.69,0.35,24.40,75.09
8.00,4.90,20.16,5.14,0.00,3.00,7.20,3.60,6.40,1.70,0.00,3.50,19.00,3.38,14.60,3.10,6.80,20.98,61.39,0.00,4.50,4.00,2.60,16.43,10.00,4.00,6.50,0.00,9.14,24.84,91.49,2.50,0.00,4.90,16.71,77.00,14.49,10.33,0.60,4.50,5.00,5.20,0.00,112.55,6.70,5.20,2.00,10.70,7.54,5.40,1.10,13.16,14.23,18.00,0.54,0.69,98.26,92.99,12.85,10.85,55.44,105.25,117.53,0.00,1.08,26.90,169.33,11.00,100.13,17.69,0.30,17.77,46.06
9.00,3.64,20.34,3.10,0.00,3.00,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.80,13.09,3.10,6.80,19.71,63.10,0.00,4.50,4.00,2.60,16.43,10.00,4.00,6.50,0.00,4.53,24.94,92.45,2.50,0.00,4.90,16.71,51.00,14.49,5.87,0.60,4.50,5.00,5.20,0.00,114.36,6.70,5.20,2.00,10.70,7.54,5.40,1.10,11.76,13.13,18.00,0.47,0.69,98.53,93.40,12.75,10.81,36.72,105.60,119.58,0.00,1.12,15.20,92.69,11.00,43.68,17.69,0.22,11.15,16.21
10.00,0.71,19.93,0.80,0.00,3.00,7.20,3.60,6.40,1.70,0.00,3.50,19.00,0.14,7.46,3.10,6.80,18.44,64.80,0.00,4.50,4.00,2.60,16.43,10.00,4.00,6.50,0.00,0.69,25.04,93.40,2.50,0.00,4.90,16.71,19.00,14.49,2.26,0.60,4.50,5.00,5.20,0.00,116.16,6.70,5.20,2.00,10.70,7.54,5.40,1.10,11.46,13.00,18.00,0.32,0.69,98.81,93.80,12.61,10.77,13.68,106.37,121.62,0.00,1.16,5.79,18.25,11.00,8.46,17.69,0.14,5.97,1.37
