"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,27.58,67.13,635.03,206.59,7.75,6.65,110.37,17.56,0.63,29.13,14.92,126.59,5.13,2.82,158.33,56.52,132.71,36.25,0.00,230.00,27.66,1.97,6.88,86.52,36.00,6.39,9.98,95.45,3.45,19.77,212.66,212.41,36.74,20.62,20.62,36.73,184.17,197.14,184.23,0.00,74.91,76.30,46.82,39.66,62.09,30.67,30.56,30.55,49.81,49.85,110.26,110.22,203.20,0.00,0.00
2.00,48.41,27.67,67.13,635.03,206.59,7.75,6.65,110.37,17.56,0.63,29.13,14.92,135.42,5.13,2.82,158.33,56.52,132.71,36.25,0.00,230.00,27.66,1.97,6.88,86.52,36.00,6.39,9.98,95.45,3.45,19.77,212.07,211.82,39.79,39.75,20.62,20.62,184.17,197.14,184.23,0.00,74.91,76.30,40.60,45.92,62.09,30.67,30.56,30.55,49.67,49.71,110.26,110.22,203.20,0.00,0.00
3.00,48.41,27.31,67.13,635.03,206.59,7.75,6.65,110.37,17.56,0.63,29.13,14.92,139.28,5.13,2.82,158.33,56.52,132.71,36.25,19.98,230.00,27.66,1.97,6.88,86.52,36.00,6.39,9.98,90.40,3.45,19.77,210.36,210.12,66.23,65.82,0.00,56.20,184.17,197.14,184.23,0.00,74.91,76.30,43.93,40.33,62.09,30.67,30.56,30.55,49.53,49.56,110.26,110.22,203.20,0.00,0.00
4.00,48.41,27.31,67.13,635.03,206.59,7.75,6.65,110.37,17.56,0.63,29.13,14.92,136.71,5.13,2.82,158.33,56.52,132.71,36.25,26.77,230.00,27.66,1.97,6.88,86.52,36.00,6.39,9.98,90.50,3.45,19.77,211.57,211.32,36.09,66.77,49.34,36.09,184.17,197.14,184.23,0.00,74.91,76.30,46.19,38.32,62.09,30.67,30.56,30.55,49.69,49.72,110.26,110.22,203.20,0.00,0.00
5.00,48.41,27.31,67.13,635.03,206.59,7.75,6.65,110.37,17.56,0.63,29.13,14.92,135.26,5.13,2.82,158.33,56.52,132.71,36.25,26.50,230.00,27.66,1.97,6.88,86.52,36.00,6.39,9.98,89.40,3.45,19.77,210.34,210.10,58.67,66.34,67.12,0.00,184.17,197.14,184.23,0.00,74.91,76.30,44.13,41.63,62.09,30.67,30.56,30.55,49.79,49.82,110.26,110.22,203.20,0.00,0.00
6.00,48.41,27.31,67.13,635.03,206.59,7.75,6.65,110.37,17.56,0.63,29.13,14.92,135.19,5.13,2.82,158.33,56.52,132.71,36.25,35.19,230.00,27.66,1.97,6.88,86.52,36.00,6.39,9.98,90.41,3.45,19.77,208.37,208.13,59.25,38.82,59.57,38.87,184.17,197.14,184.23,0.00,74.91,76.30,48.31,40.95,62.09,30.67,30.56,30.55,49.67,49.70,110.26,110.22,203.20,0.00,0.00
7.00,48.41,27.31,67.13,635.03,206.59,7.75,6.65,110.37,17.56,0.63,29.13,14.92,128.65,5.13,2.82,158.33,56.52,132.71,36.25,35.25,230.00,25.00,1.97,6.88,86.52,36.00,6.39,9.98,85.49,3.45,19.77,205.10,204.88,55.54,55.27,55.80,30.35,184.17,197.14,184.23,0.00,74.91,76.30,48.27,40.46,62.09,30.67,30.56,30.55,49.67,49.70,110.26,110.22,203.20,0.00,0.00
8.00,48.41,27.31,67.13,635.03,206.59,7.75,6.65,110.37,17.56,0.63,29.13,14.92,86.55,5.13,2.82,158.33,56.52,132.71,36.25,24.74,230.00,25.00,1.97,6.88,86.52,36.00,6.39,9.98,85.48,3.45,19.77,179.93,179.84,61.16,0.00,67.88,0.00,184.17,197.14,184.23,0.00,74.91,76.30,46.67,39.84,62.09,30.67,30.56,30.55,49.52,49.56,106.84,106.80,203.20,0.00,0.00
9.00,48.41,27.31,67.13,635.03,206.59,7.75,6.65,110.37,17.56,0.63,29.13,14.92,83.93,5.13,2.82,158.33,56.52,132.71,36.25,4.12,230.00,25.00,1.97,6.88,86.52,0.00,6.39,9.98,85.48,3.45,19.77,179.20,179.12,34.03,46.21,34.03,46.32,184.13,197.10,184.20,0.00,74.91,76.30,40.59,45.92,62.09,30.67,30.56,30.55,49.81,49.85,20.62,20.62,203.20,0.00,0.00
10.00,48.41,28.20,67.13,635.03,206.59,7.75,6.65,110.37,17.56,0.63,29.13,14.92,83.93,5.13,2.82,158.33,56.52,132.71,36.25,35.37,230.00,25.00,1.97,6.88,86.52,0.00,6.39,9.98,85.48,3.45,19.77,174.06,174.00,0.00,20.62,0.00,20.62,183.34,196.17,183.41,0.00,74.91,76.30,46.82,39.68,62.09,30.67,30.56,30.55,49.67,49.70,0.00,39.81,203.20,0.00,0.00
