"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CS INTIPAMPA EXPANSION","CS COENERGY"
1.00,0.00,11.33,0.00,14.00,4.20,8.50,6.00,7.30,1.66,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,18.13,68.90,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,9.27,36.94,2.20,26.40,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,104.85,9.00,19.51,6.00,10.80,8.23,5.00,2.40,10.14,11.42,18.90,0.00,1.00,46.70,61.90,2.11,3.59,0.00,37.01,88.68,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
2.00,0.00,11.32,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,17.14,65.10,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,9.79,37.14,2.20,26.40,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,97.72,9.00,19.51,6.00,10.80,8.23,5.00,2.40,9.37,10.73,18.90,0.00,1.00,48.21,63.47,2.17,3.63,0.00,37.29,81.82,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
3.00,0.00,11.77,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,16.28,60.80,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,10.51,37.44,2.20,26.50,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,88.09,9.00,19.51,6.00,10.80,8.23,5.00,2.40,8.59,10.02,18.90,0.00,1.00,50.30,65.62,2.22,3.59,0.00,37.66,72.54,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
4.00,0.00,11.42,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,15.79,55.70,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,11.28,37.78,2.20,26.60,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,77.63,9.00,19.51,6.00,10.80,8.23,5.00,2.40,7.79,9.25,18.90,0.00,1.00,52.57,67.98,2.20,3.32,0.00,38.07,62.45,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
5.00,0.00,11.36,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,15.39,50.20,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,12.00,38.08,2.20,26.60,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,68.00,9.00,19.51,6.00,10.80,8.23,5.00,2.40,7.07,8.52,18.90,0.00,1.00,54.66,70.13,2.19,3.09,0.00,38.44,53.18,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
6.00,0.00,11.42,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,15.29,47.50,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,12.52,38.28,2.20,26.60,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,60.88,9.00,19.51,6.00,10.80,8.23,5.00,2.40,6.62,7.91,18.90,0.00,1.00,56.18,71.70,2.21,2.99,0.00,38.72,46.32,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
7.00,0.00,11.85,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,15.24,45.70,9.80,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,12.53,37.70,2.20,26.60,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,58.54,9.00,19.51,6.00,10.80,8.23,5.00,2.40,6.11,7.28,18.90,0.00,1.00,55.46,71.03,2.19,2.84,0.00,39.03,44.18,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
8.00,0.00,13.18,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,15.37,43.90,1.70,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,12.57,36.42,2.20,26.60,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,53.41,9.00,19.51,6.00,10.80,8.23,5.00,2.40,5.46,6.61,18.90,0.00,1.00,53.89,69.57,2.06,2.54,0.00,39.70,39.47,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
9.00,0.00,14.83,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,15.65,42.00,0.00,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,12.60,35.13,2.20,26.60,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,48.28,9.00,19.51,6.00,10.80,8.23,5.00,2.40,4.84,5.94,18.90,0.00,1.00,52.32,68.10,1.91,2.26,0.00,40.37,34.76,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
10.00,0.00,14.69,0.00,14.00,4.20,8.50,6.00,7.30,1.72,0.00,2.50,0.00,0.00,0.00,17.56,0.00,5.60,16.39,40.40,0.00,2.50,15.41,3.80,17.56,14.24,12.68,15.61,1.40,0.00,12.62,34.55,2.20,26.60,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,1.20,45.95,9.00,19.51,6.00,10.80,8.23,5.00,2.40,4.34,5.27,18.90,0.00,1.00,51.60,67.43,1.74,2.06,0.00,40.68,32.62,0.00,2.00,0.00,0.00,11.00,0.00,24.00,0.00,0.00
