"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CS INTIPAMPA EXP","CTCASAGRANDE"
1.00,16.13,20.88,15.99,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.00,0.00,17.15,18.56,11.22,0.00,0.00,19.63,59.60,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,15.64,21.84,76.00,2.15,25.50,4.00,15.61,140.91,17.95,38.82,0.60,19.51,19.51,19.51,1.20,114.25,9.80,19.51,6.00,10.80,8.24,5.80,2.40,7.32,9.12,18.90,0.00,0.00,0.92,1.00,102.10,97.40,4.68,7.65,109.99,94.15,119.89,0.40,2.00,79.62,248.74,11.00,200.92,6.46,23.00
2.00,15.32,20.76,15.19,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.00,0.00,17.74,18.46,11.22,0.00,0.00,20.69,62.96,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,15.49,22.43,77.40,2.15,25.40,4.00,15.61,143.42,17.95,38.70,0.60,19.51,19.51,19.51,1.20,118.33,9.80,19.51,6.00,10.80,8.24,5.80,2.40,7.38,8.72,18.90,0.00,0.00,0.92,1.00,103.20,99.70,5.01,8.32,110.65,95.02,123.65,0.30,2.00,79.38,250.32,11.00,201.10,5.82,23.00
3.00,14.05,20.84,14.35,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.00,0.00,18.57,18.47,11.22,0.00,0.00,20.86,63.41,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,15.37,23.07,78.60,2.15,25.50,4.00,15.61,144.48,17.95,38.64,0.60,19.51,19.51,19.51,1.20,121.59,9.80,19.51,6.00,10.80,8.24,5.80,2.40,6.94,7.85,18.90,0.00,0.00,0.92,1.00,104.20,101.70,5.30,8.82,111.13,96.00,126.45,0.20,2.00,79.02,250.21,11.00,201.60,5.17,23.00
4.00,12.40,20.47,13.45,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.00,0.00,18.70,18.49,11.22,0.00,0.00,20.73,62.88,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,15.34,23.47,79.40,2.15,25.50,4.00,15.61,143.90,17.95,38.32,0.60,19.51,19.51,19.51,1.20,123.25,9.80,19.51,6.00,10.80,8.24,5.80,2.40,6.34,6.82,18.90,0.00,0.00,0.77,1.00,105.10,103.60,5.57,9.27,109.52,96.72,128.13,0.20,2.00,78.72,248.71,11.00,201.92,4.52,23.00
5.00,11.03,20.52,12.12,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.00,0.00,18.23,18.30,11.22,0.00,0.00,20.91,64.45,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,15.14,23.82,80.10,2.15,25.80,4.00,15.61,141.30,17.95,37.75,0.60,19.51,19.51,19.51,1.20,124.36,9.80,19.51,6.00,10.80,8.24,5.80,2.40,5.57,5.65,18.90,0.00,0.00,0.75,1.00,106.00,105.50,5.57,9.40,106.83,97.39,129.44,0.10,2.00,78.04,246.12,11.00,201.13,3.88,23.00
6.00,9.88,20.61,10.50,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.00,0.00,17.03,17.88,11.22,0.00,0.00,21.19,66.72,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,14.57,23.91,80.40,2.15,26.10,4.00,15.61,136.38,17.95,36.35,0.60,19.51,19.51,19.51,1.20,125.48,9.80,19.51,6.00,10.80,8.24,5.80,2.40,4.74,4.42,18.90,0.00,0.00,0.70,1.00,107.20,107.20,5.49,9.42,103.22,97.19,131.10,0.10,2.00,76.89,241.61,11.00,196.87,3.23,23.00
7.00,8.19,20.41,9.10,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.00,0.00,15.52,17.09,11.22,0.00,0.00,21.29,69.22,4.60,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,13.61,23.95,80.60,2.15,25.90,4.00,15.61,130.10,17.95,34.48,0.60,19.51,19.51,19.51,1.20,126.59,9.80,19.51,6.00,10.80,8.24,5.80,2.40,4.50,4.29,18.90,0.00,0.00,0.59,1.00,103.40,108.70,5.29,9.27,97.67,96.94,132.89,0.10,2.00,74.29,234.99,11.00,185.03,2.58,23.00
8.00,5.60,20.27,6.01,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.00,0.00,13.29,15.90,11.22,0.00,0.00,21.33,71.79,6.80,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,12.54,23.99,80.30,2.15,25.90,4.00,15.61,116.74,17.95,30.45,0.60,19.51,19.51,19.51,1.20,127.18,9.80,19.51,6.00,10.80,8.24,5.80,2.40,4.46,4.51,18.90,0.00,0.00,0.43,1.00,104.10,110.30,5.05,9.06,90.18,98.21,133.72,0.10,2.00,66.83,221.97,11.00,166.08,1.94,23.00
9.00,2.97,20.38,3.17,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.00,0.00,4.61,13.47,11.22,0.00,0.00,20.68,72.29,7.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,10.04,24.02,79.90,2.15,25.90,4.00,15.61,82.47,17.95,22.40,0.60,19.51,19.51,19.51,1.20,127.61,9.80,19.51,6.00,10.80,8.24,5.80,2.40,4.26,3.92,18.90,0.00,0.00,0.37,1.00,104.70,111.90,4.93,8.90,69.25,99.96,134.23,0.10,2.00,49.91,186.23,11.00,129.87,1.29,23.00
10.00,1.12,20.56,0.81,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.00,0.00,0.13,8.95,11.22,0.00,0.00,19.81,72.09,7.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,6.06,23.93,79.30,2.15,26.00,4.00,15.61,44.63,17.95,11.61,0.60,19.51,19.51,19.51,1.20,127.31,9.80,19.51,6.00,10.80,8.24,5.80,2.40,3.99,3.05,18.90,0.00,0.00,0.25,1.00,104.50,113.10,4.84,8.75,39.96,99.83,133.82,0.00,2.00,24.14,134.84,11.00,78.41,0.65,23.00
