"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,11.15,23.77,10.81,0.00,2.90,7.50,9.20,19.14,3.64,0.40,3.50,0.00,9.53,13.53,13.61,0.00,5.60,1.69,6.65,0.00,3.10,6.00,5.00,19.24,19.24,19.44,19.44,2.80,11.12,10.89,10.47,3.50,27.00,19.44,18.66,83.06,17.88,30.96,0.60,19.44,19.44,19.44,0.00,0.00,12.83,19.44,8.00,10.70,8.20,17.49,2.40,7.32,9.60,18.00,0.49,2.00,11.48,23.69,0.77,0.36,52.16,15.32,6.00,0.10,2.00,44.26,184.00,0.00,141.00,20.00,0.19,40.75,45.65
2.00,12.61,23.64,12.57,0.00,2.90,7.50,9.20,19.14,3.64,0.40,3.50,0.00,12.35,14.32,13.61,0.00,5.60,2.04,12.42,2.60,3.10,6.00,5.00,19.24,19.24,10.00,19.44,2.80,11.84,11.15,17.43,3.50,27.00,19.44,18.66,86.42,17.88,32.62,0.60,19.44,19.44,19.44,0.00,0.00,12.83,19.44,8.00,10.70,8.20,17.49,2.40,7.38,9.75,18.00,0.66,2.00,14.40,28.20,0.83,0.40,54.84,23.66,6.50,0.20,2.00,53.43,191.00,0.00,146.00,20.00,0.24,41.94,50.87
3.00,13.90,23.58,14.12,0.00,2.90,7.50,9.20,19.14,3.64,0.40,3.50,0.00,13.71,14.95,13.61,0.00,5.60,1.14,20.15,3.40,3.10,6.00,5.00,19.24,19.24,10.00,19.44,2.80,12.49,11.83,26.88,3.50,27.00,19.44,18.66,87.78,17.88,33.77,0.60,19.44,19.44,19.44,0.00,0.00,12.83,19.44,8.00,10.70,8.20,17.49,2.40,7.45,9.90,18.00,0.82,2.00,21.21,36.76,2.59,1.35,55.91,34.97,6.00,0.20,2.00,61.04,200.00,0.00,149.00,20.00,0.29,43.12,55.35
4.00,14.78,23.60,15.26,0.00,2.90,7.50,9.20,19.14,3.64,0.40,3.50,0.00,14.77,15.61,13.61,0.00,5.60,0.47,28.53,3.30,3.10,6.00,5.00,19.24,19.24,10.00,19.44,2.80,12.97,12.91,37.16,3.50,27.00,19.44,18.66,87.46,17.88,34.23,0.60,19.44,19.44,19.44,0.00,0.00,12.83,19.44,8.00,10.70,8.20,17.49,2.40,7.52,10.05,18.00,0.92,2.00,30.71,47.94,2.65,1.38,55.85,47.28,6.50,0.30,2.00,67.22,201.00,0.00,152.00,20.00,0.32,43.72,57.15
5.00,15.43,23.68,16.12,0.00,2.90,7.50,9.20,19.14,3.64,0.40,3.50,0.00,15.36,16.05,13.61,0.00,5.60,0.30,11.26,3.40,3.10,6.00,5.00,19.24,19.24,10.00,19.44,2.80,13.24,14.27,21.61,3.50,27.00,19.44,18.66,86.22,17.88,34.42,0.60,19.44,19.44,19.44,0.00,0.56,12.83,19.44,8.00,10.70,8.20,17.49,2.40,13.71,15.55,18.00,1.00,2.00,41.57,59.59,4.78,2.02,55.09,33.59,10.00,0.30,2.00,72.32,204.00,0.00,153.00,20.00,0.33,44.32,58.47
6.00,15.67,23.62,16.56,0.00,2.90,7.50,9.20,19.14,3.64,0.40,3.50,0.00,14.83,16.24,13.61,0.00,5.60,0.68,17.03,3.50,3.10,6.00,5.00,19.24,19.24,10.00,19.44,2.80,13.13,15.62,28.56,3.50,27.00,19.44,18.66,82.29,17.88,34.15,0.60,19.44,19.44,19.44,0.00,2.85,12.83,19.44,8.00,10.70,8.20,17.49,2.40,13.78,15.70,18.00,1.02,2.00,53.28,68.71,4.84,2.06,52.19,41.94,17.50,0.30,2.00,75.97,204.00,0.00,153.00,20.00,0.34,45.19,59.09
7.00,15.61,23.59,16.48,0.00,2.90,7.50,9.20,19.14,3.64,0.40,3.50,0.00,13.47,16.30,13.61,0.00,5.60,1.77,19.82,3.50,3.10,6.00,5.00,19.24,19.24,10.00,19.44,2.80,12.81,15.67,29.91,3.50,27.00,19.44,18.66,76.98,17.88,33.50,0.60,19.44,19.44,19.44,0.00,6.07,12.83,19.44,8.00,10.70,8.20,17.49,2.40,10.83,13.52,18.00,1.01,2.00,61.44,73.17,9.19,4.64,47.92,44.16,25.00,0.40,2.00,78.40,206.00,0.00,155.00,20.00,0.35,46.06,60.81
8.00,15.68,23.55,16.22,0.00,2.90,7.50,9.20,19.14,3.64,0.40,3.50,0.00,12.94,16.32,13.61,0.00,5.60,3.15,25.94,3.70,3.10,6.00,5.00,19.24,19.24,10.00,19.44,2.80,12.81,15.63,32.87,3.50,27.00,19.44,18.66,75.93,17.88,32.77,0.60,19.44,19.44,19.44,0.00,11.10,12.83,19.44,8.00,10.70,8.20,17.49,2.40,13.91,16.00,18.00,1.03,2.00,68.08,77.58,9.25,4.68,46.38,49.05,33.50,0.40,2.00,79.49,201.00,0.00,154.00,20.00,0.35,45.54,61.03
9.00,15.46,23.58,15.65,0.00,4.20,7.50,9.20,19.14,3.64,0.40,3.50,0.00,13.04,16.24,13.61,0.00,5.60,4.13,32.07,3.90,3.10,6.00,5.00,19.24,19.24,10.00,19.44,2.80,12.77,15.96,35.83,3.50,27.00,19.44,18.66,74.85,17.88,31.82,0.60,19.44,19.44,19.44,1.20,20.96,12.83,19.44,8.00,10.70,8.20,17.49,2.40,13.98,16.15,18.00,1.02,2.00,73.99,81.71,13.47,7.16,45.01,53.95,46.00,0.40,2.00,79.20,194.00,0.00,154.00,20.00,0.35,45.01,62.41
10.00,14.72,23.83,14.84,0.00,4.20,7.50,9.20,19.14,3.64,0.40,3.50,0.00,12.61,15.93,13.61,0.00,5.60,4.94,34.86,3.80,3.10,6.00,5.00,19.24,19.24,10.00,19.44,2.80,12.51,16.46,37.17,3.50,27.00,19.44,18.66,72.12,17.88,30.19,0.60,19.44,19.44,19.44,1.20,33.51,12.83,19.44,8.00,10.70,8.20,17.49,2.40,14.05,16.30,18.00,1.02,2.00,79.35,85.64,13.53,7.19,42.74,56.17,60.50,0.40,2.00,77.46,203.00,0.00,155.00,20.00,0.35,44.50,62.90
