"ETAPA \ GENERADOR","KALLPACC123GAS","CHILCA1CC123GAS","OLLEROSTG1GAS","STAROSA TG8 GAS","FENIXCCGT11GT12GAS","VENTCC34GASFD"
1.00,525.00,350.00,150.00,133.00,400.00,335.00
2.00,525.00,350.00,150.00,133.00,400.00,335.00
3.00,525.00,350.00,150.00,133.00,400.00,335.00
4.00,525.00,350.00,150.00,133.00,400.00,335.00
5.00,525.00,350.00,150.00,133.00,400.00,335.00
6.00,525.00,350.00,150.00,133.00,400.00,335.00
7.00,525.00,350.00,150.00,133.00,400.00,335.00
8.00,525.00,350.00,150.00,133.00,400.00,335.00
9.00,525.00,350.00,150.00,133.00,400.00,335.00
10.00,525.00,350.00,150.00,133.00,400.00,335.00
11.00,525.00,350.00,150.00,133.00,400.00,335.00
12.00,525.00,350.00,150.00,133.00,400.00,335.00
13.00,525.00,350.00,150.00,133.00,400.00,335.00
14.00,525.00,350.00,150.00,133.00,400.00,335.00
15.00,525.00,350.00,150.00,133.00,400.00,335.00
16.00,525.00,350.00,150.00,133.00,400.00,335.00
17.00,525.00,350.00,150.00,133.00,400.00,335.00
18.00,525.00,350.00,150.00,133.00,400.00,335.00
19.00,525.00,350.00,150.00,133.00,400.00,335.00
20.00,525.00,350.00,150.00,133.00,400.00,335.00
21.00,525.00,350.00,150.00,133.00,400.00,335.00
22.00,525.00,350.00,150.00,133.00,400.00,335.00
23.00,525.00,350.00,150.00,133.00,400.00,335.00
24.00,525.00,350.00,150.00,133.00,400.00,335.00
25.00,525.00,350.00,150.00,133.00,400.00,335.00
26.00,525.00,350.00,150.00,133.00,400.00,335.00
27.00,525.00,350.00,150.00,133.00,400.00,335.00
28.00,525.00,350.00,150.00,133.00,400.00,335.00
29.00,525.00,350.00,150.00,133.00,400.00,335.00
30.00,525.00,350.00,150.00,133.00,400.00,335.00
31.00,525.00,350.00,150.00,133.00,400.00,335.00
32.00,525.00,350.00,150.00,133.00,400.00,335.00
33.00,525.00,350.00,150.00,133.00,400.00,335.00
34.00,525.00,350.00,150.00,133.00,400.00,335.00
35.00,525.00,350.00,150.00,133.00,400.00,335.00
36.00,525.00,350.00,150.00,133.00,400.00,335.00
37.00,525.00,350.00,150.00,133.00,400.00,335.00
38.00,525.00,350.00,150.00,133.00,400.00,335.00
39.00,525.00,350.00,150.00,133.00,400.00,335.00
40.00,525.00,350.00,150.00,133.00,400.00,335.00
41.00,525.00,350.00,150.00,133.00,400.00,335.00
42.00,525.00,350.00,150.00,133.00,400.00,335.00
43.00,525.00,350.00,150.00,133.00,400.00,335.00
44.00,525.00,350.00,150.00,133.00,400.00,335.00
45.00,525.00,350.00,150.00,133.00,400.00,335.00
46.00,525.00,350.00,150.00,133.00,400.00,335.00
47.00,525.00,350.00,150.00,133.00,400.00,335.00
48.00,525.00,350.00,150.00,133.00,400.00,335.00
