"ETAPA \ GENERADOR","YAUPI","MALPASO","CAHUA","CHEVES G1","CHEVES G2","CANON DEL PATO","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","MATUCANA G1","MATUCANA G2","PLATANAL G1","PLATANAL G2","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CHIMAY G2","CHAGLLA G1","CHAGLLA G2"
1.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
2.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
3.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
4.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
5.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
6.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
7.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
8.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
9.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
10.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
11.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
12.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
13.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
14.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
15.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
16.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
17.00,105.00,33.75,48.00,85.00,85.00,251.70,30.50,30.00,30.50,69.00,68.00,69.00,69.00,67.00,68.50,110.50,110.50,180.00,193.00,180.00,75.00,233.00,233.00
