"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","WAYRASOLAR"
11.00,0.83,18.15,0.51,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,0.00,0.27,3.10,9.76,6.40,11.85,41.90,6.40,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,0.30,9.11,28.42,2.15,26.99,3.50,11.43,11.00,14.49,1.38,0.60,3.00,3.50,3.60,1.15,102.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,14.42,13.80,9.45,0.12,0.42,43.60,52.60,4.90,3.40,7.92,35.60,108.00,0.00,1.72,1.81,4.77,10.63,6.65,12.14,0.06,4.82,3.39,0.64
12.00,0.00,18.09,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,0.00,0.00,3.10,10.43,6.40,10.47,41.58,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,9.60,28.96,2.15,27.22,3.50,11.44,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,101.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,13.96,13.54,9.45,0.06,0.42,43.20,53.60,4.80,3.40,0.00,36.83,101.00,0.00,1.81,0.00,0.00,10.63,0.00,12.14,0.03,0.00,0.00,0.61
13.00,0.00,17.93,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,0.00,0.00,3.10,10.00,6.40,9.18,41.16,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,10.03,29.12,2.15,27.44,3.50,11.44,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,96.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,12.65,12.65,9.45,0.00,0.42,42.80,53.90,4.80,3.30,0.00,38.80,93.00,0.00,1.87,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.13
14.00,0.00,18.00,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,0.00,0.00,3.10,9.90,6.40,7.88,40.73,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,10.20,29.29,2.15,27.62,3.50,11.44,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,87.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,11.33,11.76,9.45,0.00,0.42,42.50,54.20,4.70,3.20,0.00,40.77,82.00,0.00,1.91,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
15.00,0.00,18.10,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,0.00,0.00,3.10,10.53,6.40,7.68,36.21,8.10,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,10.49,30.56,2.15,27.71,3.50,11.45,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,78.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,11.39,11.83,9.45,0.00,0.42,43.10,54.80,4.80,3.30,0.00,43.69,72.00,0.00,1.92,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
16.00,0.00,18.04,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,0.00,0.00,3.10,11.11,6.40,7.47,31.68,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,10.93,31.84,2.15,27.70,3.50,11.45,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,69.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,11.44,11.90,9.45,0.00,0.42,43.70,55.40,4.80,3.40,0.00,46.62,64.00,0.00,1.90,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
17.00,0.00,18.09,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,0.00,0.00,3.10,11.40,6.40,7.17,27.64,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,11.34,32.99,2.15,27.75,3.50,11.44,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,62.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,11.27,11.77,9.45,0.00,0.42,45.50,56.40,5.00,3.50,0.00,50.64,57.00,0.00,1.87,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
18.00,0.00,18.16,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,0.00,0.00,3.10,11.40,6.40,6.87,23.60,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,11.68,34.15,2.15,27.85,3.50,11.44,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,55.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,11.10,11.63,9.45,0.00,0.42,47.20,57.40,5.10,3.60,0.00,54.66,51.00,0.00,1.84,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
19.00,0.00,18.25,0.00,0.00,4.20,7.20,3.30,3.90,1.30,0.00,3.50,14.49,0.00,0.00,0.00,11.40,6.40,6.69,20.77,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,12.07,35.77,2.15,27.96,3.50,11.43,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,51.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,11.11,11.70,9.45,0.00,0.42,48.10,58.10,5.30,3.70,0.00,57.91,47.00,0.00,1.80,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
20.00,0.00,18.30,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.50,14.49,0.00,0.00,0.00,11.40,6.40,6.50,17.93,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,12.31,37.38,2.15,28.04,3.50,11.41,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,50.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,11.12,11.78,9.45,0.00,0.42,49.00,58.80,5.50,3.90,0.00,61.16,46.00,0.00,1.74,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
21.00,0.00,18.11,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.50,14.49,0.00,0.00,0.00,11.40,6.40,6.60,16.04,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,12.05,36.84,2.15,28.07,3.50,11.41,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,48.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,11.05,11.71,9.45,0.00,0.41,49.10,60.80,5.50,3.90,0.00,60.89,44.00,0.00,1.70,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
22.00,0.00,18.15,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.50,14.49,0.00,0.00,0.00,11.40,6.40,6.69,14.15,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,11.98,36.29,2.15,28.08,3.50,11.40,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,47.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,10.98,11.65,9.45,0.00,0.41,49.20,62.80,5.50,3.90,0.00,60.63,42.00,0.00,1.66,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
23.00,0.00,18.13,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.50,14.49,0.00,0.00,0.00,6.40,6.40,6.66,12.96,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,11.85,35.79,2.15,28.08,3.50,11.40,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,44.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,10.70,11.49,9.45,0.00,0.41,48.60,65.20,5.40,4.00,0.00,61.03,40.00,0.00,1.63,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
24.00,0.00,19.17,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.50,14.49,0.00,0.00,0.00,6.40,6.40,6.63,11.76,7.80,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,11.84,35.29,2.15,28.11,3.50,11.40,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,42.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,10.42,11.34,9.45,0.00,0.41,47.90,67.50,5.30,4.00,0.00,61.43,39.00,0.00,1.60,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
