"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CS SUNNY","CT AGROLMOS"
1.00,0.00,18.47,0.00,14.00,2.90,7.40,8.20,10.00,2.60,0.00,3.50,19.00,0.00,0.00,17.48,0.00,3.40,16.31,62.00,8.00,0.00,15.53,3.30,20.00,9.50,13.00,17.00,0.00,0.00,22.11,62.40,3.46,26.80,19.42,17.96,0.00,17.96,0.00,0.00,20.00,20.00,20.00,0.00,117.20,12.82,19.00,7.00,10.80,8.44,20.00,1.20,2.53,1.15,9.50,0.00,0.00,0.00,1.00,68.00,78.90,5.10,4.10,0.00,79.50,79.90,0.00,2.00,0.00,0.00,0.00,11.00
2.00,0.00,19.15,0.00,14.00,2.90,7.40,8.20,10.00,2.60,0.00,3.50,19.00,0.00,0.00,17.48,0.00,3.40,15.32,56.10,8.00,0.00,15.53,3.30,20.00,9.50,13.00,17.00,0.00,0.00,22.23,59.20,3.46,26.80,19.42,17.96,0.00,17.96,0.00,0.00,20.00,20.00,20.00,0.00,92.80,12.82,19.00,7.00,10.80,8.44,20.00,1.20,2.02,0.98,9.50,0.00,0.00,0.00,1.00,67.10,79.86,4.90,4.12,0.00,77.00,67.80,0.00,2.00,0.00,0.00,0.00,11.00
3.00,0.00,19.29,0.00,14.00,2.90,7.40,8.20,10.00,2.60,0.00,3.50,19.00,0.00,0.00,17.48,0.00,3.40,14.31,49.60,8.00,0.00,15.53,3.30,20.00,9.50,13.00,17.00,0.00,0.00,22.11,55.90,3.46,26.80,19.42,17.96,0.00,17.96,0.00,0.00,20.00,20.00,20.00,0.00,79.10,12.82,19.00,7.00,10.80,8.44,20.00,1.20,1.66,0.79,9.50,0.00,0.00,0.00,1.00,65.60,80.40,4.50,3.95,0.00,74.10,57.20,0.00,2.00,0.00,0.00,0.00,11.00
4.00,0.00,19.66,0.00,14.00,2.90,7.40,8.20,10.00,2.20,0.00,3.50,19.00,0.00,0.00,17.48,0.00,3.40,13.30,46.20,8.00,0.00,15.53,3.30,20.00,9.50,13.00,17.00,0.00,0.00,21.90,55.20,3.46,26.70,19.42,17.96,0.00,17.96,0.00,0.00,20.00,20.00,20.00,0.00,65.70,12.82,19.00,7.00,10.80,8.44,20.00,1.20,1.34,0.60,9.50,0.00,0.00,0.00,1.00,64.50,80.80,4.20,3.72,0.00,73.30,45.00,0.00,2.00,0.00,0.00,0.00,11.00
5.00,0.00,20.00,0.00,14.00,2.90,7.40,8.20,10.00,2.20,0.00,3.50,19.00,0.00,0.00,17.48,0.00,3.40,12.37,43.80,8.00,0.00,15.53,3.30,20.00,9.50,13.00,17.00,0.00,0.00,21.36,55.40,3.46,26.80,19.42,17.96,0.00,17.96,0.00,0.00,20.00,20.00,20.00,0.00,59.50,12.82,19.00,7.00,10.80,8.44,20.00,1.20,1.12,0.50,9.50,0.00,0.00,0.00,1.00,63.60,81.02,4.10,3.58,0.00,73.10,34.10,0.00,2.00,0.00,0.00,0.00,11.00
6.00,0.00,20.17,0.00,14.00,2.90,7.40,8.20,10.00,2.20,0.00,3.50,19.00,0.00,0.00,17.48,0.00,3.40,11.47,41.90,8.00,0.00,15.53,3.30,20.00,9.50,13.00,17.00,0.00,0.00,20.70,56.10,3.46,26.90,19.42,17.96,0.00,17.96,0.00,0.00,20.00,20.00,20.00,0.00,55.70,12.82,19.00,7.00,10.80,8.44,20.00,1.20,0.93,0.43,9.50,0.00,0.00,0.00,1.00,61.50,81.18,4.00,3.48,0.00,73.40,33.10,0.00,2.00,0.00,0.00,0.00,11.00
7.00,0.00,20.38,0.00,14.00,2.90,7.40,8.20,10.00,2.20,0.00,3.50,19.00,0.00,0.00,17.48,0.00,3.40,11.58,40.20,8.00,0.00,15.53,3.30,20.00,9.50,13.00,17.00,0.00,0.00,20.10,57.00,3.46,26.90,19.42,17.96,0.00,17.96,0.00,0.00,20.00,20.00,20.00,0.00,51.90,12.82,19.00,7.00,10.80,8.44,20.00,1.20,0.81,0.44,9.50,0.00,0.00,0.00,1.00,59.10,79.21,3.60,3.14,0.00,73.80,33.90,0.00,2.00,0.00,0.00,0.00,11.00
8.00,0.00,21.15,0.00,14.00,2.90,7.40,8.20,10.00,2.20,0.00,3.50,19.00,0.00,0.00,17.48,0.00,3.40,12.04,38.80,8.00,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,0.00,19.51,56.50,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.00,20.00,20.00,20.00,0.00,48.00,12.82,19.00,7.00,10.80,8.44,20.00,1.20,0.72,0.49,9.50,0.00,0.00,0.00,1.00,56.20,76.53,3.20,2.73,0.00,72.80,33.70,0.00,2.00,0.00,0.00,0.00,11.00
9.00,0.00,21.76,0.00,14.00,2.90,7.40,8.20,10.00,2.20,0.00,3.50,19.00,0.00,0.00,17.48,0.00,3.40,12.65,37.50,8.00,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,0.00,19.26,55.60,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.00,20.00,20.00,20.00,0.00,43.00,12.82,19.00,7.00,10.80,8.44,20.00,1.20,0.65,0.52,9.50,0.00,0.00,0.00,1.00,53.20,74.29,3.10,2.34,0.00,71.30,33.10,0.00,2.00,0.00,0.00,0.00,11.00
10.00,0.00,22.12,0.00,14.00,2.90,7.40,8.20,10.00,2.20,0.00,3.50,19.00,0.00,0.00,17.48,0.00,3.40,13.32,35.10,8.00,0.00,3.30,3.30,20.00,9.50,13.00,17.00,0.00,0.00,19.12,53.90,3.46,27.00,19.42,17.96,0.00,17.96,0.00,0.00,20.00,20.00,20.00,0.00,37.60,12.82,19.00,7.00,10.80,8.44,20.00,1.20,0.58,0.56,9.50,0.00,0.00,0.00,1.00,51.90,72.20,3.00,1.95,0.00,69.40,33.40,0.00,2.00,0.00,0.00,0.00,11.00
