"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,99.67,6.38,3.50,163.91,112.36,102.00,44.06,35.37,230.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,95.45,5.46,19.77,172.57,174.42,21.64,35.27,21.64,0.00,184.17,197.14,184.23,0.00,74.91,76.30,47.98,41.12,50.05,30.67,30.56,30.55,45.75,45.78,110.26,110.22,203.20,17.04,20.25
2.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,99.93,6.38,3.50,163.91,112.36,102.00,44.06,35.37,230.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,91.52,5.46,19.77,169.42,170.81,20.62,54.56,55.19,60.82,184.17,197.14,184.23,0.00,74.91,59.44,47.35,40.76,50.05,30.67,30.56,30.55,45.75,45.78,96.48,96.44,203.20,17.04,20.25
3.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,102.56,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,27.50,1.97,6.88,87.69,0.00,6.39,9.98,86.74,5.46,19.77,173.11,171.38,24.05,67.10,67.88,24.05,184.17,197.14,184.23,0.00,74.77,76.16,48.61,41.48,50.05,30.67,30.56,30.55,45.75,45.78,82.26,82.23,203.20,17.04,20.25
4.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,100.72,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,172.95,171.24,22.70,22.69,67.74,67.19,184.17,197.14,184.23,0.00,74.91,61.10,47.46,40.83,50.05,30.67,30.56,30.55,45.75,45.78,62.36,62.34,203.20,17.04,20.25
5.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,100.72,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,169.96,171.43,23.29,67.09,67.87,23.29,184.17,197.14,184.23,0.00,74.91,60.06,45.02,44.43,50.05,30.67,30.56,30.55,45.75,45.78,51.74,51.73,203.20,17.04,20.25
6.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,98.11,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,166.14,167.12,67.44,67.03,23.24,23.24,184.17,197.14,184.23,0.00,74.91,58.22,43.57,44.06,50.05,30.67,30.56,30.55,45.75,45.78,62.65,62.63,203.20,17.04,20.25
7.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,82.66,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,25.83,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,159.14,158.76,23.00,66.76,67.54,23.00,184.17,197.14,184.23,0.00,73.51,51.99,31.88,40.13,50.05,30.67,30.56,30.55,45.75,45.78,31.76,31.76,203.20,17.04,20.25
8.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,121.39,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,25.83,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,184.25,180.76,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,53.40,58.96,49.17,50.05,30.67,30.56,30.55,45.75,45.78,0.00,110.22,203.20,17.04,20.25
9.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,100.72,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,25.83,1.97,6.88,87.69,0.00,6.39,9.98,83.31,5.46,19.27,151.52,151.45,22.46,65.66,22.46,65.89,184.17,197.14,184.23,0.00,70.16,48.10,47.98,41.12,50.05,30.67,30.56,30.55,45.75,45.78,0.00,76.94,203.20,17.04,20.25
10.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,100.72,6.38,3.50,163.91,112.36,102.00,44.06,35.37,214.51,25.83,1.97,6.88,87.69,0.00,6.39,9.98,60.26,5.46,13.94,144.33,144.33,44.47,24.89,44.62,24.91,184.17,197.14,184.23,0.00,67.01,45.00,43.89,45.21,50.05,30.67,30.56,30.55,45.75,45.78,0.00,20.62,203.20,17.04,20.25
