"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
1.00,6.03,19.65,5.64,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,6.01,5.61,3.10,6.40,20.43,0.00,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,3.19,15.18,29.28,2.00,28.12,3.50,11.01,64.00,14.49,18.37,0.60,2.90,3.30,3.40,2.30,23.48,5.30,4.00,1.80,10.43,7.42,3.40,2.30,11.00,12.10,9.50,0.08,0.40,1.29,6.44,0.00,0.05,46.08,61.20,21.81,0.20,1.42,44.10,110.75,10.63,105.87,12.14,0.07,12.64,46.19,5.30
2.00,9.12,19.90,8.33,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,7.90,11.85,3.10,6.40,19.62,2.13,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,5.77,16.08,30.75,2.00,28.12,3.50,11.02,100.00,14.49,26.75,0.60,2.90,3.30,3.40,2.30,24.35,5.30,4.00,1.80,10.43,7.42,3.40,2.30,12.00,12.50,9.50,0.12,0.40,4.51,10.15,0.46,0.30,72.00,64.54,22.48,0.30,1.40,61.70,184.86,10.63,155.01,12.14,0.13,24.36,74.95,11.60
3.00,10.25,19.75,9.87,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,9.72,13.96,3.10,6.40,20.18,7.14,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,7.64,16.28,34.07,2.00,28.12,3.50,11.04,121.00,14.49,30.24,0.60,2.90,3.30,3.40,2.30,25.99,5.30,4.00,1.80,10.43,7.42,3.40,2.30,12.80,12.90,9.50,0.58,0.40,12.09,18.49,1.49,0.94,87.12,64.41,26.03,0.30,1.38,69.10,212.56,10.63,171.84,12.14,0.19,34.79,84.61,11.73
4.00,12.66,19.75,11.95,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,10.63,15.35,0.00,6.40,20.96,13.86,2.30,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,10.29,16.51,38.50,2.00,28.12,3.50,11.05,125.00,14.49,31.19,0.60,2.90,3.30,3.40,2.30,28.11,5.30,4.00,1.80,10.43,7.42,3.40,2.30,13.60,13.20,9.50,0.79,0.40,22.24,29.60,2.87,1.78,90.00,64.00,30.67,0.30,1.38,70.90,218.10,10.63,178.35,12.14,0.25,38.83,89.15,11.96
5.00,13.51,19.54,13.22,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,12.18,15.93,0.00,6.40,21.80,21.15,3.20,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.04,16.76,43.30,2.00,28.12,3.50,11.10,126.00,14.49,31.27,0.60,2.90,3.30,3.40,2.30,30.38,5.30,4.00,1.80,10.43,7.42,3.40,2.30,14.10,13.40,9.50,0.98,0.40,33.26,41.64,4.36,2.70,90.72,63.46,35.66,0.40,1.36,71.60,220.10,10.63,179.47,12.14,0.30,39.54,89.65,12.49
6.00,15.07,19.03,14.59,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,12.87,16.02,0.00,6.40,22.58,27.88,3.30,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.37,16.99,47.73,2.00,28.12,3.50,11.13,126.00,14.49,31.13,0.60,2.90,3.30,3.40,2.30,32.50,5.30,4.00,1.80,10.43,7.42,3.40,2.30,14.50,13.50,9.50,1.10,0.40,43.41,52.76,5.74,3.54,90.72,62.92,40.30,0.40,1.35,71.70,222.25,10.63,179.24,12.14,0.34,39.70,89.50,12.61
7.00,15.61,19.15,15.39,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.07,15.98,0.00,6.40,23.15,32.88,3.30,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.37,17.19,51.05,2.00,28.12,3.50,11.17,126.00,14.49,30.98,0.60,2.90,3.30,3.40,2.30,34.14,5.30,4.00,1.80,10.43,7.42,3.40,2.30,15.00,13.80,9.50,1.19,0.40,50.99,61.09,6.78,4.18,90.72,62.52,43.85,0.40,1.33,71.50,223.87,10.63,178.37,12.14,0.36,39.52,89.03,12.57
8.00,16.21,19.15,16.02,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.42,15.96,0.00,6.40,23.20,35.10,3.30,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.40,17.88,53.14,2.00,28.12,3.50,11.21,126.00,14.49,30.71,0.60,2.90,3.30,3.40,2.30,37.87,5.30,4.00,1.80,10.43,7.42,3.40,2.30,15.40,14.00,9.50,1.22,0.40,55.07,66.30,7.43,4.77,90.72,62.38,48.72,0.40,1.32,71.20,224.92,10.63,177.12,12.14,0.37,39.20,88.26,12.56
9.00,16.42,19.18,16.30,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.62,15.98,0.00,6.40,23.30,40.00,3.50,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.43,19.40,57.73,2.00,28.12,3.50,11.24,126.00,14.49,30.56,0.60,2.90,3.30,3.40,2.30,46.07,5.30,4.00,1.80,10.43,7.42,3.40,2.30,15.60,14.10,9.50,1.21,0.40,64.04,77.76,8.88,6.07,90.72,65.98,59.45,0.30,1.32,70.90,225.63,10.63,175.87,12.14,0.39,38.82,87.41,12.57
10.00,16.05,19.05,15.58,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.56,16.03,0.00,6.40,23.40,44.90,3.50,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.53,20.92,62.32,2.00,28.12,3.50,11.28,126.00,14.49,30.44,0.60,2.90,3.30,3.40,2.30,54.27,5.30,4.00,1.80,10.43,7.42,3.40,2.30,15.80,14.20,9.50,1.23,0.40,73.01,89.22,10.33,7.38,90.72,73.88,70.17,0.20,1.30,70.70,226.18,10.63,173.91,12.14,0.40,38.43,85.61,12.68
11.00,15.93,18.66,15.40,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.37,16.21,0.00,6.40,24.69,47.13,3.70,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.63,20.59,64.41,2.00,28.12,3.50,11.28,126.00,14.49,30.44,0.60,2.90,3.30,3.40,2.30,58.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,16.00,14.40,9.50,1.22,0.40,81.14,94.43,10.99,7.59,90.72,81.78,79.00,0.20,1.29,70.70,226.89,10.63,171.90,12.14,0.40,38.45,83.51,12.78
12.00,14.63,18.09,14.56,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.35,16.44,3.10,6.40,24.92,50.34,3.70,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.75,21.76,67.90,2.00,28.12,3.50,11.31,127.00,14.49,30.57,0.60,2.90,3.30,3.40,2.30,71.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,16.20,14.50,9.50,1.22,0.40,88.45,102.21,12.22,8.67,91.44,81.31,89.00,0.10,1.27,70.90,228.93,10.63,170.17,12.14,0.41,38.65,81.50,12.85
13.00,14.16,17.46,13.93,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,13.90,16.63,3.10,6.40,25.44,51.70,3.90,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.90,22.45,69.97,2.00,28.12,3.50,11.31,128.00,14.49,30.73,0.60,2.90,3.30,3.40,2.30,82.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,16.40,14.80,9.50,1.22,0.40,93.28,105.35,13.11,9.29,92.16,84.39,100.00,0.10,1.27,71.10,230.60,10.63,166.60,12.14,0.41,38.85,77.57,12.90
14.00,12.02,17.18,12.43,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,14.04,16.73,3.10,6.40,25.97,53.06,4.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,13.01,23.14,72.04,2.00,28.12,3.50,11.30,128.00,14.49,30.87,0.60,2.90,3.30,3.40,2.30,94.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,16.60,15.20,9.50,1.03,0.40,98.10,108.49,14.01,9.92,92.16,87.47,111.00,0.10,1.27,71.10,231.23,10.63,162.65,12.14,0.42,39.04,73.46,13.00
15.00,11.29,17.17,11.35,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,13.40,16.73,3.10,6.40,26.30,55.31,3.20,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,13.01,23.77,73.67,2.00,28.12,3.50,11.42,129.00,14.49,30.90,0.60,2.90,3.30,3.40,2.30,103.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,16.30,15.00,9.50,1.00,0.39,102.10,110.22,14.78,10.27,92.88,90.13,121.00,0.10,1.30,70.60,232.15,10.63,159.54,12.14,0.42,39.10,70.68,13.39
16.00,8.43,17.29,9.23,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,13.11,16.69,3.10,6.40,26.64,57.57,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.92,24.40,75.30,2.00,28.12,3.50,11.39,129.00,14.49,30.64,0.60,2.90,3.30,3.40,2.30,111.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,16.10,14.90,9.50,0.93,0.39,106.09,111.94,15.56,10.62,92.88,92.79,128.00,0.10,1.36,69.30,231.60,10.63,153.03,12.14,0.41,38.89,65.43,13.13
17.00,7.37,17.17,7.75,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,11.52,16.51,3.10,6.40,26.43,58.44,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.70,25.03,76.54,2.00,28.12,3.50,11.38,125.00,14.49,29.37,0.60,2.90,3.30,3.40,2.30,116.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,15.90,14.80,9.50,0.78,0.39,109.28,113.71,16.17,10.94,90.00,94.91,135.00,0.00,1.43,66.00,228.01,10.63,142.72,12.14,0.38,38.91,58.41,13.00
18.00,4.10,17.31,5.19,13.53,4.20,7.30,3.30,3.50,1.20,0.00,3.50,14.49,9.65,15.90,3.10,6.40,26.21,59.31,0.00,3.20,7.00,5.00,9.70,18.74,3.00,4.50,2.80,12.06,25.66,77.78,2.00,28.12,3.50,11.37,110.00,14.49,24.48,0.60,2.90,3.30,3.40,2.30,119.00,5.30,4.00,1.80,10.43,7.42,3.40,2.30,15.70,14.80,9.50,0.57,0.39,112.47,115.47,16.78,11.26,79.20,97.03,140.00,0.00,1.53,54.10,218.70,10.63,121.51,12.14,0.33,37.13,50.55,12.61
