"GRUPO :","RSF","RSF"
"ETAPA","Hacia Abajo","Hacia Arriba"
1.00000,0.00000,10.88145
2.00000,0.00000,0.00000
3.00000,0.00000,0.05820
4.00000,0.00037,0.05750
5.00000,1.00904,1.00904
6.00000,0.99569,1.00904
7.00000,0.00751,0.06004
8.00000,0.01438,0.06039
9.00000,0.00000,0.00000
10.00000,0.00259,0.06023
11.00000,0.08735,0.14071
12.00000,0.00000,0.00000
13.00000,0.09080,0.00000
14.00000,0.00000,0.00000
15.00000,0.09122,0.00000
16.00000,0.00000,0.00000
17.00000,0.01033,0.00000
18.00000,0.00000,0.00000
19.00000,0.06559,0.08198
20.00000,0.00000,0.00000
21.00000,0.06034,0.08679
22.00000,0.00000,0.00000
23.00000,0.05760,0.08922
24.00000,0.00000,0.00000
25.00000,0.05659,0.09001
26.00000,0.00269,0.17236
27.00000,0.01193,0.00000
28.00000,0.00000,0.00000
29.00000,1.06533,1.00904
30.00000,1.04737,1.00904
31.00000,0.00175,0.00000
32.00000,0.00000,0.00000
33.00000,0.05797,0.12050
34.00000,0.02960,0.14614
35.00000,0.00000,0.00000
36.00000,0.00000,0.00000
37.00000,0.00000,11.44990
38.00000,0.00000,17.04775
39.00000,0.00000,16.09805
40.00000,0.00000,16.15377
41.00000,0.00000,17.04148
42.00000,0.00000,16.10186
43.00000,0.00000,16.09724
44.00000,0.00000,17.01720
45.00000,0.00000,11.48090
46.00000,0.00000,11.45351
47.00000,0.00000,0.00000
48.00000,0.00000,0.05896
