"ETAPA \ GENERADOR","KALLPACC123GAS","CHILCA1CC123GAS","OLLEROSTG1GAS","STAROSA TG8 GAS","FENIXCCGT11GT12GAS","VENTCC34GASFD"
1.00,885.00,770.00,195.00,188.00,536.00,425.00
2.00,885.00,770.00,195.00,188.00,536.00,425.00
3.00,885.00,770.00,195.00,188.00,536.00,425.00
4.00,885.00,770.00,195.00,188.00,536.00,425.00
5.00,885.00,770.00,195.00,188.00,536.00,425.00
6.00,885.00,770.00,195.00,188.00,536.00,425.00
7.00,885.00,770.00,195.00,188.00,536.00,425.00
8.00,885.00,770.00,195.00,188.00,536.00,425.00
9.00,885.00,770.00,195.00,188.00,536.00,425.00
10.00,885.00,770.00,195.00,188.00,536.00,425.00
11.00,885.00,770.00,195.00,188.00,536.00,425.00
12.00,885.00,770.00,195.00,188.00,536.00,425.00
13.00,885.00,770.00,195.00,188.00,536.00,425.00
14.00,885.00,770.00,195.00,188.00,536.00,425.00
15.00,885.00,770.00,195.00,188.00,536.00,425.00
16.00,885.00,770.00,195.00,188.00,536.00,425.00
17.00,885.00,770.00,195.00,188.00,536.00,425.00
18.00,885.00,770.00,195.00,188.00,536.00,425.00
19.00,885.00,770.00,195.00,188.00,536.00,425.00
20.00,885.00,770.00,195.00,188.00,536.00,425.00
21.00,885.00,770.00,195.00,188.00,536.00,425.00
22.00,885.00,770.00,195.00,188.00,536.00,425.00
23.00,885.00,770.00,195.00,188.00,536.00,425.00
24.00,885.00,770.00,195.00,188.00,536.00,425.00
25.00,885.00,770.00,195.00,188.00,536.00,425.00
26.00,885.00,770.00,195.00,188.00,536.00,425.00
27.00,885.00,770.00,195.00,188.00,536.00,425.00
28.00,885.00,770.00,195.00,188.00,536.00,425.00
29.00,885.00,770.00,195.00,188.00,536.00,425.00
30.00,885.00,770.00,195.00,188.00,536.00,425.00
31.00,885.00,770.00,195.00,188.00,536.00,425.00
32.00,885.00,770.00,195.00,188.00,536.00,425.00
33.00,885.00,770.00,195.00,188.00,536.00,425.00
34.00,885.00,770.00,195.00,188.00,536.00,425.00
35.00,885.00,770.00,195.00,188.00,536.00,425.00
36.00,885.00,770.00,195.00,188.00,536.00,425.00
37.00,885.00,770.00,195.00,188.00,536.00,425.00
38.00,885.00,770.00,195.00,188.00,536.00,425.00
39.00,885.00,770.00,195.00,188.00,536.00,425.00
40.00,885.00,770.00,195.00,188.00,536.00,425.00
41.00,885.00,770.00,195.00,188.00,536.00,425.00
42.00,885.00,770.00,195.00,188.00,536.00,425.00
43.00,885.00,770.00,195.00,188.00,536.00,425.00
44.00,885.00,770.00,195.00,188.00,536.00,425.00
45.00,885.00,770.00,195.00,188.00,536.00,425.00
46.00,885.00,770.00,195.00,188.00,536.00,425.00
47.00,885.00,770.00,195.00,188.00,536.00,425.00
48.00,885.00,770.00,195.00,188.00,536.00,425.00
