"ETAPA \ GENERADOR","YAUPI","MALPASO","CAHUA","CHEVES G1","CHEVES G2","CANON DEL PATO","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","MATUCANA G1","MATUCANA G2","PLATANAL G1","PLATANAL G2","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CHIMAY G2","CHAGLLA G1","CHAGLLA G2"
1.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
2.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
3.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
4.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
5.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
6.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
7.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
8.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
9.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
10.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
11.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
12.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
13.00,10.00,18.00,10.00,20.00,20.00,162.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.50,20.50,65.00,72.00,66.00,45.00,140.00,140.00
