"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
11.00,12.36,22.76,6.13,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,9.53,15.08,11.65,0.00,5.40,12.70,54.26,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,11.09,14.78,50.75,2.75,27.00,19.42,19.11,116.68,17.96,27.32,0.60,8.50,9.00,9.00,1.20,26.99,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,11.72,13.33,18.00,0.00,0.00,0.92,0.00,75.35,93.19,6.76,5.40,84.70,49.28,33.66,0.20,1.90,66.03,221.79
12.00,11.66,22.63,5.29,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,7.97,14.89,11.65,0.00,5.40,12.70,55.61,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,10.46,15.27,51.70,2.75,27.00,19.42,19.11,110.51,17.96,24.81,0.60,8.50,9.00,9.00,1.20,33.88,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,11.79,13.57,18.00,0.00,0.00,0.86,0.00,76.12,96.02,6.51,5.15,80.87,51.11,40.61,0.10,1.90,60.83,224.51
13.00,11.05,22.84,4.49,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,4.79,14.27,11.65,0.00,5.40,13.30,58.01,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,8.89,16.15,53.80,2.75,27.00,19.42,19.11,87.26,17.96,16.34,0.60,8.50,9.00,9.00,1.20,60.75,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,11.56,13.38,18.00,0.00,0.00,0.72,1.23,78.64,98.47,6.56,5.07,70.20,53.25,52.45,0.10,1.90,47.81,203.73
14.00,10.09,22.70,3.17,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,0.35,12.40,11.65,0.00,5.40,13.80,60.76,8.00,4.00,15.53,2.50,18.45,17.09,0.00,0.00,2.80,5.81,16.87,55.50,2.75,27.00,19.42,19.11,42.32,17.96,5.48,0.60,8.50,9.00,9.00,1.20,74.87,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,11.23,13.05,18.00,0.00,0.00,0.52,1.23,80.55,100.14,6.72,5.03,41.36,55.09,63.92,0.10,1.90,24.50,158.53
15.00,8.79,22.78,1.27,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,0.00,6.94,11.65,0.00,5.40,14.00,62.11,8.00,4.00,15.53,2.50,18.45,17.09,7.00,10.68,2.80,1.46,17.14,55.94,2.75,27.00,19.42,19.11,11.37,17.96,0.67,0.60,8.50,9.00,9.00,1.20,86.83,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,10.33,12.05,18.00,0.00,0.00,0.45,1.23,80.60,99.48,6.59,4.86,11.74,55.99,84.65,0.10,1.90,7.63,100.34
16.00,3.71,22.70,0.11,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,0.00,1.36,11.65,0.00,5.40,13.80,62.99,8.00,4.00,15.53,2.50,18.45,17.09,7.00,10.68,2.80,0.03,17.26,55.72,2.75,27.00,19.42,19.11,1.72,17.96,0.02,0.60,8.50,9.00,9.00,1.20,96.49,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,9.25,10.81,18.00,0.00,0.00,0.31,1.23,74.50,95.60,6.36,4.64,1.94,56.32,92.61,0.10,1.90,1.83,33.39
17.00,0.05,22.76,0.00,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,0.00,0.00,11.65,0.00,5.40,13.00,62.77,8.00,4.00,15.53,2.50,18.45,17.09,7.00,10.68,2.80,0.00,16.93,53.51,2.75,27.00,19.42,19.11,0.01,17.96,0.00,0.60,8.50,9.00,9.00,1.20,99.29,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,8.16,9.98,18.00,0.00,0.00,0.11,1.23,66.96,89.09,6.01,4.32,0.00,54.93,92.46,0.00,1.90,0.01,1.16
18.00,0.00,22.59,0.00,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,0.00,0.00,11.65,0.00,5.40,11.90,62.18,8.00,4.00,15.53,2.50,18.45,17.09,7.00,10.68,2.80,0.00,16.77,52.04,2.75,27.00,19.42,19.11,0.00,17.96,0.00,0.60,8.50,9.00,9.00,1.20,100.79,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,7.08,9.28,18.00,0.00,0.00,0.05,1.23,59.29,77.31,5.62,3.96,0.00,54.25,91.41,0.00,1.90,0.00,0.00
19.00,0.00,22.78,0.00,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,0.00,0.00,11.65,0.00,5.40,10.60,58.73,8.00,4.00,15.53,2.50,18.45,17.09,7.00,10.68,2.80,0.00,17.22,52.51,2.75,27.00,19.42,19.11,0.00,17.96,0.00,0.60,8.50,9.00,9.00,1.20,98.45,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,6.46,9.05,18.00,0.00,0.00,0.00,1.23,53.24,69.72,5.33,3.76,0.00,55.74,88.11,0.00,1.90,0.00,0.00
20.00,0.00,22.78,0.00,14.00,4.20,8.20,4.50,15.92,1.50,0.40,3.50,0.00,0.00,0.00,11.65,0.00,5.40,9.40,54.32,8.00,4.00,15.53,2.50,18.45,17.09,7.00,10.68,2.80,0.00,17.74,53.10,2.75,27.00,19.42,19.11,0.00,17.96,0.00,0.60,8.50,9.00,9.00,1.20,95.17,11.17,13.59,19.42,4.00,10.60,7.85,13.11,2.40,5.99,8.97,18.00,0.00,0.00,0.00,1.23,49.68,64.89,5.08,3.61,0.00,57.53,83.74,0.00,1.90,0.00,0.00
