"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CT AGROLMOS"
11.00,0.65,20.25,0.27,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,0.21,0.27,3.10,0.00,6.80,12.76,16.40,8.08,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,0.51,21.49,54.44,2.50,27.33,4.50,12.00,4.58,17.86,0.89,0.60,5.00,5.50,5.70,2.40,8.90,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,9.84,13.98,18.00,0.00,0.00,0.00,0.40,44.10,60.70,2.47,1.49,2.54,86.90,10.00,0.00,1.84,2.06,3.34,0.00,29.00,11.00
12.00,5.31,20.49,2.53,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,1.98,3.05,3.10,0.00,6.80,12.51,14.70,8.08,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,6.08,21.02,53.32,2.50,27.35,4.50,12.00,39.11,17.86,6.63,0.60,5.00,5.50,5.70,2.40,8.90,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,10.55,14.34,18.00,0.00,0.00,0.00,0.40,41.30,57.90,2.32,1.43,25.48,85.30,9.10,0.00,1.84,20.32,39.18,0.00,58.00,11.00
13.00,8.95,20.57,4.84,0.00,2.90,7.70,2.30,7.30,1.60,0.40,3.50,19.50,3.42,9.80,3.10,0.00,6.80,12.06,13.90,8.08,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,12.01,20.67,52.36,2.50,27.33,4.50,12.00,91.85,17.86,17.58,0.60,5.00,5.50,5.70,2.40,8.60,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,11.00,14.42,18.00,0.00,0.00,0.03,0.40,38.50,55.40,2.24,1.55,64.22,82.90,8.00,0.00,1.84,48.62,115.99,0.00,121.00,11.00
14.00,10.90,20.64,7.47,0.00,2.90,7.70,2.30,7.30,1.50,0.40,3.50,19.50,5.38,16.15,3.10,0.00,6.80,11.54,13.00,8.08,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,14.43,20.16,51.32,2.50,27.30,4.50,12.00,130.85,17.86,29.77,0.60,5.00,5.50,5.70,2.40,8.10,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,11.37,14.41,18.00,0.00,0.00,0.06,0.40,34.50,52.70,2.18,1.75,92.31,80.40,7.90,0.00,1.84,73.08,212.05,0.00,184.00,11.00
15.00,12.03,20.69,9.99,0.00,2.90,7.70,2.30,7.30,1.50,0.40,3.50,19.50,12.65,18.15,3.10,0.00,6.80,10.74,12.20,8.08,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.40,19.50,50.21,2.50,27.35,4.50,12.00,142.23,17.86,34.96,0.60,5.00,5.50,5.70,2.40,7.30,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,12.01,14.46,18.00,0.00,0.00,0.08,0.40,30.10,49.10,2.26,1.94,101.85,77.80,10.60,0.00,1.84,78.88,214.28,0.00,191.00,11.00
16.00,12.70,20.68,11.94,0.00,2.90,7.70,2.30,7.30,1.50,0.40,3.50,19.50,17.02,18.88,3.10,0.00,6.80,9.84,11.70,8.08,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.74,19.12,50.08,2.50,27.22,4.50,12.00,144.34,17.86,36.52,0.60,5.00,5.50,5.70,2.40,6.70,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,12.72,14.53,18.00,0.00,0.00,0.12,0.40,29.20,49.10,2.40,2.13,105.87,76.00,12.40,0.00,1.84,79.89,235.08,0.00,198.00,11.00
17.00,13.47,20.50,13.69,0.00,2.90,7.70,2.30,7.30,1.50,0.40,3.50,19.50,18.74,19.21,3.10,0.00,6.80,9.09,12.30,8.07,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.86,19.02,50.92,2.50,27.06,4.50,12.00,144.41,17.86,37.15,0.60,5.00,5.50,5.70,2.40,7.00,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,13.49,14.88,18.00,0.00,0.00,0.55,0.40,31.20,50.40,2.88,2.52,107.78,76.70,11.70,0.10,1.84,79.98,241.02,0.00,201.00,11.00
18.00,14.23,20.64,15.29,0.00,2.90,7.70,2.30,7.30,1.50,0.40,3.50,19.50,18.71,19.33,3.10,0.00,6.80,8.40,14.10,8.07,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.90,19.15,52.60,2.50,26.82,4.50,12.00,144.47,17.86,37.62,0.60,5.00,5.50,5.70,2.40,7.30,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,14.27,15.32,18.00,0.00,0.00,0.75,0.40,33.60,51.90,3.48,2.98,108.80,77.70,12.10,0.20,1.80,79.99,237.18,0.00,204.00,11.00
19.00,14.78,20.85,16.75,0.00,2.90,7.70,2.30,7.30,1.50,0.40,3.50,19.50,18.40,19.22,3.10,0.00,6.80,8.23,19.10,8.07,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.85,19.49,55.13,2.50,26.78,4.50,12.00,144.48,17.86,37.85,0.60,5.00,5.50,5.70,2.40,7.70,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,14.73,15.58,18.00,0.00,0.00,0.93,0.40,36.20,53.60,4.09,3.30,108.86,79.60,15.80,0.20,1.76,80.00,226.10,0.00,205.00,11.00
20.00,15.38,20.61,18.01,0.00,2.90,7.70,2.30,7.30,1.50,0.40,3.50,19.50,18.80,19.05,3.10,0.00,6.80,8.25,24.40,8.06,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.76,19.51,57.69,2.50,26.59,4.50,12.00,144.48,17.86,37.93,0.60,5.00,5.50,5.70,2.40,9.10,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,15.07,15.79,18.00,0.00,0.00,1.04,0.40,38.80,55.70,4.71,3.57,108.65,81.30,20.50,0.30,1.76,80.00,224.53,0.00,206.00,11.00
21.00,16.02,20.34,19.03,0.00,2.90,7.70,2.30,7.30,1.50,0.40,3.50,19.50,19.32,18.90,3.10,0.00,6.80,8.94,30.40,8.06,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.71,19.20,60.29,2.50,26.44,4.50,12.00,144.46,17.86,38.00,0.60,5.00,5.50,5.70,2.40,13.50,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,15.34,15.86,18.00,0.00,0.00,1.13,0.40,41.40,57.80,5.36,4.19,108.65,81.90,28.30,0.30,1.76,80.00,228.25,0.00,206.00,11.00
22.00,16.35,20.18,19.51,0.00,2.90,7.70,2.30,7.30,1.50,0.40,3.50,19.50,19.58,18.84,3.10,0.00,6.80,9.85,35.70,8.05,4.00,9.56,4.60,18.45,14.08,7.00,10.00,2.80,15.73,18.73,61.52,2.50,26.39,4.50,12.00,144.40,17.86,38.09,0.60,5.00,5.50,5.70,2.40,21.10,7.00,8.00,19.42,2.50,10.70,7.43,0.00,2.40,15.59,15.89,18.00,0.00,0.00,1.15,0.40,45.10,60.60,6.02,4.92,108.92,83.00,38.50,0.30,1.72,80.00,230.56,0.00,206.00,11.00
