"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE","CSINTIPAMPAEXP"
1.00,0.00,21.43,0.00,17.00,2.90,7.90,5.80,9.85,1.50,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,22.51,57.50,7.50,0.00,15.41,4.00,17.76,13.85,10.00,13.66,1.40,0.00,20.80,65.18,2.50,26.60,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,120.40,9.00,21.00,8.00,9.00,8.17,5.60,1.20,4.40,6.28,18.90,0.00,0.00,0.00,1.00,74.40,80.90,2.52,4.24,0.00,80.97,114.90,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
2.00,0.00,21.43,0.00,17.00,2.90,7.90,5.80,9.85,1.50,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,20.95,51.60,7.30,0.00,15.41,4.00,17.76,13.85,10.00,13.66,1.40,0.00,21.10,62.90,2.50,26.80,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,115.40,9.00,21.00,8.00,9.00,8.17,5.60,1.20,4.23,6.25,18.90,0.00,0.00,0.00,1.00,71.80,80.70,2.40,3.69,0.00,78.03,106.90,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
3.00,0.00,20.88,0.00,17.00,2.90,7.90,5.80,9.85,1.50,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,19.53,45.40,7.30,0.00,15.41,4.00,17.76,13.85,10.00,13.66,1.40,0.00,21.00,60.42,2.50,26.90,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,103.50,9.00,21.00,8.00,9.00,8.17,5.60,1.20,4.08,6.07,18.90,0.00,0.00,0.00,1.00,69.10,81.00,2.12,3.23,0.00,74.67,92.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
4.00,0.00,19.81,0.00,17.00,2.90,7.90,5.80,9.85,1.50,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,18.17,40.20,7.30,0.00,15.41,4.00,17.76,13.85,10.00,13.66,1.40,0.00,20.90,58.08,2.50,27.00,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,90.90,9.00,21.00,8.00,9.00,8.17,5.60,1.20,3.92,5.83,18.90,0.00,0.00,0.00,1.00,66.20,80.90,1.78,2.79,0.00,71.74,77.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
5.00,0.00,19.87,0.00,17.00,2.90,7.90,5.80,9.85,1.50,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,17.11,37.90,7.30,0.00,15.41,4.00,17.76,13.85,10.00,13.66,1.40,0.00,20.40,55.80,2.50,27.00,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,75.90,9.00,21.00,8.00,9.00,8.17,5.60,1.20,3.65,5.78,18.90,0.00,0.00,0.00,1.00,62.90,79.00,1.61,2.45,0.00,68.95,61.70,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
6.00,0.00,19.91,0.00,17.00,2.90,7.90,5.80,9.85,1.50,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,16.17,35.70,7.30,0.00,15.41,4.00,17.76,13.85,10.00,13.66,1.40,0.00,19.80,53.58,2.50,26.90,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,61.80,9.00,21.00,8.00,9.00,8.17,5.60,1.20,3.34,5.80,18.90,0.00,0.00,0.00,1.00,59.30,77.00,1.48,2.14,0.00,68.00,47.40,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
7.00,0.00,20.19,0.00,17.00,2.90,7.90,5.80,9.85,1.50,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,15.46,33.60,7.30,0.00,15.41,4.00,17.76,13.85,10.00,13.66,1.40,0.00,19.00,51.37,2.50,26.90,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,50.60,9.00,21.00,8.00,9.00,8.17,5.60,1.20,3.02,5.54,18.90,0.00,0.00,0.00,1.00,54.40,74.20,1.34,1.86,0.00,67.67,36.10,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
8.00,0.00,21.29,0.00,17.00,2.90,7.90,5.80,9.85,1.60,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,14.82,31.70,7.30,0.00,15.41,4.00,17.76,13.85,10.00,13.66,1.40,0.00,17.90,46.62,2.50,27.00,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,40.10,9.00,21.00,8.00,9.00,8.17,5.60,1.20,2.70,5.20,18.90,0.00,0.00,0.00,1.00,49.90,71.30,1.19,1.59,0.00,64.75,26.20,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
9.00,0.00,21.79,0.00,17.00,2.90,7.90,5.80,9.85,1.60,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,15.46,30.50,7.30,0.00,15.41,4.00,17.76,13.85,10.00,13.66,1.40,0.00,15.80,41.02,2.50,27.10,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,31.90,9.00,21.00,8.00,9.00,8.17,5.60,1.20,2.94,5.82,18.90,0.00,0.00,0.00,1.00,46.30,67.60,1.06,1.41,0.00,60.97,20.50,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
10.00,0.00,21.82,0.00,17.00,2.90,7.90,5.80,9.85,1.60,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,16.53,29.00,7.30,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,0.00,14.00,37.07,2.50,27.00,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,24.80,9.00,21.00,8.00,9.00,8.17,5.60,1.20,3.37,6.76,18.90,0.00,0.00,0.00,1.00,42.80,63.80,0.93,1.26,0.00,58.17,15.20,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
11.00,0.00,23.28,0.00,17.00,2.90,7.90,5.80,9.85,1.60,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,17.74,26.30,7.30,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,0.00,13.00,33.65,2.50,27.00,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,20.50,9.00,21.00,8.00,9.00,8.17,5.60,1.20,3.19,6.65,18.90,0.00,0.00,0.00,1.00,39.40,59.60,0.81,1.10,0.00,55.71,11.30,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
12.00,0.00,23.10,0.00,17.00,2.90,7.90,5.80,9.85,1.60,0.00,3.30,20.11,0.00,0.00,16.00,0.00,0.00,19.00,23.70,7.30,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,0.00,12.20,31.26,2.50,27.00,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,16.80,9.00,21.00,8.00,9.00,8.17,5.60,1.20,2.81,6.19,18.90,0.00,0.00,0.00,1.00,36.50,55.70,0.71,0.95,0.00,53.87,8.40,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
