"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY"
11.00,0.04,18.88,0.35,14.00,0.00,7.60,6.40,8.30,2.60,0.40,3.50,20.00,0.03,0.53,17.48,0.00,6.80,14.83,17.62,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,0.13,11.30,26.05,3.40,27.00,19.42,17.96,14.68,17.96,3.43,0.60,19.42,19.42,19.42,2.40,13.70,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.79,5.50,18.00,0.00,0.00,0.00,1.00,23.48,44.90,0.70,0.90,17.23,41.39,12.40,0.00,2.00,1.36,14.19,11.00,37.00
12.00,0.25,18.99,1.47,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,0.24,2.65,17.48,0.00,6.80,15.40,17.40,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,2.08,11.50,25.75,3.40,27.00,19.42,17.96,56.88,17.96,13.34,0.60,19.42,19.42,19.42,2.40,16.60,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.85,5.58,18.00,0.00,0.00,0.00,1.00,24.16,42.60,0.70,0.90,49.92,42.66,14.80,0.00,2.00,9.66,55.34,11.00,75.00
13.00,1.13,19.03,2.61,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,0.92,6.08,17.48,0.00,6.80,15.93,17.57,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,5.94,11.60,25.95,3.40,27.00,19.42,17.96,101.70,17.96,24.38,0.60,19.42,19.42,19.42,2.40,20.10,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.92,5.69,18.00,0.00,0.00,0.03,1.00,24.64,39.70,0.70,0.80,77.93,45.11,17.30,0.00,2.00,30.15,111.87,11.00,128.00
14.00,3.03,18.94,4.56,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,3.02,10.93,17.48,0.00,6.80,16.29,18.91,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,10.09,12.50,27.63,3.40,27.00,19.42,17.96,135.38,17.96,31.76,0.60,19.42,19.42,19.42,2.40,21.10,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.98,5.86,18.00,0.00,0.00,0.06,1.00,24.52,40.00,1.00,1.00,95.93,47.56,20.10,0.00,2.00,52.07,180.82,11.00,180.00
15.00,5.65,18.87,7.55,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,7.25,14.78,17.48,0.00,6.80,16.58,20.84,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,12.94,13.70,30.40,3.40,27.00,19.42,17.96,143.79,17.96,35.61,0.60,19.42,19.42,19.42,2.40,21.30,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.94,5.82,18.00,0.00,0.00,0.07,1.00,25.40,41.40,1.40,1.30,104.65,52.33,23.00,0.00,2.00,63.84,234.21,11.00,190.00
16.00,8.32,18.92,10.15,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,11.42,16.78,17.48,0.00,6.80,16.65,24.57,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,1.45,14.57,15.70,36.46,3.40,27.00,19.42,17.96,144.43,17.96,37.22,0.60,19.42,19.42,19.42,2.40,24.90,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.63,5.15,18.00,0.00,0.00,0.11,1.00,29.29,47.70,2.40,2.10,108.30,57.10,28.70,0.10,2.00,73.36,250.40,11.00,199.00
17.00,10.60,18.92,12.05,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,14.46,17.83,17.48,0.00,6.80,16.59,29.08,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.34,17.90,42.49,3.40,27.00,19.42,17.96,144.48,17.96,38.14,0.60,19.42,19.42,19.42,2.40,29.80,12.82,19.42,6.00,10.80,8.30,12.62,2.40,3.54,4.89,18.00,0.00,0.00,0.52,1.00,34.24,55.60,3.50,3.10,110.38,64.83,35.20,0.20,2.00,78.24,250.40,11.00,203.00
18.00,12.53,18.71,13.83,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,15.56,18.39,17.48,0.00,6.80,16.16,35.94,8.10,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.77,19.20,48.39,3.40,27.00,19.42,17.96,144.48,17.96,38.60,0.60,19.42,19.42,19.42,2.40,37.40,12.82,19.42,6.00,10.80,8.30,12.62,2.40,4.12,5.93,18.00,0.00,0.00,0.70,1.00,42.39,62.60,4.70,4.10,111.69,72.55,44.10,0.20,2.00,79.68,250.40,11.00,207.00
19.00,14.17,18.83,15.31,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,16.12,18.63,17.48,0.00,6.80,15.77,43.15,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.95,20.20,53.78,3.40,27.00,19.42,17.96,144.48,17.96,38.88,0.60,19.42,19.42,19.42,2.40,46.00,12.82,19.42,6.00,10.80,8.30,12.62,2.40,4.68,6.97,18.00,0.00,0.00,0.87,1.00,50.17,69.30,6.00,5.20,112.44,79.41,53.80,0.30,2.00,79.99,250.40,11.00,209.00
20.00,15.58,18.34,16.59,14.00,0.00,7.60,6.40,8.30,2.65,0.40,3.50,20.00,16.89,18.66,17.48,0.00,6.80,15.51,51.40,8.00,3.80,3.40,2.50,18.45,18.25,11.65,15.53,0.00,15.96,20.90,57.59,3.40,27.00,19.42,17.96,144.48,17.96,39.15,0.60,19.42,19.42,19.42,2.40,55.60,12.82,19.42,6.00,10.80,8.30,12.62,2.40,5.22,8.01,18.00,0.00,0.00,0.97,1.00,56.84,73.50,7.20,6.30,112.69,86.26,62.20,0.30,2.00,80.00,250.40,11.00,210.00
