"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CS INTIPAMPA EXP","CTCASAGRANDE"
11.00,14.12,18.73,14.69,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,14.46,10.12,11.71,0.00,4.10,10.87,33.35,4.10,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,9.89,5.70,25.20,2.05,26.10,10.00,18.05,140.00,17.95,36.84,0.60,19.51,19.51,19.51,1.20,5.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,2.57,7.80,18.90,0.00,0.00,0.74,1.00,22.00,20.00,2.60,1.45,108.24,44.60,10.20,0.30,2.00,76.41,252.34,11.00,211.54,42.79,23.00
12.00,15.67,18.73,15.89,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,15.86,11.49,11.71,0.00,4.10,9.52,40.33,5.40,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,11.09,6.04,27.80,2.05,26.20,10.00,18.05,142.37,17.95,38.96,0.60,19.51,19.51,19.51,1.20,2.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,3.27,8.70,18.90,0.00,0.00,0.83,1.00,20.05,21.28,2.90,1.80,109.43,46.90,8.00,0.30,2.00,77.95,252.39,11.00,214.11,43.42,23.00
13.00,16.83,18.71,17.06,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,16.87,12.87,11.71,0.00,4.10,8.98,46.73,5.00,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,12.30,6.40,30.50,2.05,25.80,10.00,18.05,144.42,17.95,39.19,0.60,19.51,19.51,19.51,1.20,4.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,3.63,9.50,18.90,0.00,0.00,0.90,1.00,20.05,21.28,3.20,2.14,110.28,49.40,11.00,0.30,2.00,78.71,252.40,11.00,215.47,44.48,23.00
14.00,17.44,18.70,17.85,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,17.31,14.38,11.71,0.00,4.10,8.72,52.95,4.90,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,13.35,6.70,32.80,2.05,25.90,10.00,18.05,145.02,17.95,39.41,0.60,19.51,19.51,19.51,1.20,8.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,3.88,9.10,18.90,0.00,0.00,0.92,1.00,26.34,27.54,3.60,2.47,110.87,52.10,15.00,0.40,2.00,79.06,252.40,11.00,215.99,43.89,23.00
15.00,17.53,18.54,18.07,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,17.39,15.47,11.71,0.00,4.10,9.56,57.92,4.80,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,14.14,6.95,35.00,2.05,26.00,10.00,18.05,145.07,17.95,39.29,0.60,19.51,19.51,19.51,1.20,16.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,4.04,8.40,18.90,0.00,0.00,0.91,1.00,26.34,27.54,4.00,2.67,111.17,55.00,22.00,0.40,2.00,79.22,252.40,11.00,217.81,44.54,23.00
16.00,17.49,18.38,17.97,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,16.72,15.75,11.71,0.00,4.10,10.78,62.47,4.80,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,14.35,7.23,36.30,2.05,26.00,10.00,18.05,145.56,17.95,39.16,0.60,19.51,19.51,19.51,1.20,28.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,4.17,8.20,18.90,0.00,0.00,0.93,1.00,31.50,34.02,4.50,2.83,111.18,57.40,33.00,0.40,2.00,79.20,252.40,11.00,219.00,42.86,23.00
17.00,17.21,17.49,17.46,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,16.39,15.69,11.71,0.00,4.10,11.67,66.71,4.00,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,14.33,7.56,37.50,2.05,25.80,10.00,18.05,144.53,17.95,38.74,0.60,19.51,19.51,19.51,1.20,43.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,3.47,8.20,18.90,0.00,0.00,0.92,1.00,31.50,34.02,5.10,3.19,111.03,59.70,44.00,0.40,2.00,79.10,252.40,11.00,211.97,42.46,23.00
18.00,16.27,16.34,16.34,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,16.51,15.46,11.71,0.00,4.10,12.44,70.85,3.70,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,14.20,7.83,38.30,2.05,25.70,10.00,18.05,143.16,17.95,38.31,0.60,19.51,19.51,19.51,1.20,59.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,2.49,7.50,17.90,0.00,0.00,0.92,1.00,38.33,42.09,5.40,3.63,110.84,61.00,56.00,0.30,2.00,78.90,252.40,11.00,215.71,41.44,23.00
19.00,14.73,16.32,15.10,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,16.39,15.25,11.71,0.00,4.10,13.36,72.25,3.10,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,13.95,8.06,39.00,2.05,25.70,10.00,18.05,144.57,17.95,35.88,0.60,19.51,19.51,19.51,1.20,74.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,2.74,6.70,9.50,0.00,0.00,0.92,1.00,38.33,42.09,5.80,3.81,110.71,62.00,68.00,0.20,2.00,78.51,252.40,11.00,214.01,42.43,23.00
20.00,12.91,16.32,14.02,14.00,2.90,7.90,5.80,7.30,1.50,0.00,2.60,20.00,14.85,15.28,11.71,0.00,4.10,14.32,72.73,3.10,0.00,4.80,3.60,18.15,15.41,10.00,0.00,1.40,13.67,8.32,39.50,2.05,25.70,10.00,18.05,139.50,17.95,33.44,0.60,19.51,19.51,19.51,1.20,87.00,9.00,17.56,6.00,10.80,8.12,6.50,2.40,3.40,5.20,9.50,0.00,0.00,0.77,1.00,47.58,51.47,5.50,3.90,100.52,61.70,79.00,0.20,2.00,77.88,252.40,11.00,210.47,42.27,23.00
