"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CTAGROLMOS"
1.00,0.00,13.96,0.00,14.00,4.20,7.70,2.60,4.00,1.83,0.40,3.30,17.00,0.00,0.00,3.10,0.00,7.60,14.00,29.00,0.00,4.50,4.80,4.20,18.25,10.00,3.00,4.20,2.80,0.00,30.54,89.48,2.45,27.80,5.00,10.68,0.00,16.02,0.00,0.60,3.00,3.40,3.50,1.20,113.00,6.70,6.00,19.42,2.00,10.80,7.63,5.30,1.20,0.68,1.66,18.90,0.00,0.00,0.00,0.00,106.83,86.04,15.43,15.16,0.00,134.57,149.00,0.00,1.40,0.00,0.00,0.00,0.00,12.00
2.00,0.00,13.86,0.00,14.00,4.20,7.70,2.60,4.00,1.83,0.40,3.30,17.00,0.00,0.00,3.10,0.00,7.60,27.97,41.74,0.00,4.50,4.80,4.20,18.25,10.00,3.00,4.20,2.80,0.00,30.57,89.63,2.45,27.70,5.00,10.68,0.00,16.02,0.00,0.60,3.00,3.40,3.50,1.20,113.00,6.70,6.00,19.42,2.00,10.80,7.63,5.30,1.20,7.30,12.72,18.90,0.00,0.00,0.00,0.00,107.02,85.81,15.36,15.19,0.00,134.57,149.00,0.00,1.40,0.00,0.00,0.00,0.00,12.00
3.00,0.00,14.50,0.00,14.00,4.20,7.70,2.60,4.00,1.83,0.40,3.30,17.00,0.00,0.00,3.10,0.00,7.60,27.87,40.66,0.00,4.50,4.80,4.20,18.25,10.00,3.00,4.20,2.80,0.00,30.59,89.68,2.45,27.60,5.00,10.68,0.00,16.02,0.00,0.60,3.00,3.40,3.50,1.20,112.00,6.70,6.00,19.42,2.00,10.80,7.63,5.30,1.20,7.60,12.99,18.90,0.00,0.00,0.00,0.00,106.97,86.09,15.25,15.22,0.00,134.57,150.00,0.00,1.40,0.00,0.00,0.00,0.00,12.00
4.00,0.00,14.72,0.00,14.00,4.20,7.70,2.60,4.00,1.83,0.40,3.30,17.00,0.00,0.00,3.10,0.00,7.60,27.63,41.47,0.00,4.50,4.80,4.20,18.25,10.00,3.00,4.20,2.80,0.00,30.60,89.65,2.45,27.70,5.00,10.68,0.00,16.02,0.00,0.60,3.00,3.40,3.50,1.20,112.00,6.70,6.00,19.42,2.00,10.80,7.63,5.30,1.20,7.82,12.99,18.90,0.00,0.00,0.00,0.00,105.71,86.11,15.44,15.17,0.00,134.57,151.00,0.00,1.40,0.00,0.00,0.00,0.00,12.00
5.00,0.00,15.43,0.00,14.00,4.20,7.70,2.60,4.00,1.83,0.40,3.30,17.00,0.00,0.00,3.10,0.00,7.60,27.66,42.33,0.00,4.50,4.80,4.20,18.25,10.00,3.00,4.20,2.80,0.00,30.61,89.61,2.45,27.70,5.00,10.68,0.00,16.02,0.00,0.60,3.00,3.40,3.50,1.20,112.00,6.70,6.00,19.42,2.00,10.80,7.63,5.30,1.20,8.04,12.89,18.90,0.00,0.00,0.00,0.00,104.05,86.05,15.74,15.10,0.00,134.56,151.00,0.00,1.40,0.00,0.00,0.00,0.00,12.00
6.00,0.00,15.50,0.00,14.00,4.20,7.70,2.60,4.00,1.83,0.40,3.30,17.00,0.00,0.00,3.10,0.00,7.60,27.77,43.21,0.00,4.50,4.80,4.20,18.25,10.00,3.00,4.20,2.80,0.00,30.62,89.57,2.45,27.80,5.00,10.68,0.00,16.02,0.00,0.60,3.00,3.40,3.50,1.20,112.00,6.70,6.00,19.42,2.00,10.80,7.63,5.30,1.20,8.27,12.76,18.90,0.00,0.00,0.00,0.00,103.64,87.55,16.02,15.11,0.00,134.54,151.00,0.00,1.40,0.00,0.00,0.00,0.00,12.00
7.00,0.00,15.66,0.00,14.00,4.20,7.70,2.60,4.00,1.83,0.40,3.30,17.00,0.00,0.00,3.10,0.00,7.60,27.97,44.53,0.00,4.50,4.80,4.20,18.25,10.00,3.00,4.20,2.80,0.00,30.60,89.51,2.45,27.70,5.00,10.68,0.00,16.02,0.00,0.60,3.00,3.40,3.50,1.20,112.00,6.70,6.00,19.42,2.00,10.80,7.63,5.30,1.20,8.33,12.69,18.90,0.00,0.00,0.00,0.00,103.66,89.56,16.29,15.15,0.00,134.53,151.00,0.00,1.40,0.00,0.00,0.00,0.00,12.00
8.00,0.00,15.74,0.00,14.00,4.20,7.70,2.60,4.00,1.83,0.40,3.30,17.00,0.00,0.00,3.10,0.00,7.60,28.19,45.98,0.00,4.50,4.80,4.20,18.25,10.00,3.00,4.20,2.80,0.00,30.55,89.41,2.45,27.80,5.00,10.68,0.00,16.02,0.00,0.60,3.00,3.40,3.50,1.20,112.00,6.70,6.00,19.42,2.00,10.80,7.63,5.30,1.20,8.34,12.64,18.90,0.00,0.00,0.00,0.00,103.73,90.09,16.22,15.08,0.00,134.53,151.00,0.00,1.40,0.00,0.00,0.00,0.00,12.00
9.00,0.00,15.98,0.00,14.00,4.20,7.70,2.60,4.00,1.83,0.40,3.30,17.00,0.00,0.00,3.10,0.00,7.60,28.40,47.47,0.00,4.50,4.80,4.20,18.25,10.00,3.00,4.20,2.80,0.00,30.54,89.42,2.45,27.70,5.00,10.68,0.00,16.02,0.00,0.60,3.00,3.40,3.50,1.20,112.00,6.70,6.00,19.42,2.00,10.80,7.63,5.30,1.20,8.26,12.59,18.90,0.00,0.00,0.00,0.00,103.81,90.12,16.02,14.96,0.00,134.55,151.00,0.00,1.36,0.00,0.00,0.00,0.00,12.00
10.00,0.00,16.52,0.00,14.00,4.20,7.70,2.60,4.00,1.83,0.40,3.30,17.00,0.00,0.00,3.10,0.00,7.60,28.60,48.97,0.00,4.50,4.80,4.20,18.25,10.00,3.00,4.20,2.80,0.00,30.56,89.55,2.45,27.70,5.00,10.68,0.00,16.02,0.00,0.60,3.00,3.40,3.50,1.20,111.00,6.70,6.00,19.42,2.00,10.80,7.63,5.30,1.20,8.15,12.54,18.90,0.00,0.00,0.00,0.00,103.32,90.69,15.94,15.09,0.00,134.56,151.00,0.00,1.36,0.00,0.00,0.00,0.00,12.00
