"ETAPA \ GENERADOR","KALLPACC123GAS","CHILCA1CC123GAS","OLLEROSTG1GAS","STAROSA TG8 GAS","FENIXCCGT11GT12GAS","VENTCC34GASFD"
1.00,180.00,0.00,0.00,0.00,0.00,0.00
2.00,180.00,0.00,0.00,0.00,0.00,0.00
3.00,180.00,0.00,0.00,0.00,0.00,0.00
4.00,180.00,0.00,0.00,0.00,0.00,0.00
5.00,186.00,0.00,0.00,0.00,0.00,0.00
6.00,180.00,0.00,0.00,0.00,0.00,0.00
7.00,180.00,0.00,0.00,0.00,0.00,0.00
8.00,168.91,0.00,0.00,0.00,0.00,0.00
9.00,180.00,0.00,0.00,0.00,0.00,0.00
10.00,163.67,0.00,0.00,0.00,0.00,0.00
11.00,180.00,0.00,0.00,0.00,0.00,0.00
12.00,180.00,0.00,0.00,0.00,0.00,0.00
13.00,183.87,0.00,0.00,0.00,0.00,0.00
14.00,201.00,0.00,0.00,0.00,0.00,0.00
15.00,201.00,0.00,0.00,0.00,0.00,0.00
16.00,149.18,0.00,0.00,0.00,0.00,0.00
17.00,159.12,0.00,0.00,0.00,0.00,0.00
18.00,145.50,0.00,0.00,0.00,0.00,0.00
19.00,140.36,0.00,0.00,0.00,0.00,0.00
20.00,139.93,0.00,0.00,0.00,0.00,0.00
21.00,124.54,0.00,0.00,0.00,0.00,0.00
22.00,129.33,0.00,0.00,0.00,0.00,0.00
23.00,142.79,0.00,0.00,0.00,0.00,0.00
24.00,142.38,0.00,0.00,0.00,0.00,0.00
25.00,151.92,0.00,0.00,0.00,0.00,0.00
26.00,149.62,0.00,0.00,0.00,0.00,0.00
27.00,150.37,0.00,0.00,0.00,0.00,0.00
28.00,154.63,0.00,0.00,0.00,0.00,0.00
29.00,167.04,0.00,0.00,0.00,0.00,0.00
30.00,141.60,0.00,0.00,0.00,0.00,0.00
31.00,166.12,0.00,0.00,0.00,0.00,0.00
32.00,161.56,0.00,0.00,0.00,0.00,0.00
33.00,156.09,0.00,0.00,0.00,0.00,0.00
34.00,152.25,0.00,0.00,0.00,0.00,0.00
35.00,163.55,0.00,0.00,0.00,0.00,0.00
36.00,145.42,0.00,0.00,0.00,0.00,0.00
37.00,142.66,0.00,0.00,0.00,0.00,0.00
38.00,144.20,0.00,0.00,0.00,0.00,0.00
39.00,147.86,0.00,0.00,0.00,0.00,0.00
40.00,121.78,0.00,0.00,0.00,0.00,0.00
41.00,127.02,0.00,0.00,0.00,0.00,0.00
42.00,136.21,0.00,0.00,0.00,0.00,0.00
43.00,147.86,0.00,0.00,0.00,0.00,0.00
44.00,147.86,0.00,0.00,0.00,0.00,0.00
45.00,114.30,0.00,0.00,0.00,0.00,0.00
46.00,167.28,0.00,0.00,0.00,0.00,0.00
47.00,186.00,0.00,0.00,0.00,0.00,0.00
48.00,186.00,0.00,0.00,0.00,0.00,0.00
