"ETAPA","G. HIDRO","G. TERMICA","G. RER Y NO COES","EXCESO","DEFICIT","DEMANDA","PERDIDAS"
1.00,3834.38,2165.13,742.84,0.00,0.00,6549.44,192.91
2.00,3814.91,2079.10,768.00,0.00,0.00,6472.71,189.29
3.00,3809.74,1996.10,753.84,0.00,0.00,6373.24,186.44
4.00,3801.50,1950.82,741.52,0.00,0.00,6309.33,184.51
5.00,3768.84,1941.67,725.74,0.00,0.00,6253.80,182.45
6.00,3757.08,1944.70,711.20,0.00,0.00,6229.92,183.07
7.00,3757.35,1939.03,688.03,0.00,0.00,6203.13,181.28
8.00,3792.92,1943.53,663.89,0.00,0.00,6216.76,183.58
9.00,3816.73,1989.89,653.03,0.00,0.00,6273.96,185.69
10.00,3707.61,2146.79,649.20,0.00,0.00,6317.55,186.05
11.00,3852.93,2082.34,664.66,0.00,0.00,6411.66,188.27
12.00,3824.51,2010.60,728.72,0.00,0.00,6380.49,183.33
13.00,3766.03,2163.47,824.59,0.00,0.00,6566.72,187.36
14.00,3830.76,2165.16,870.48,0.00,0.00,6676.21,190.19
15.00,3798.95,2159.71,996.20,0.00,0.00,6772.94,181.92
16.00,3809.45,2174.49,1069.92,0.00,0.00,6872.68,181.18
17.00,3882.02,2283.60,1088.48,0.00,0.00,7066.21,187.89
18.00,3910.97,2401.52,1077.27,0.00,0.00,7198.92,190.85
19.00,4016.74,2400.86,1097.31,0.00,0.00,7324.08,190.84
20.00,4015.29,2407.05,1118.57,0.00,0.00,7348.69,192.23
21.00,4097.05,2426.87,1145.12,0.00,0.00,7475.49,193.56
22.00,4111.77,2420.99,1198.79,0.00,0.00,7533.75,197.81
23.00,4151.77,2407.45,1223.11,0.00,0.00,7579.98,202.34
24.00,4129.86,2406.75,1249.63,0.00,0.00,7583.07,203.16
25.00,3971.55,2387.31,1292.38,0.00,0.00,7451.18,200.06
26.00,3916.25,2383.40,1333.46,0.00,0.00,7435.29,197.83
27.00,3857.37,2363.44,1349.14,0.00,0.00,7377.19,192.76
28.00,3861.10,2342.90,1372.15,0.00,0.00,7382.58,193.56
29.00,3948.43,2380.53,1375.23,0.00,0.00,7504.25,199.94
30.00,4241.37,2405.87,1147.43,0.00,0.00,7582.39,212.28
31.00,4075.97,2374.19,1353.38,0.00,0.00,7598.94,204.60
32.00,4079.78,2376.99,1327.39,0.00,0.00,7579.91,204.25
33.00,4052.75,2380.39,1295.88,0.00,0.00,7522.89,206.12
34.00,4047.66,2385.85,1131.79,0.00,0.00,7354.50,210.80
35.00,4044.00,2371.55,1079.08,0.00,0.00,7278.64,216.00
36.00,4030.27,2324.90,942.72,0.00,0.00,7084.63,213.27
37.00,4212.49,2407.91,930.54,0.00,0.00,7345.85,205.09
38.00,4310.39,2443.79,916.30,0.00,0.00,7461.40,209.09
39.00,4369.91,2441.14,865.35,0.00,0.00,7469.03,207.37
40.00,4334.96,2467.25,848.78,0.00,0.00,7444.03,206.97
41.00,4301.85,2530.05,800.36,0.00,0.00,7425.70,206.56
42.00,4288.23,2517.77,767.64,0.00,0.00,7367.32,206.32
43.00,4292.47,2544.83,733.75,0.00,0.00,7361.55,209.51
44.00,4292.47,2525.18,731.03,0.00,0.00,7345.30,203.39
45.00,4230.93,2475.06,701.04,0.00,0.00,7211.41,195.62
46.00,4137.01,2369.31,685.16,0.00,0.00,7004.77,186.71
47.00,4015.21,2388.28,657.98,0.00,0.00,6872.17,189.29
48.00,4014.27,2237.59,644.98,0.00,0.00,6709.34,187.50
