"ETAPA \ GENERADOR","KALLPACC123GAS","CHILCA1CC123GAS","OLLEROSTG1GAS","STAROSA TG8 GAS","FENIXCCGT11GT12GAS","VENTCC34GASFD"
1.00,157.96,0.00,0.00,0.00,0.00,0.00
2.00,157.96,0.00,0.00,0.00,0.00,0.00
3.00,160.51,0.00,0.00,0.00,0.00,0.00
4.00,165.01,0.00,0.00,0.00,0.00,0.00
5.00,174.00,0.00,0.00,0.00,0.00,0.00
6.00,180.00,0.00,0.00,0.00,0.00,0.00
7.00,174.44,0.00,0.00,0.00,0.00,0.00
8.00,171.20,0.00,0.00,0.00,0.00,0.00
9.00,167.04,0.00,0.00,0.00,0.00,0.00
10.00,177.51,0.00,0.00,0.00,0.00,0.00
11.00,157.96,0.00,0.00,0.00,0.00,0.00
12.00,163.42,0.00,0.00,0.00,0.00,0.00
13.00,161.18,0.00,0.00,0.00,0.00,0.00
14.00,159.00,0.00,0.00,0.00,0.00,0.00
15.00,157.43,0.00,0.00,0.00,0.00,0.00
16.00,169.34,0.00,0.00,0.00,0.00,0.00
17.00,165.88,0.00,0.00,0.00,0.00,0.00
18.00,173.94,0.00,0.00,0.00,0.00,0.00
19.00,174.33,0.00,0.00,0.00,0.00,0.00
20.00,175.96,0.00,0.00,0.00,0.00,0.00
21.00,182.92,0.00,0.00,0.00,0.00,0.00
22.00,190.42,0.00,0.00,0.00,0.00,0.00
23.00,169.86,0.00,0.00,0.00,0.00,0.00
24.00,169.91,0.00,0.00,0.00,0.00,0.00
25.00,163.30,0.00,0.00,0.00,0.00,0.00
26.00,161.96,0.00,0.00,0.00,0.00,0.00
27.00,160.23,0.00,0.00,0.00,0.00,0.00
28.00,160.33,0.00,0.00,0.00,0.00,0.00
29.00,157.96,0.00,0.00,0.00,0.00,0.00
30.00,183.40,0.00,0.00,0.00,0.00,0.00
31.00,151.82,0.00,0.00,0.00,0.00,0.00
32.00,153.71,0.00,0.00,0.00,0.00,0.00
33.00,157.19,0.00,0.00,0.00,0.00,0.00
34.00,162.73,0.00,0.00,0.00,0.00,0.00
35.00,146.49,0.00,0.00,0.00,0.00,0.00
36.00,168.59,0.00,0.00,0.00,0.00,0.00
37.00,166.43,0.00,0.00,0.00,0.00,0.00
38.00,171.02,0.00,0.00,0.00,0.00,0.00
39.00,178.00,0.00,0.00,0.00,0.00,0.00
40.00,134.69,0.00,0.00,0.00,0.00,0.00
41.00,133.15,0.00,0.00,0.00,0.00,0.00
42.00,144.58,0.00,0.00,0.00,0.00,0.00
43.00,142.85,0.00,0.00,0.00,0.00,0.00
44.00,178.00,0.00,0.00,0.00,0.00,0.00
45.00,159.93,0.00,0.00,0.00,0.00,0.00
46.00,139.86,0.00,0.00,0.00,0.00,0.00
47.00,158.73,0.00,0.00,0.00,0.00,0.00
48.00,122.60,0.00,0.00,0.00,0.00,0.00
