"COSTO DE ARRANQUES TERMICOS :",0.990
"COSTO DE OPERACION TERMICAS :",1549.269
"COSTO DE OPERACION HIDROS :",56.763
"COSTO DE VERTIMIENTO EN HIDROS :",0.000
"COSTO DE VERTIMIENTO EN EMBALSES :",0.000
"COSTO DE RACIONAMIENTO (DEFICIT DE DEMANDA) :",0.000
"COSTO DE EXCESOS DE POTENCIA :",0.000
"COSTO DE RESERVA SECUNDARIA (UP) :",0.143
"COSTO DE RESERVA SECUNDARIA (DOWN) :",0.158
"COSTO DE DEFICIT DE RESERVA SECUNDARIA (UP) :",0.000
"COSTO DE DEFICIT DE RESERVA SECUNDARIA (DOWN) :",0.000
"COSTO DE DEFICIT POR REGION DE SEGURIDAD :",0.000
"COSTO DE EXCESO POR REGION DE SEGURIDAD :",0.000
"COSTO FUTURO :",0.000
"TIEMPO DE EJECUCION (seg) :","338"
