"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
1.00,10.54,12.29,10.61,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.02,15.99,17.56,0.00,7.80,8.92,19.90,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.17,16.77,41.13,3.20,0.00,19.51,19.32,132.40,9.20,33.54,0.60,20.00,19.51,19.51,2.40,13.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.00,1.65,9.00,0.49,1.00,2.09,23.23,0.87,0.87,96.11,39.10,14.98,0.10,2.00,56.64,22.45
2.00,12.48,12.34,12.56,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.48,16.72,17.56,0.00,7.80,8.29,21.15,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.50,16.69,46.14,3.20,0.00,19.51,19.32,134.93,9.20,34.19,0.60,20.00,19.51,19.51,2.40,12.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.15,1.89,9.00,0.67,1.00,0.69,19.76,1.15,1.05,98.22,46.10,12.79,0.20,2.00,63.31,28.98
3.00,14.13,12.21,14.23,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.61,17.19,17.56,0.00,7.80,7.77,24.67,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.23,16.98,52.14,3.20,0.00,19.51,19.32,135.91,9.20,34.70,0.60,20.00,19.51,19.51,2.40,11.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.49,2.35,9.00,0.83,1.00,3.29,22.20,1.70,1.49,99.29,53.60,12.76,0.20,2.00,67.28,34.09
4.00,15.51,12.21,15.69,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.59,16.99,17.56,0.00,7.80,7.28,28.94,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.20,17.64,58.01,3.20,0.00,19.51,19.32,136.32,9.20,35.06,0.60,20.00,19.51,19.51,2.40,12.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,1.90,2.88,9.00,0.92,1.00,6.90,26.03,2.35,2.00,99.80,60.60,14.38,0.30,2.00,69.80,37.69
5.00,16.53,12.24,16.70,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.56,17.06,17.56,0.00,7.80,7.40,34.35,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.31,18.46,63.35,3.20,0.00,19.51,19.32,135.68,9.20,35.08,0.60,20.00,19.51,19.51,2.40,42.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.22,3.19,9.00,1.01,1.00,13.61,34.05,3.43,2.72,99.80,67.20,45.92,0.30,2.00,71.29,40.26
6.00,17.41,11.88,17.38,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.57,17.02,17.56,0.00,7.80,7.71,40.14,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.47,19.44,68.02,3.20,0.00,19.51,19.32,133.55,9.20,35.09,0.60,20.00,19.51,19.51,2.40,40.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.52,3.43,9.00,1.03,1.00,60.87,61.70,4.65,3.51,98.75,72.90,44.56,0.30,2.00,71.92,41.86
7.00,17.80,11.94,17.82,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.64,17.03,17.56,0.00,7.80,8.26,45.93,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.84,20.49,70.67,3.20,0.00,19.51,19.32,130.91,9.20,34.74,0.60,20.00,19.51,19.51,2.40,62.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.64,3.33,9.00,1.02,1.00,70.50,58.40,5.48,4.19,97.37,77.90,69.49,0.40,2.00,71.75,42.89
8.00,18.15,11.67,18.08,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.77,17.05,17.56,0.00,7.80,8.88,51.72,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.94,21.62,73.61,3.20,0.00,19.51,19.32,130.81,9.20,34.41,0.60,20.00,19.51,19.51,2.40,77.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,2.70,3.10,9.00,1.04,1.00,48.09,54.16,6.17,4.83,97.24,83.60,85.57,0.40,2.00,72.13,43.40
9.00,18.28,11.56,18.02,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.85,16.97,17.56,0.00,7.80,9.43,55.31,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.96,22.60,77.43,3.20,0.00,19.51,19.32,130.51,9.20,34.31,0.60,20.00,19.51,19.51,2.40,71.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,3.71,4.47,9.00,1.03,1.00,52.31,57.91,6.94,5.49,97.02,89.20,80.06,0.40,2.00,72.49,43.33
10.00,17.75,11.56,17.51,14.00,2.90,8.30,9.70,17.95,0.00,0.00,3.50,0.00,17.85,16.90,17.56,0.00,7.80,9.97,58.16,8.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,13.89,23.43,80.66,3.20,0.00,19.51,19.32,131.06,9.20,34.59,0.60,20.00,19.51,19.51,2.40,88.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,5.03,6.36,9.00,1.02,1.00,56.59,61.80,7.73,6.15,96.41,95.10,97.76,0.40,2.00,72.52,42.70
