"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSINTIPAMPAEXP"
1.00,0.00,16.20,0.00,0.00,4.20,8.10,7.20,6.90,1.78,0.40,2.50,0.00,0.00,0.00,10.24,0.00,5.60,22.10,17.25,0.00,4.00,8.20,4.20,16.78,9.50,16.00,20.00,1.40,0.00,11.30,52.50,2.10,26.80,8.00,18.05,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,62.40,7.50,19.51,6.00,10.80,6.99,4.20,2.40,7.04,11.70,18.90,0.00,0.00,0.00,1.00,29.70,40.50,0.40,0.20,0.00,75.30,49.60,0.00,2.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
2.00,0.00,16.60,0.00,0.00,4.20,8.10,7.20,6.90,1.78,0.40,2.50,0.00,0.00,0.00,10.24,0.00,5.60,21.90,17.35,0.00,4.00,8.20,4.20,16.78,9.50,16.00,20.00,1.40,0.00,10.00,48.40,2.10,26.80,8.00,18.05,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,59.20,7.50,19.51,6.00,10.80,6.99,4.20,2.40,7.20,11.85,18.90,0.00,0.00,0.00,1.00,24.20,33.90,0.30,0.20,0.00,72.90,46.40,0.00,2.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
3.00,0.00,16.63,0.00,0.00,4.20,8.10,7.20,6.90,1.78,0.40,2.50,0.00,0.00,0.00,10.24,0.00,5.60,21.60,17.15,0.00,4.00,8.20,4.20,16.78,9.50,16.00,20.00,1.40,0.00,8.80,42.70,2.10,26.80,8.00,18.05,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,51.30,7.50,19.51,6.00,10.80,6.99,4.20,2.40,7.48,11.97,18.90,0.00,0.00,0.00,1.00,20.40,31.00,0.20,0.20,0.00,68.30,40.70,0.00,2.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
4.00,0.00,16.89,0.00,0.00,4.20,8.10,7.20,6.90,1.78,0.40,2.50,0.00,0.01,0.00,10.24,0.00,5.60,21.20,16.86,0.00,4.00,8.20,4.20,16.78,9.50,16.00,20.00,1.40,0.00,8.30,42.30,2.10,26.80,8.00,18.05,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,44.20,7.50,19.51,6.00,10.80,6.99,4.20,2.40,7.80,12.08,18.90,0.00,0.00,0.00,1.00,16.80,27.80,0.20,0.20,0.00,64.30,35.30,0.00,2.00,0.20,1.80,11.00,0.00,0.00,0.00,0.51
5.00,0.09,17.09,0.00,0.00,4.20,8.10,7.20,6.90,1.78,0.40,2.50,0.00,0.54,0.29,10.24,0.00,5.60,20.80,16.58,0.00,4.00,8.20,4.20,16.78,9.50,16.00,20.00,1.40,0.19,8.00,38.30,2.10,26.80,8.00,18.05,3.32,17.07,1.30,0.60,19.51,19.51,19.51,1.20,39.10,7.50,19.51,6.00,10.80,6.99,4.20,2.40,8.12,12.17,18.90,0.00,0.00,0.00,1.00,13.50,23.80,0.10,0.10,3.62,67.10,30.80,0.00,2.00,9.80,34.80,11.00,37.00,0.00,0.00,1.02
6.00,0.62,17.11,0.00,0.00,4.20,8.10,7.20,6.90,1.78,0.40,2.50,0.00,0.96,1.78,10.24,0.00,5.60,20.50,16.31,0.00,4.00,8.20,4.20,16.78,9.50,16.00,20.00,1.40,1.49,7.30,33.80,2.10,26.80,8.00,18.05,16.63,17.07,5.55,0.60,19.51,19.51,19.51,1.20,33.60,7.50,19.51,6.00,10.80,6.99,4.20,2.40,8.44,12.26,18.90,0.00,0.00,0.00,1.00,10.60,20.30,0.10,0.10,17.21,63.70,31.30,0.00,2.00,25.80,88.00,11.00,75.00,0.00,0.00,6.58
7.00,1.99,17.10,0.00,0.00,4.20,8.10,7.20,6.90,1.78,0.40,2.50,0.00,2.29,3.96,10.24,0.00,5.60,20.20,15.57,0.00,4.00,8.20,4.20,16.78,9.50,16.00,20.00,1.40,3.99,6.60,27.70,2.10,26.80,8.00,18.05,44.99,17.07,12.48,0.60,19.51,19.51,19.51,1.20,21.70,7.50,19.51,6.00,10.80,6.99,4.20,2.40,8.83,12.34,18.90,0.00,0.00,0.02,1.00,8.90,18.80,0.10,0.10,42.72,56.80,26.70,0.00,2.00,43.50,135.30,11.00,128.00,0.00,0.01,12.13
8.00,4.36,17.20,0.00,0.00,4.20,8.10,7.20,6.90,1.78,0.40,2.50,0.00,7.16,6.78,10.24,0.00,5.60,19.90,14.67,0.00,4.00,8.20,4.20,16.78,9.50,16.00,20.00,1.40,7.35,7.10,23.40,2.10,26.80,8.00,18.05,78.44,17.07,19.44,0.60,19.51,19.51,19.51,1.20,19.80,7.50,19.51,6.00,10.80,6.99,4.20,2.40,9.24,12.42,18.90,0.00,0.00,0.05,1.00,7.60,17.60,0.20,0.20,69.45,51.60,21.60,0.00,2.00,51.80,161.80,11.00,180.00,0.00,0.04,22.84
9.00,6.64,16.60,0.08,0.00,4.20,8.10,7.20,6.90,1.78,0.40,2.50,0.00,12.78,9.16,10.24,0.00,5.60,19.50,15.17,0.00,4.00,8.20,4.20,16.78,9.50,16.00,20.00,1.40,9.82,7.90,29.50,2.10,26.80,8.00,18.05,97.56,17.07,25.56,0.60,19.51,19.51,19.51,1.20,13.40,7.50,19.51,6.00,10.80,6.99,4.20,2.40,9.38,12.56,18.90,0.00,0.00,0.06,1.00,7.70,17.60,0.20,0.30,81.99,49.60,15.30,0.00,2.00,56.00,185.10,11.00,190.00,0.00,0.09,33.55
10.00,8.55,16.36,2.59,0.00,4.20,8.10,7.20,6.90,1.78,0.40,2.50,0.00,15.43,12.19,10.24,0.00,5.60,18.70,16.12,0.00,4.00,8.20,4.20,16.78,9.50,16.00,20.00,1.40,11.63,9.40,30.00,2.10,26.80,8.00,18.05,107.74,17.07,29.53,0.60,19.51,19.51,19.51,1.20,12.10,7.50,19.51,6.00,10.80,6.99,4.20,2.40,9.43,12.72,18.90,0.00,0.00,0.09,1.00,8.40,18.30,0.40,0.40,86.60,48.00,9.20,0.10,2.00,58.00,211.10,11.00,199.00,0.00,0.15,37.42
