"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
11.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,80.21,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,13.60,6.72,87.77,0.00,6.39,9.00,44.38,10.52,15.89,228.68,190.28,28.18,67.16,67.94,39.02,184.35,197.33,184.41,2.24,74.99,76.38,66.62,66.54,81.64,0.00,24.03,0.00,85.00,87.36,90.57,110.32,203.40,20.46,20.42,22.16,21.95,5.06
12.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,80.21,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,13.60,6.68,87.77,0.00,6.39,9.00,4.63,10.52,6.69,228.68,190.28,28.18,67.16,67.94,0.00,184.35,197.33,184.41,1.34,74.99,76.38,66.62,66.54,81.64,0.00,10.30,0.00,85.00,87.36,90.57,110.32,203.40,20.46,20.42,22.16,21.95,5.06
13.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,80.21,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,13.60,6.72,87.77,0.00,6.39,9.00,24.77,10.52,11.35,228.68,190.28,60.73,67.16,67.94,28.18,184.35,197.33,184.41,2.01,74.99,76.38,66.62,66.54,81.64,0.00,10.30,10.30,85.00,87.36,62.39,110.32,203.40,20.46,20.42,22.16,21.95,5.06
14.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,80.21,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,13.60,6.76,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,3.99,74.99,76.38,66.62,66.54,81.64,0.00,25.46,25.45,85.00,87.36,62.39,110.32,203.40,20.46,20.42,22.16,21.95,5.06
15.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,80.21,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,13.60,6.72,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,4.62,74.99,76.38,66.62,66.54,81.64,20.23,20.18,20.18,85.00,87.36,62.39,110.32,203.40,20.46,20.42,22.16,21.95,5.06
16.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,13.60,6.68,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.14,74.99,76.38,66.62,66.54,81.64,22.92,22.85,22.85,85.00,87.36,62.39,110.32,203.40,20.46,20.42,22.16,21.95,5.06
17.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,13.60,6.76,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,25.67,25.57,25.56,85.00,87.36,62.39,110.32,203.40,20.46,20.42,22.16,21.95,5.06
18.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,13.60,6.72,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,25.67,25.57,25.56,85.00,87.36,62.39,110.32,203.40,20.46,20.42,22.16,21.95,5.06
19.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.72,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,25.67,25.57,25.56,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
20.00,33.54,29.98,67.20,594.95,193.73,0.00,7.06,110.48,9.60,4.02,41.90,0.00,50.14,7.35,3.95,164.07,112.47,88.74,47.08,215.19,26.69,6.72,87.77,0.00,6.39,9.00,61.22,10.52,19.79,228.68,190.28,67.57,67.16,67.94,28.18,184.35,197.33,184.41,5.67,74.99,76.38,66.62,66.54,81.64,25.67,25.57,25.56,85.00,87.36,74.05,110.32,203.40,20.46,20.42,22.16,21.95,5.06
