"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
18.00,10.62,0.00,10.92,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,9.63,15.50,8.50,10.00,16.00,16.38,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,13.02,12.99,36.40,3.00,25.70,9.00,18.46,120.00,8.00,28.86,0.60,9.00,10.00,10.00,0.00,18.00,9.80,11.66,5.00,10.70,0.00,10.50,1.10,17.41,15.55,19.00,0.73,1.31,26.14,29.83,0.74,1.29,86.40,54.37,21.00,0.40,1.92,60.04,213.66,11.00,169.91,13.50,0.25,37.82,87.55
19.00,11.39,0.00,12.20,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,11.22,15.42,8.50,10.00,16.24,14.39,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.95,13.18,37.64,3.00,25.40,9.00,18.46,122.00,8.00,28.96,0.60,9.00,10.00,10.00,0.00,15.00,9.80,11.66,5.00,10.70,0.00,10.50,1.10,17.41,15.69,19.00,0.90,1.31,24.34,28.84,0.94,1.42,87.84,55.58,18.00,0.30,1.88,61.94,213.97,11.00,168.84,13.50,0.29,38.85,86.29
20.00,13.38,0.00,13.54,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,11.96,15.20,8.50,10.00,16.17,16.11,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.81,13.07,37.70,3.00,25.20,9.00,18.46,122.00,8.00,28.90,0.60,9.00,10.00,10.00,0.00,11.00,9.80,11.66,5.00,10.70,0.00,10.50,1.10,17.40,15.83,19.00,1.01,1.31,23.77,27.97,1.34,1.56,87.84,56.71,14.00,0.20,1.88,64.17,212.94,11.00,168.25,13.50,0.33,38.80,86.06
21.00,13.86,0.00,14.28,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,12.59,15.01,8.50,10.00,15.78,23.73,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.66,12.72,36.73,3.00,24.50,9.00,18.46,120.00,8.00,28.62,0.60,9.00,10.00,10.00,0.00,8.00,9.80,11.66,5.00,10.70,0.00,10.50,1.10,17.25,15.90,19.00,1.10,1.31,26.35,31.54,2.20,1.90,86.40,56.55,11.00,0.20,1.88,66.03,211.35,11.00,167.61,13.50,0.37,38.76,85.99
22.00,14.76,0.00,14.99,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,12.78,14.91,8.50,10.00,15.78,27.93,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.53,12.33,36.04,3.00,23.70,9.00,18.46,119.00,8.00,28.55,0.60,9.00,10.00,10.00,0.00,5.00,9.80,11.66,5.00,10.70,0.00,10.50,1.10,17.11,15.96,19.00,1.12,1.31,25.80,31.82,2.12,2.04,85.68,56.59,10.00,0.10,1.88,65.95,209.95,11.00,166.32,13.50,0.39,39.20,85.21
23.00,14.92,0.00,15.16,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,13.14,14.83,8.50,10.00,15.78,36.44,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.44,11.92,36.51,3.00,23.40,9.00,18.46,118.00,8.00,28.01,0.60,9.00,10.00,10.00,0.00,3.00,9.80,11.66,5.00,10.70,0.00,10.20,1.10,17.02,16.08,19.00,1.11,1.31,31.99,38.89,3.02,2.30,84.96,56.43,9.00,0.10,1.88,67.02,209.21,11.00,165.28,13.50,0.41,39.65,84.44
24.00,15.04,0.00,15.14,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,13.34,14.80,4.50,10.00,16.15,39.55,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.41,11.82,36.70,3.00,23.80,9.00,18.46,117.00,8.00,28.15,0.60,9.00,10.00,10.00,0.00,2.00,9.80,11.66,5.00,10.70,0.00,10.20,1.10,16.92,16.20,19.00,1.13,1.31,31.69,40.51,2.65,2.54,84.24,56.37,10.00,0.10,1.88,66.11,209.29,11.00,165.00,13.50,0.41,39.31,84.12
25.00,14.89,0.00,15.02,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,13.15,14.81,4.50,10.00,16.21,47.37,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.43,11.50,36.75,3.00,24.30,9.00,18.46,118.00,8.00,28.28,0.60,9.00,10.00,10.00,0.00,3.00,9.80,11.66,5.00,10.70,0.00,10.20,1.10,16.97,16.37,19.00,1.12,1.30,35.64,44.11,3.40,3.11,84.96,56.26,12.00,0.10,1.84,66.95,210.10,11.00,165.31,13.50,0.41,38.98,84.12
26.00,14.22,0.00,14.31,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,13.24,14.86,4.50,10.00,16.08,51.29,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.47,11.33,36.65,3.00,24.20,9.00,18.46,119.00,8.00,28.20,0.60,9.00,10.00,10.00,0.00,4.00,9.80,11.66,5.00,10.70,0.00,10.20,1.10,17.03,16.54,19.00,1.12,1.30,35.32,45.97,3.31,3.13,85.68,56.31,15.00,0.10,1.84,64.67,211.19,11.00,166.65,13.50,0.39,39.05,85.04
27.00,13.76,0.00,13.55,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,12.96,14.94,4.50,10.00,16.68,55.26,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.53,11.12,36.68,3.00,24.10,9.00,18.46,119.00,8.00,29.00,0.60,9.00,10.00,10.00,0.00,8.00,9.80,11.66,5.00,10.70,0.00,10.20,1.10,16.87,16.39,19.00,1.12,1.30,40.12,50.22,3.93,3.49,85.68,56.68,20.00,0.00,1.84,65.63,212.60,11.00,168.60,13.50,0.38,39.12,86.45
28.00,12.14,0.00,12.29,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,13.04,14.99,4.50,10.00,17.03,54.83,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.57,10.71,35.99,3.00,23.90,9.00,18.46,119.00,8.00,29.12,0.60,9.00,10.00,10.00,0.00,13.00,9.80,11.66,5.00,10.70,0.00,10.20,1.10,16.71,16.23,19.00,0.94,1.30,39.75,51.40,4.06,3.76,85.68,54.82,27.00,0.00,1.84,64.39,213.69,11.00,169.93,13.50,0.35,39.10,87.37
29.00,11.37,0.00,10.99,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,11.82,14.94,8.50,10.00,18.78,56.66,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.53,10.24,35.01,3.00,23.60,9.00,18.46,121.00,8.00,28.11,0.60,9.00,10.00,10.00,0.00,20.00,9.80,11.66,5.00,10.70,0.00,10.20,1.10,16.52,16.05,19.00,0.91,1.30,40.08,54.21,4.05,3.75,87.12,54.53,34.00,0.00,1.80,62.43,213.11,11.00,168.30,13.50,0.32,39.08,85.95
30.00,8.91,0.00,9.16,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,11.45,14.67,8.50,10.00,19.24,57.41,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,12.30,9.90,34.46,3.00,23.50,9.00,18.46,122.00,8.00,26.94,0.60,9.00,10.00,10.00,0.00,30.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,16.34,15.87,19.00,0.86,1.30,40.30,53.98,4.02,4.29,87.84,54.54,42.00,0.00,1.84,59.55,209.82,11.00,162.53,13.50,0.27,32.12,81.41
31.00,7.87,0.00,7.60,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,9.58,13.93,8.50,10.00,19.36,56.05,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,11.69,9.88,34.08,3.00,23.60,9.00,18.46,113.00,8.00,22.86,0.60,9.00,10.00,10.00,0.00,39.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,16.35,15.73,19.00,0.72,1.30,35.23,50.63,3.75,3.95,81.36,54.17,50.00,0.00,1.84,54.39,198.07,11.00,150.44,13.50,0.23,25.17,75.09
32.00,4.80,0.00,4.90,14.00,0.00,3.80,4.70,15.94,3.20,0.40,3.30,0.00,7.08,11.81,8.50,10.00,19.67,55.81,0.00,10.69,15.55,0.00,18.46,18.46,8.00,11.66,0.00,9.94,9.82,34.72,3.00,23.80,9.00,18.46,92.00,8.00,15.85,0.60,9.00,10.00,10.00,0.00,49.00,9.80,11.66,5.00,10.70,0.00,10.01,1.10,16.36,15.58,19.00,0.52,1.30,35.13,51.96,3.82,3.75,66.24,54.88,58.00,0.00,1.84,38.92,153.97,11.00,103.06,13.50,0.17,19.46,46.06
