"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,90.41,5.13,2.82,163.91,112.36,132.71,44.06,35.37,211.55,15.00,1.97,6.88,87.69,0.00,6.39,9.98,4.64,5.46,0.00,219.11,0.00,22.06,55.17,55.81,22.06,168.46,172.63,168.53,0.00,74.91,76.30,47.98,41.12,53.05,30.67,30.56,30.55,49.68,49.72,101.06,101.02,203.20,17.04,20.25
2.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,35.37,193.30,15.00,1.97,6.88,87.69,0.00,6.39,9.98,80.47,5.46,18.61,0.00,207.53,21.96,36.13,36.24,21.96,144.56,148.72,144.61,0.00,74.91,76.30,45.47,39.69,53.05,30.67,30.56,30.55,49.54,49.57,53.44,53.44,203.20,17.04,20.25
3.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,35.37,186.33,15.00,1.97,6.88,87.69,0.00,6.39,9.98,75.55,5.46,17.48,0.00,206.52,22.21,63.19,0.00,22.21,142.70,146.86,142.74,0.00,74.91,76.30,42.84,38.15,53.05,30.67,30.56,30.55,49.54,49.57,38.59,38.59,203.20,17.04,20.25
4.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,81.14,5.13,2.82,163.91,112.36,132.71,44.06,35.37,180.14,15.00,1.97,6.88,87.69,0.00,6.39,9.98,70.97,5.46,16.42,0.00,202.75,22.17,0.00,63.05,22.17,139.16,143.35,139.20,0.00,74.91,76.30,39.86,36.32,53.05,30.67,30.56,30.55,49.54,49.57,24.67,24.67,203.20,17.04,20.25
5.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,80.08,5.13,2.82,163.91,112.36,132.71,44.06,35.37,175.56,15.00,1.97,6.88,87.69,0.00,6.39,9.98,65.98,5.46,15.26,0.00,200.75,33.45,32.64,33.49,32.77,137.69,141.89,137.73,0.00,74.91,76.30,35.11,34.21,53.05,30.67,30.56,30.55,49.39,49.43,57.33,57.32,203.20,17.04,20.25
6.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,83.44,5.13,2.82,163.91,112.36,132.71,44.06,35.37,176.07,15.00,1.97,6.88,87.69,0.00,6.39,9.98,0.00,5.46,0.00,0.00,201.66,34.78,34.60,35.82,34.78,145.93,150.08,145.98,0.00,74.91,76.30,40.93,39.06,53.05,30.67,30.56,30.55,49.68,49.72,63.63,63.61,203.20,17.04,20.25
7.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,82.18,5.13,2.82,163.91,112.36,132.71,44.06,35.37,175.77,15.00,1.97,6.88,87.69,0.00,6.39,9.98,0.00,5.46,0.00,0.00,201.47,30.57,30.40,48.80,30.57,146.31,150.46,146.36,0.00,74.91,76.30,0.00,54.82,53.05,30.67,30.56,30.55,49.54,49.57,33.55,0.00,203.20,17.04,20.25
8.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.23,15.00,1.97,6.88,87.69,0.00,6.39,9.98,0.00,5.46,0.00,144.33,144.33,22.01,46.77,22.01,46.89,0.00,188.35,184.23,0.00,74.91,76.30,0.00,54.82,53.05,30.67,30.56,30.55,49.42,49.45,27.33,0.00,203.20,17.04,20.25
9.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,35.37,166.74,15.00,1.97,6.88,87.69,0.00,6.39,9.98,0.00,5.46,0.00,144.33,144.33,23.30,0.00,23.30,67.33,140.10,144.28,140.15,0.00,74.91,76.30,36.85,34.35,53.05,30.67,30.56,30.55,49.66,49.69,23.39,0.00,203.20,17.04,20.25
10.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,35.35,165.93,15.00,1.97,6.88,87.69,0.00,6.39,9.98,60.34,5.46,13.96,144.33,144.33,22.00,44.22,44.53,22.00,129.73,134.02,129.76,0.00,74.91,76.30,0.00,54.82,53.05,30.67,30.56,30.55,49.39,49.43,20.62,0.00,203.20,17.04,20.25
11.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,35.16,180.06,15.00,1.97,6.88,87.69,0.00,6.39,9.98,66.43,5.46,15.37,144.33,144.33,63.61,21.89,21.89,0.00,121.01,125.47,121.03,0.00,74.91,76.30,37.01,34.45,53.05,30.67,30.56,30.55,49.68,49.72,47.23,0.00,203.20,17.04,20.25
12.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,0.00,178.42,15.00,1.97,6.88,87.69,0.00,6.39,9.98,53.99,5.46,12.49,144.33,144.33,34.86,21.71,34.91,21.71,95.42,100.74,95.42,0.00,74.91,76.30,47.98,41.12,53.05,30.67,30.56,30.55,49.39,49.43,20.62,0.00,203.20,17.04,20.25
13.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,0.00,192.74,15.00,1.97,6.88,87.69,0.00,6.39,9.98,60.59,5.46,14.01,144.33,144.33,22.00,42.65,42.92,22.00,116.73,121.29,0.00,0.00,74.91,76.30,47.98,41.12,53.05,30.67,30.56,30.55,49.54,49.57,41.09,0.00,203.20,17.04,20.25
14.00,48.41,0.00,67.13,599.97,195.18,7.75,8.13,110.37,18.09,3.75,26.42,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,35.01,207.72,15.00,1.97,6.88,87.69,0.00,6.39,9.98,59.96,5.46,13.87,201.36,0.00,0.00,22.81,67.88,22.82,77.92,84.00,0.00,0.00,74.91,76.30,47.97,41.12,53.05,30.67,30.56,30.55,49.54,49.57,36.71,0.00,203.20,17.04,20.25
