"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CS INTIPAMPA EXPANSION","CS COENERGY"
11.00,18.26,16.38,18.75,18.00,4.20,8.10,6.00,7.30,1.20,0.00,2.50,0.00,18.00,18.49,19.00,0.00,4.20,12.72,47.95,2.36,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,15.63,26.21,79.58,2.10,27.00,19.51,18.05,135.98,18.40,39.80,0.60,19.51,19.51,19.51,1.20,109.65,10.00,11.00,6.00,10.70,8.14,5.90,0.00,3.95,4.88,18.90,0.91,1.00,93.30,100.20,5.55,9.80,112.23,105.20,110.00,0.40,2.00,80.00,252.40,11.00,204.00,18.00,33.38,0.36
12.00,18.27,16.35,18.66,18.00,4.20,8.10,6.00,7.30,1.20,0.00,2.50,0.00,17.28,18.55,19.00,0.00,4.20,14.24,58.00,3.11,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,15.65,26.40,80.40,2.10,27.00,19.51,18.05,139.81,18.40,39.81,0.60,19.51,19.51,19.51,1.20,112.31,10.00,11.00,6.00,10.70,8.14,5.90,0.00,4.83,5.64,18.90,0.93,1.00,97.59,102.10,5.74,10.26,112.04,106.00,113.97,0.40,2.00,80.00,252.40,11.00,204.00,18.00,35.60,0.36
13.00,17.98,16.12,18.24,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,17.00,18.59,19.00,0.00,4.20,15.63,64.95,2.74,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,15.67,26.00,80.83,2.10,27.00,19.51,18.05,143.58,18.40,39.77,0.60,19.51,19.51,19.51,1.20,114.66,10.00,11.00,6.00,10.70,8.14,5.90,0.00,5.52,6.12,18.90,0.92,1.00,95.91,103.20,5.83,10.44,111.86,106.20,116.93,0.40,2.00,80.00,252.40,11.00,204.00,18.00,40.05,0.35
14.00,16.93,16.03,16.98,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,17.57,18.51,19.00,0.00,4.20,16.97,70.87,2.71,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,15.63,25.40,81.15,2.10,27.00,19.51,18.05,144.38,18.40,39.73,0.60,19.51,19.51,19.51,1.20,116.91,10.00,11.00,6.00,10.70,8.14,5.90,0.00,6.15,6.51,18.90,0.92,1.00,98.90,104.20,5.90,10.52,111.82,106.20,119.56,0.30,2.00,80.00,252.40,11.00,204.00,18.00,42.28,0.35
15.00,15.34,15.58,15.47,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,18.43,18.53,19.00,0.00,4.20,17.38,73.26,2.82,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,15.56,25.35,81.25,2.10,27.00,19.51,18.05,144.47,18.40,39.72,0.60,19.51,19.51,19.51,1.20,119.23,10.00,11.00,6.00,10.70,8.14,5.90,0.00,6.32,6.43,18.90,0.92,1.00,100.42,105.00,5.95,10.37,112.09,105.70,122.46,0.20,2.00,80.00,252.40,11.00,204.00,18.00,40.05,0.35
16.00,13.48,14.63,14.22,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,18.77,18.63,19.00,0.00,4.20,17.46,74.49,2.96,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,15.58,25.47,81.29,2.10,27.00,19.51,18.05,144.41,18.40,39.67,0.60,19.51,19.51,19.51,1.20,121.58,10.00,11.00,6.00,10.70,8.14,5.90,0.00,6.34,6.20,18.90,0.77,1.00,101.44,105.50,6.00,10.15,111.66,105.00,125.44,0.20,2.00,80.00,252.40,11.00,204.00,18.00,35.60,0.34
17.00,11.89,14.65,12.76,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,18.69,18.66,19.00,0.00,4.20,18.12,75.12,3.12,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,15.66,25.48,81.40,2.10,27.00,19.51,18.05,144.30,18.40,39.63,0.60,19.51,19.51,19.51,1.20,123.19,10.00,11.00,6.00,10.70,8.14,5.90,0.00,6.07,6.04,18.90,0.75,1.00,101.14,106.00,5.85,9.93,110.62,104.00,126.26,0.10,2.00,80.00,252.40,11.00,204.00,18.00,31.15,0.33
18.00,10.85,14.67,10.84,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,17.87,18.42,19.00,0.00,4.20,18.96,75.57,3.03,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,15.57,25.45,81.53,2.10,27.00,19.51,18.05,143.66,18.40,38.69,0.60,19.51,19.51,19.51,1.20,124.56,10.00,11.00,6.00,10.70,8.14,5.90,0.00,5.70,5.91,18.90,0.70,1.00,100.39,106.20,5.62,9.70,108.82,103.40,126.36,0.10,2.00,79.84,252.40,11.00,203.98,18.00,22.25,0.32
19.00,9.55,14.45,9.21,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,16.44,17.88,19.00,0.00,4.20,19.65,75.22,0.00,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,15.12,25.51,81.45,2.10,27.00,19.51,18.05,141.69,18.40,36.04,0.60,19.51,19.51,19.51,1.20,125.62,10.00,11.00,6.00,10.70,8.14,5.90,0.00,4.92,4.97,18.90,0.59,1.00,98.82,105.40,5.49,9.59,104.53,104.00,128.02,0.10,2.00,78.70,252.40,11.00,201.06,18.00,17.80,0.29
20.00,6.96,14.72,5.49,18.00,4.20,8.10,6.00,7.30,1.50,0.00,2.50,0.00,14.15,16.81,19.00,0.00,4.20,20.28,74.61,0.00,0.00,9.00,3.80,17.56,14.63,14.63,18.54,1.40,13.84,25.60,81.30,2.10,27.00,19.51,18.05,130.81,18.40,31.84,0.60,19.51,19.51,19.51,1.20,126.56,10.00,11.00,6.00,10.70,8.14,5.90,0.00,4.01,3.75,18.90,0.43,1.00,101.97,104.50,5.39,9.53,96.54,104.20,130.19,0.10,2.00,74.42,252.40,11.00,187.74,18.00,13.35,0.25
