"ETAPA \ EMBALSE","Emb0","SHEQUE","HUINCO RES","PRESA MALPASO","AGUADA BLANCA","CAMPANARIO","CINCEL","CIRATO","ARICOTA RES","PRESA GALLITO CIEGO","PRESA COMPEN GALLITO","SAN GABAN","TULUMAYO","SAN DIEGO","HUALLAMAYO","TABLACHACA","CHAGLLA EM","PICUNCHE","SHAPIRINGO","CERRO DEL AGUILA EM","PALLCA","EMB CHECRAS","RESER CAPILLUCAS","PULMON MATUCANA","TOMA HUAMPANI","RESERV RESTIT","TOMA SURCO"
1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,23.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,23.368,0.000,10.400,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
12.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.952,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,23.165,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,3.665,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,3.665,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
17.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,3.665,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
18.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,23.165,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
19.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
22.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,21.865,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,23.165,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
24.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
26.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
27.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,3.511,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
28.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,34.976,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
29.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,24.869,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
31.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.535,17.529,0.000,0.000,0.000,66.953,0.000,0.000,0.000,0.000,0.000,19.196,0.000,0.000,0.000,0.000,0.000
