"RESTRICCION DE GENERACION","Res9","Res9","Res10","Res12"
"ETAPA\UNIDAD DE GENERACION","MAL2TGN4GAS","MALACAS1 TG 6  GAS","RESTITUCION","CHARCANI V"
1.000,0.000,0.000,-22.034,0.000
2.000,0.000,0.000,-22.012,0.000
3.000,0.000,0.000,-22.008,0.000
4.000,0.000,0.000,-22.006,0.000
5.000,0.000,0.000,-22.012,0.000
6.000,0.000,0.000,-22.021,0.000
7.000,0.000,0.000,-22.014,0.000
8.000,0.000,0.000,-22.023,0.000
9.000,0.000,0.000,-22.022,0.000
10.000,0.000,0.000,-22.029,0.000
11.000,0.000,0.000,-22.020,0.000
12.000,0.000,0.000,-22.016,0.000
13.000,0.000,0.000,-22.123,0.000
14.000,0.000,0.000,-22.178,0.000
15.000,0.000,0.000,-22.192,-0.185
16.000,0.000,0.000,-22.250,-0.122
17.000,0.000,0.000,-22.273,-0.154
18.000,0.000,0.000,-22.384,-0.203
19.000,0.000,0.000,-22.377,-0.175
20.000,0.000,0.000,-22.317,-0.107
21.000,0.000,0.000,-22.424,-0.295
22.000,0.000,0.000,-22.417,-0.285
23.000,0.000,0.000,-22.298,0.000
24.000,0.000,0.000,-22.252,0.000
25.000,0.000,0.000,-22.224,0.000
26.000,0.000,0.000,-22.215,0.000
27.000,0.000,0.000,-22.279,0.000
28.000,0.000,0.000,-22.785,0.000
29.000,0.000,0.000,-22.272,0.000
30.000,0.000,0.000,-22.324,0.000
31.000,0.000,0.000,-22.496,0.000
32.000,0.000,0.000,-22.509,0.000
33.000,0.000,0.000,-22.576,0.000
34.000,0.000,0.000,-22.416,0.000
35.000,0.000,0.000,-22.307,0.000
36.000,0.000,0.000,-22.635,0.000
37.000,0.000,0.000,-22.922,0.000
38.000,0.000,0.000,-22.937,0.000
39.000,0.000,0.000,-23.014,0.000
40.000,0.000,0.000,-23.020,0.000
41.000,0.000,0.000,-23.018,0.000
42.000,0.000,0.000,-22.997,0.000
43.000,0.000,0.000,-23.007,0.000
44.000,0.000,0.000,-22.992,0.000
45.000,0.000,0.000,-22.992,0.000
46.000,0.000,0.000,-22.781,0.000
47.000,0.000,0.000,-22.558,0.000
48.000,0.000,0.000,-22.534,0.000
