"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CTAGROLMOS"
1.00,0.00,18.11,0.00,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,0.00,0.00,3.10,0.00,7.60,20.51,24.86,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,2.80,0.00,16.59,40.50,2.45,27.70,3.80,12.00,0.00,16.99,0.00,0.60,9.00,10.00,10.00,1.20,5.00,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,11.71,8.00,18.90,0.00,0.00,0.00,0.70,36.66,60.45,1.58,1.11,0.00,69.80,5.90,0.00,1.16,0.00,0.00,0.00,0.00,7.40
2.00,0.00,18.31,0.00,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,0.00,0.00,3.10,0.00,7.60,20.57,23.89,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,2.80,0.00,15.61,39.10,2.45,27.70,3.80,12.00,0.00,16.99,0.00,0.60,9.00,10.00,10.00,1.20,4.60,6.50,11.00,16.00,3.00,10.00,7.80,5.00,1.20,11.71,13.71,18.90,0.00,0.00,0.00,0.70,37.77,61.14,1.46,0.96,0.00,68.60,4.40,0.00,1.16,0.00,0.00,0.00,0.00,7.40
3.00,0.00,18.24,0.00,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,0.00,0.00,3.10,0.00,7.60,20.40,23.72,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,2.80,0.00,14.97,37.60,2.45,27.80,3.80,12.00,0.00,16.99,0.00,0.60,9.00,10.00,10.00,1.20,5.10,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,11.58,13.61,18.90,0.00,0.00,0.00,0.70,38.40,61.90,1.34,0.79,0.00,67.90,3.70,0.00,1.16,0.00,0.00,0.00,0.00,7.40
4.00,0.00,18.01,0.00,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,0.00,0.00,3.10,0.00,7.60,20.42,24.47,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,2.80,0.00,14.65,37.60,2.45,27.80,3.80,12.00,0.00,16.99,0.00,0.60,9.00,10.00,10.00,1.20,5.60,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,11.34,13.53,18.90,0.00,0.00,0.00,0.70,37.44,61.41,1.22,0.73,0.00,68.10,3.90,0.00,1.12,0.00,0.00,0.00,0.00,7.40
5.00,0.00,18.28,0.00,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,0.00,0.00,3.10,0.00,7.60,20.51,25.53,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,2.80,0.00,14.52,38.20,2.45,27.70,3.80,12.00,0.00,16.99,0.00,0.60,9.00,10.00,10.00,1.20,6.20,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,11.02,13.39,18.90,0.00,0.00,0.00,0.70,35.97,60.51,1.11,0.70,0.00,68.60,4.40,0.00,1.12,0.00,0.00,0.00,0.00,7.40
6.00,0.00,18.47,0.00,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,0.00,0.00,3.10,0.00,7.60,20.80,26.46,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,2.80,0.00,14.58,39.20,2.45,27.70,3.80,12.00,0.00,16.99,0.00,0.60,9.00,10.00,10.00,1.20,6.70,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,10.68,13.23,18.90,0.00,0.00,0.00,0.70,35.22,59.75,1.12,0.73,0.00,69.40,4.80,0.00,1.16,0.00,0.00,0.00,0.00,7.40
7.00,0.00,18.81,0.00,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,0.00,0.00,3.10,0.00,7.60,21.16,27.33,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,2.80,0.00,14.62,40.30,2.45,27.70,3.80,12.00,0.00,16.99,0.00,0.60,9.00,10.00,10.00,1.20,7.20,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,10.56,13.23,18.90,0.00,0.00,0.00,0.70,40.72,63.04,1.17,0.78,0.00,70.30,5.10,0.00,1.12,0.00,0.00,0.00,0.00,7.40
8.00,0.00,18.77,0.00,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,0.00,0.00,3.10,0.00,7.60,20.87,28.22,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,2.80,0.00,14.64,40.90,2.45,27.60,3.80,12.00,0.00,16.99,0.00,0.60,9.00,10.00,10.00,1.20,7.20,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,10.53,13.27,18.90,0.00,0.00,0.00,0.70,40.95,63.98,1.28,0.86,0.00,71.10,6.40,0.00,1.12,0.00,0.00,0.00,0.00,7.40
9.00,0.00,18.76,0.00,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,0.00,0.00,3.10,0.00,7.60,20.37,29.11,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,2.80,0.00,14.59,41.40,2.45,27.70,3.80,12.00,0.00,16.99,0.00,0.60,9.00,10.00,10.00,1.20,6.90,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,10.77,13.54,18.90,0.00,0.00,0.00,0.70,34.58,59.13,1.40,0.94,0.00,71.80,8.00,0.00,1.12,0.00,0.00,0.00,0.00,7.40
10.00,0.00,18.96,0.00,14.00,4.20,7.50,3.00,3.90,1.82,0.40,3.40,19.26,0.00,0.00,3.10,0.00,7.60,20.15,28.77,0.00,5.00,4.80,4.40,18.45,10.00,3.50,5.00,2.80,0.00,14.47,40.90,2.45,27.70,3.80,12.00,0.00,16.99,0.00,0.60,9.00,10.00,10.00,1.20,6.60,6.50,11.00,16.00,3.00,10.80,7.80,5.00,1.20,11.10,13.88,18.90,0.00,0.00,0.00,0.70,34.68,59.23,1.50,0.99,0.00,71.60,7.60,0.00,1.08,0.00,0.00,0.00,0.00,7.40
