"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,68.32,28.27,43.97,600.03,146.88,7.98,8.37,53.85,0.00,0.37,0.00,14.92,50.00,5.13,2.82,118.96,64.98,37.78,0.00,15.07,81.98,13.13,1.33,6.88,65.01,0.00,9.98,16.49,3.45,3.81,0.00,0.00,65.56,65.15,65.44,44.83,0.00,0.00,66.49,4.73,0.00,0.00,35.89,46.28,27.99,30.67,30.56,0.00,82.47,0.00,59.28,0.00,47.69
2.00,68.32,28.27,43.97,600.03,146.88,7.98,8.37,51.78,0.00,0.37,0.00,14.92,50.00,5.13,2.82,118.96,65.71,35.26,0.00,15.07,81.98,13.13,1.33,6.88,65.01,0.00,9.98,16.49,3.45,3.81,0.00,0.00,64.78,64.38,63.54,41.97,0.00,0.00,66.49,4.73,0.00,0.00,35.86,46.32,27.99,30.67,30.56,0.00,76.70,0.00,65.05,0.00,45.29
3.00,68.32,28.27,43.97,600.03,146.88,7.98,8.37,53.26,0.00,0.37,0.00,12.46,50.00,5.13,2.82,118.96,66.30,37.06,0.00,15.07,81.98,13.13,1.33,6.88,65.01,0.00,9.98,16.49,3.45,3.81,0.00,0.00,45.00,66.13,66.81,66.36,0.00,0.00,66.49,4.73,0.00,0.00,36.04,46.13,27.99,30.67,30.56,0.00,76.47,0.00,65.28,0.00,44.24
4.00,58.83,29.95,43.97,600.03,146.88,7.98,8.37,72.67,0.00,0.37,0.00,14.92,53.22,5.13,2.82,118.96,67.94,60.69,0.00,15.07,81.98,13.13,1.33,6.88,65.01,0.00,9.98,46.53,3.45,10.76,0.00,0.00,62.38,42.54,0.00,43.02,0.00,0.00,66.49,4.73,0.00,0.00,22.30,40.66,27.99,30.67,30.56,0.00,74.95,0.00,73.50,0.00,52.16
5.00,68.32,28.27,43.97,600.03,146.88,7.98,8.37,75.09,0.00,0.37,0.00,14.92,50.67,5.13,2.82,118.96,67.85,63.63,0.00,15.07,81.98,13.13,1.33,6.88,65.01,0.00,9.98,47.13,3.45,10.90,0.00,0.00,20.62,67.10,0.00,0.00,0.00,0.00,66.49,5.67,0.00,0.00,35.79,46.37,27.99,30.67,30.56,0.00,82.47,0.00,91.15,0.00,51.05
6.00,68.32,28.27,43.97,600.03,146.88,7.98,8.37,75.01,0.00,0.37,0.00,14.92,51.67,5.13,2.82,118.96,67.89,63.52,0.00,15.07,81.98,13.13,1.33,6.88,65.01,0.00,9.98,47.82,3.45,11.06,0.00,0.00,46.15,45.60,0.00,0.00,0.00,0.00,66.49,4.73,0.00,0.00,36.44,45.77,27.99,30.67,30.56,0.00,82.47,0.00,87.11,0.00,50.85
7.00,68.32,28.27,43.97,600.03,146.88,7.98,8.37,74.25,0.00,0.37,0.00,14.92,51.48,5.13,2.82,118.96,67.04,62.60,0.00,15.07,81.98,13.13,1.33,6.88,65.01,0.00,9.98,45.88,3.45,10.61,0.00,0.00,30.37,45.83,20.62,45.90,0.00,0.00,66.49,4.73,0.00,0.00,34.20,47.98,27.99,30.67,30.56,0.00,82.47,0.00,77.40,0.00,49.95
8.00,61.50,28.33,43.97,600.03,146.88,7.98,8.37,73.83,0.00,0.37,0.00,14.92,50.00,5.13,2.82,118.96,66.00,62.10,0.00,15.07,81.98,13.13,1.33,6.88,65.01,0.00,9.98,50.09,3.45,11.59,0.00,0.00,61.17,67.10,0.00,0.00,0.00,0.00,66.49,4.73,0.00,0.00,20.77,39.32,27.99,30.67,30.56,0.00,76.00,0.00,57.07,0.00,48.33
9.00,59.35,29.95,43.97,600.03,146.88,7.98,8.37,76.74,0.00,0.37,0.00,14.92,50.00,5.13,2.82,118.96,65.94,65.63,0.00,15.07,81.98,13.13,1.33,6.88,65.01,0.00,9.98,52.05,3.45,12.04,0.00,0.00,49.05,48.28,0.00,49.05,0.00,0.00,66.49,5.67,0.00,0.00,20.89,39.44,27.99,30.67,30.56,0.00,82.47,0.00,53.11,0.00,47.12
10.00,58.11,29.22,43.97,600.03,146.88,7.98,8.37,76.67,0.00,0.37,0.00,14.92,50.00,5.13,2.82,118.96,65.88,65.55,0.00,15.07,81.98,13.13,1.33,6.88,65.01,0.00,9.98,51.11,3.45,11.82,0.00,0.00,35.70,54.49,0.00,54.65,0.00,0.00,66.49,4.98,0.00,0.00,0.00,60.27,27.99,30.67,30.56,0.00,81.82,0.00,55.30,0.00,48.95
11.00,59.48,29.95,43.97,600.03,146.88,7.98,8.37,73.92,0.00,0.37,0.00,14.92,50.00,5.13,2.82,118.96,66.29,62.20,0.00,15.07,81.98,26.26,1.33,6.88,65.01,0.00,9.98,45.23,3.45,10.46,0.00,0.00,62.89,62.49,0.00,20.62,0.00,0.00,66.49,4.73,0.00,30.93,20.62,39.18,27.99,30.67,30.56,0.00,82.47,0.00,53.49,0.00,47.59
12.00,59.48,28.82,43.97,600.03,146.88,7.98,8.37,71.55,0.00,0.37,0.00,10.93,50.00,5.13,2.82,118.96,65.94,59.32,0.00,15.07,81.98,26.26,1.33,6.88,65.01,0.00,9.98,36.66,3.45,8.48,0.00,0.00,40.69,48.50,0.00,48.60,0.00,0.00,66.49,4.73,0.00,30.93,20.62,39.18,27.99,30.67,30.56,0.00,71.18,0.00,72.99,0.00,45.38
13.00,66.41,28.81,43.97,600.03,146.88,7.98,8.37,78.46,0.00,0.37,0.00,14.92,53.02,5.13,2.82,118.96,67.27,67.73,0.00,18.00,81.98,26.26,1.33,6.88,65.01,0.00,9.98,55.33,3.45,12.80,0.00,0.00,20.62,67.10,0.00,29.27,0.00,0.00,0.00,4.73,0.00,53.04,28.66,43.86,27.99,30.67,30.56,0.00,48.07,0.00,110.26,0.00,49.85
