"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CS INTIPAMPA EXPANSION"
1.00,2.20,19.51,0.07,16.00,2.90,7.90,5.80,7.30,1.50,0.00,2.50,0.00,2.82,6.88,15.00,0.00,4.20,18.50,25.16,0.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,5.84,2.91,6.72,2.25,27.00,17.56,18.05,71.08,0.00,16.99,0.60,19.51,19.51,19.51,1.20,5.20,9.00,17.56,6.00,10.80,8.30,7.50,2.40,0.52,1.15,18.00,0.00,0.00,2.76,4.17,0.14,0.12,57.75,11.37,2.90,0.00,2.00,50.14,233.20,11.00,90.32,22.00,4.45
2.00,5.32,19.43,1.38,16.00,2.90,7.90,5.80,7.30,1.50,0.00,2.50,0.00,6.75,12.24,15.00,0.00,4.20,17.45,24.21,0.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,9.43,2.89,6.91,2.25,27.00,17.56,18.05,103.59,0.00,24.14,0.60,19.51,19.51,19.51,1.20,8.17,9.00,17.56,6.00,10.80,8.30,7.50,2.40,0.69,1.37,18.00,0.00,0.00,3.42,4.84,0.23,0.22,82.35,13.17,4.69,0.00,2.00,67.42,251.28,11.00,166.97,22.00,6.68
3.00,8.29,19.10,3.93,16.00,2.90,7.90,5.80,7.30,1.50,0.00,2.50,0.00,10.31,15.15,15.00,0.00,4.20,16.39,25.51,0.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,11.43,3.48,9.28,2.25,27.00,17.56,18.05,119.40,0.00,27.04,0.60,19.51,19.51,19.51,1.20,11.29,9.00,17.56,6.00,10.80,8.30,7.50,2.40,0.80,1.39,18.00,0.00,0.00,4.23,6.97,0.27,0.36,92.53,17.88,7.54,0.00,2.00,73.55,251.94,11.00,184.27,22.00,8.90
4.00,10.24,18.97,8.39,16.00,2.90,7.90,5.80,7.30,1.50,0.00,2.50,0.00,12.64,16.64,15.00,0.00,4.20,15.33,27.56,0.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,12.78,4.27,12.38,2.25,27.00,17.56,18.05,127.60,0.00,30.66,0.60,19.51,19.51,19.51,1.20,14.47,9.00,17.56,6.00,10.80,8.30,7.50,2.40,0.88,1.33,18.00,0.00,0.00,5.09,9.58,0.30,0.51,97.71,23.57,10.73,0.10,2.00,76.91,252.20,11.00,196.89,22.00,13.35
5.00,11.49,18.91,11.75,16.00,2.90,7.90,5.80,7.30,1.50,0.00,2.50,0.00,14.40,17.43,15.00,0.00,4.20,15.00,31.53,0.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,13.77,5.32,16.82,2.25,27.00,17.56,18.05,135.89,0.00,33.52,0.60,19.51,19.51,19.51,1.20,17.55,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.01,1.34,18.00,0.00,0.00,8.99,15.62,0.40,0.71,102.64,29.91,17.03,0.20,2.00,78.28,252.34,11.00,203.28,22.00,17.80
6.00,12.84,18.80,13.71,16.00,2.90,7.90,5.80,7.30,1.50,0.00,2.50,0.00,15.32,17.75,15.00,0.00,4.20,14.93,36.12,0.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,14.22,6.44,21.71,2.25,27.00,17.56,18.05,139.92,0.00,35.33,0.60,19.51,19.51,19.51,1.20,20.61,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.15,1.37,18.00,0.00,0.00,13.90,22.81,0.53,0.93,106.02,36.47,24.37,0.20,2.00,78.84,252.40,11.00,205.39,22.00,24.48
7.00,14.56,18.73,14.96,16.00,2.90,7.90,5.80,7.30,1.50,0.00,2.50,0.00,15.84,17.83,15.00,0.00,4.20,15.35,43.51,0.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,14.46,7.67,26.26,2.25,27.00,17.56,18.05,142.19,0.00,37.22,0.60,19.51,19.51,19.51,1.20,30.35,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.26,1.42,18.00,0.00,0.00,21.10,30.13,1.04,1.56,108.72,41.96,36.24,0.30,2.00,79.23,252.40,11.00,209.08,22.00,26.70
8.00,15.82,18.73,16.01,16.00,2.90,7.90,5.80,7.30,1.50,0.00,2.50,0.00,16.20,17.86,15.00,0.00,4.20,15.94,51.83,0.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,14.74,8.94,30.68,2.25,27.00,17.56,18.05,142.72,0.00,38.32,0.60,19.51,19.51,19.51,1.20,42.31,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.36,1.48,18.00,0.00,0.00,29.06,37.50,1.67,2.33,109.77,47.11,49.63,0.30,2.00,79.41,252.39,11.00,210.37,22.00,26.70
9.00,16.72,18.71,17.02,16.00,2.90,7.90,5.80,7.30,1.50,0.00,2.50,0.00,16.50,17.92,15.00,0.00,4.20,15.82,58.38,0.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,15.04,10.32,35.79,2.25,27.00,17.56,18.05,142.95,0.00,39.03,0.60,19.51,19.51,19.51,1.20,52.94,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.47,1.45,18.00,0.00,0.00,37.56,45.45,2.11,3.01,110.42,54.12,61.84,0.30,2.00,79.46,252.37,11.00,211.03,22.00,28.93
10.00,17.18,18.70,17.66,16.00,2.90,7.90,5.80,7.30,1.50,0.00,2.50,0.00,16.64,17.94,15.00,0.00,4.20,15.47,64.34,1.00,0.00,4.80,3.60,18.15,15.41,15.61,18.54,1.40,15.25,11.75,41.13,2.25,27.00,17.56,18.05,143.03,0.00,38.93,0.60,19.51,19.51,19.51,1.20,63.11,9.00,17.56,6.00,10.80,8.30,7.50,2.40,1.58,1.37,18.00,0.00,0.00,46.23,53.58,2.50,3.67,110.71,61.75,73.66,0.40,2.00,79.27,252.27,11.00,211.35,22.00,31.15
