"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CTAGROLMOS"
1.00,12.86,17.36,13.09,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,17.80,17.73,3.10,0.00,7.60,22.91,64.35,0.00,5.00,4.80,4.35,18.45,10.00,3.20,4.50,2.80,14.09,24.14,71.40,2.46,27.00,5.00,10.68,137.58,16.99,34.54,0.60,8.00,8.00,8.00,1.20,0.00,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,15.65,16.68,18.90,0.00,0.00,1.01,1.00,111.61,120.50,10.15,7.95,100.95,101.43,5.11,0.20,1.16,75.27,250.00,5.00,0.00,7.00
2.00,12.10,17.21,10.71,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,16.89,17.51,3.10,0.00,7.60,23.20,62.98,0.00,5.00,4.80,4.35,18.45,10.00,3.20,4.50,2.80,13.82,24.32,72.61,2.46,27.00,5.00,10.68,135.19,16.99,33.80,0.60,8.00,8.00,8.00,1.20,0.00,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,15.59,16.51,18.90,0.00,0.00,0.94,1.00,112.45,122.14,10.03,8.03,98.38,102.72,6.13,0.10,1.16,72.34,247.16,5.00,0.00,7.00
3.00,11.38,17.50,7.76,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,15.33,16.83,3.10,0.00,7.60,23.49,61.24,0.00,5.00,4.80,4.35,18.45,10.00,3.20,4.50,2.80,13.03,24.23,73.67,2.46,27.00,5.00,10.68,126.82,16.99,31.17,0.60,8.00,8.00,8.00,1.20,0.00,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,15.10,16.38,18.90,0.00,0.00,0.79,1.00,113.33,123.82,9.79,7.99,92.84,103.95,5.48,0.10,1.12,65.24,233.57,5.00,0.00,7.00
4.00,10.56,17.69,4.78,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,9.63,15.05,3.10,0.00,7.60,23.78,63.16,0.00,5.00,4.80,4.35,18.45,10.00,3.20,4.50,2.80,10.53,24.12,74.25,2.46,27.00,5.00,10.68,96.04,16.99,21.91,0.60,8.00,8.00,8.00,1.20,0.00,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,14.46,16.26,18.90,0.00,0.00,0.57,1.00,111.28,124.45,9.52,7.93,80.74,103.80,5.14,0.10,1.16,45.86,218.88,5.00,0.00,7.00
5.00,9.34,17.68,2.13,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.81,11.06,3.10,0.00,7.60,23.99,66.49,0.00,5.00,4.80,4.35,18.45,10.00,3.20,4.50,2.80,3.01,23.92,73.36,2.46,27.00,5.00,10.68,49.34,16.99,9.76,0.60,8.00,8.00,8.00,1.20,0.00,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,14.14,16.31,18.90,0.00,0.00,0.49,1.00,108.23,124.71,9.18,7.75,44.35,100.20,5.54,0.10,1.16,21.71,173.38,5.00,0.00,7.00
6.00,6.94,17.45,0.23,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,4.26,3.10,0.00,7.60,24.18,68.06,0.00,5.00,4.80,4.35,18.45,10.00,3.20,4.50,2.80,0.16,23.79,72.42,2.46,27.00,5.00,10.68,13.25,16.99,1.57,0.60,8.00,8.00,8.00,1.20,6.06,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,13.92,16.40,18.90,0.00,0.00,0.34,1.00,106.80,124.09,8.83,7.54,12.24,98.31,9.03,0.10,1.16,6.09,98.80,5.00,0.00,7.00
7.00,0.65,17.27,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.48,3.10,0.00,7.60,24.02,69.00,0.00,5.00,4.80,4.35,18.45,10.00,3.20,4.50,2.80,0.00,23.88,71.30,2.46,27.00,5.00,10.68,0.92,16.99,0.03,0.60,8.00,8.00,8.00,1.20,13.25,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,13.82,16.37,18.90,0.00,0.00,0.12,1.00,105.91,123.17,8.18,6.76,0.78,98.66,14.30,0.00,1.16,0.35,43.43,5.00,0.00,7.00
8.00,0.00,17.24,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,23.73,66.84,2.10,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,23.88,70.10,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,20.51,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,13.75,16.29,18.90,0.00,0.00,0.06,1.00,104.85,119.98,7.43,5.79,0.00,98.48,21.58,0.00,1.20,0.00,10.78,5.00,0.00,7.00
9.00,0.00,17.50,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,23.01,63.62,6.80,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,23.62,68.65,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,26.07,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,13.50,16.02,18.90,0.00,0.00,0.00,1.00,95.75,115.03,6.87,5.13,0.00,98.13,27.74,0.00,1.24,0.00,0.00,5.00,0.00,7.00
10.00,0.00,17.63,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,22.15,58.01,8.00,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,23.25,66.95,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,31.67,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,13.19,15.69,18.90,0.00,0.00,0.00,1.00,93.66,114.05,6.37,4.56,0.00,96.31,32.11,0.00,1.24,0.00,0.00,5.00,0.00,7.00
11.00,0.00,17.96,0.00,14.00,4.20,7.50,3.00,3.90,1.83,0.40,3.40,17.00,0.00,0.00,3.10,0.00,7.60,20.92,51.59,8.00,5.00,15.53,4.35,18.45,10.00,3.20,4.50,2.80,0.00,22.56,64.52,2.46,27.00,5.00,10.68,0.00,16.99,0.00,0.60,8.00,8.00,8.00,1.20,35.25,6.50,4.00,14.56,2.00,10.80,7.80,5.10,1.20,12.80,15.35,18.90,0.00,0.00,0.00,1.00,91.25,112.72,5.83,4.20,0.00,94.01,32.47,0.00,1.28,0.00,0.00,5.00,0.00,7.00
