"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
1.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,121.12,9.87,5.42,155.99,112.36,91.07,44.06,22.41,202.05,25.41,1.97,6.88,85.24,6.39,9.98,91.25,5.46,19.77,217.67,225.47,43.52,66.62,67.38,43.52,125.03,129.40,125.06,0.00,74.91,76.30,59.09,49.90,49.08,30.67,30.56,30.55,48.69,48.72,109.78,109.73,203.20,19.42,0.00
2.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,121.55,9.87,5.42,155.99,112.36,91.07,44.06,18.32,202.05,25.41,1.97,6.88,85.24,6.39,9.98,91.15,5.46,19.77,217.96,225.76,66.92,66.51,67.29,66.73,127.43,131.76,127.46,0.00,74.91,76.30,59.55,49.45,49.08,30.67,30.56,30.55,48.40,48.43,110.26,110.22,203.20,19.42,0.00
3.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,126.33,9.87,5.42,155.99,112.36,91.07,44.06,18.27,202.05,25.41,1.97,6.88,85.24,6.39,9.98,95.26,5.46,19.77,226.98,218.91,67.50,67.10,67.88,67.33,135.61,139.83,135.65,0.00,74.91,76.30,59.54,49.45,49.08,30.67,30.56,30.55,48.69,48.72,110.26,110.22,203.20,19.42,0.00
4.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,122.00,9.87,5.42,155.99,112.36,91.07,44.06,21.66,202.05,25.41,1.97,6.88,85.24,6.39,9.98,88.94,5.46,19.77,224.09,216.05,67.50,67.10,67.88,48.30,129.01,133.31,129.04,0.00,74.91,76.30,59.53,49.47,49.08,30.67,30.56,30.55,48.55,48.58,110.26,110.22,203.20,19.42,0.00
5.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,116.01,9.87,5.42,155.99,112.36,91.07,44.06,24.74,202.05,25.41,1.97,6.88,85.24,6.39,9.98,85.48,5.46,19.77,212.34,220.02,62.76,62.37,63.11,61.86,121.76,126.20,121.78,0.00,74.91,76.30,59.55,49.45,49.08,30.67,30.56,30.55,48.55,48.58,110.26,110.22,203.20,19.42,0.00
6.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,104.04,9.87,5.42,155.99,112.36,91.07,44.06,18.00,202.05,25.41,1.97,6.88,85.24,6.39,9.98,85.48,5.46,19.77,213.48,205.88,48.71,61.86,62.60,48.71,172.65,176.83,0.00,0.00,74.91,76.30,58.63,50.36,49.08,30.67,30.56,30.55,48.44,48.47,104.03,103.99,203.20,19.42,0.00
7.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,100.29,9.87,5.42,155.99,112.36,91.07,44.06,18.00,202.05,13.33,1.97,6.88,85.24,6.39,9.98,85.48,5.46,19.77,206.70,206.47,61.86,61.48,42.42,42.42,164.18,176.55,0.00,0.00,74.91,76.30,58.63,50.36,49.08,30.67,30.56,30.55,48.44,48.47,103.27,103.22,203.20,19.42,0.00
8.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,100.91,9.87,5.42,155.99,112.36,91.07,44.06,20.78,202.05,13.33,1.97,6.88,85.24,6.39,9.98,85.48,5.46,19.77,198.82,205.49,45.23,57.48,58.08,35.34,0.00,188.35,0.00,0.00,74.91,76.30,58.62,50.38,49.08,30.67,30.56,30.55,48.44,48.47,102.66,102.62,203.20,19.42,0.00
9.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,83.57,9.87,5.42,155.99,112.36,91.07,44.06,24.74,202.05,13.33,1.97,6.88,85.24,6.39,9.98,85.48,5.46,19.77,190.41,190.26,38.22,37.76,38.22,38.22,84.94,90.99,84.95,0.00,74.91,76.30,58.14,49.99,49.08,30.67,30.56,30.55,48.44,48.47,0.00,43.52,203.20,19.42,0.00
10.00,0.00,29.95,67.13,602.28,195.93,7.75,8.13,100.31,19.19,4.01,26.56,14.92,67.34,9.87,5.42,155.99,112.36,91.07,44.06,18.00,202.05,13.33,1.97,6.88,85.24,6.39,9.98,85.48,5.46,19.77,181.81,181.72,20.62,64.17,20.62,20.62,87.33,93.00,0.00,0.00,74.91,76.30,57.36,51.63,49.08,30.67,30.56,30.55,48.30,48.33,0.00,20.62,203.20,19.42,0.00
