"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE","CSINTIPAMPAEXP"
1.00,0.00,13.91,0.00,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,22.79,27.68,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,12.37,37.04,2.10,27.10,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,55.86,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.84,6.86,18.90,0.00,0.00,0.00,1.00,67.26,72.24,1.94,2.38,0.00,60.84,44.01,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
2.00,0.00,13.91,0.00,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,22.79,27.68,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,12.37,37.04,2.10,27.10,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,55.86,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.84,6.86,18.90,0.00,0.00,0.00,1.00,67.26,72.24,1.94,2.38,0.00,60.84,44.01,0.00,2.00,0.00,0.00,11.00,0.00,23.00,0.00
3.00,0.00,14.21,0.00,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,23.30,26.82,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,12.20,36.28,2.10,27.10,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,52.94,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.92,6.88,18.90,0.00,0.00,0.00,1.00,67.26,72.24,1.85,2.25,0.00,61.20,42.55,0.00,1.96,0.00,0.00,11.00,0.00,23.00,0.00
4.00,0.00,14.37,0.00,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,23.72,25.98,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,12.17,35.52,2.10,27.20,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,49.34,9.80,10.24,3.50,10.80,7.92,5.80,1.20,4.02,6.82,18.90,0.00,0.00,0.00,1.00,67.26,72.24,1.78,2.17,0.00,61.12,41.13,0.00,1.96,0.00,0.00,11.00,0.00,23.00,0.00
5.00,0.00,15.27,0.00,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,24.20,25.24,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,12.28,34.76,2.10,27.50,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,46.13,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.94,6.66,18.90,0.00,0.00,0.00,1.00,67.26,72.24,1.85,2.25,0.00,61.04,40.16,0.00,1.96,0.00,0.00,11.00,0.00,23.00,0.00
6.00,0.00,16.11,0.00,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,24.69,24.53,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,12.35,34.09,2.10,27.50,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,43.06,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.80,6.48,18.90,0.00,0.00,0.00,1.00,67.26,72.24,1.96,2.40,0.00,60.16,39.35,0.00,1.96,0.00,0.00,11.00,0.00,23.00,0.00
7.00,0.00,16.17,0.00,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,25.11,24.35,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,12.37,33.50,2.10,27.50,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,48.73,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.87,6.59,18.90,0.00,0.00,0.00,1.00,57.96,61.75,1.79,2.26,0.00,59.28,44.80,0.00,1.96,0.00,0.00,11.00,0.00,23.00,0.00
8.00,0.00,16.40,0.00,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,25.51,24.34,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,12.35,33.10,2.10,27.60,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,57.32,9.80,10.24,3.50,10.80,7.92,5.80,1.20,4.01,6.80,18.90,0.00,0.00,0.00,1.00,57.96,61.75,1.52,2.03,0.00,58.01,52.32,0.00,1.92,0.00,0.00,11.00,0.00,23.00,0.00
9.00,0.00,16.37,0.00,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,25.26,24.22,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,12.29,32.87,2.10,27.60,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,60.66,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.95,6.81,18.90,0.00,0.00,0.00,1.00,53.21,60.32,1.40,1.90,0.00,56.74,53.44,0.00,1.92,0.00,0.00,11.00,0.00,23.00,0.00
10.00,0.01,16.40,0.03,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.07,0.03,14.63,0.00,0.00,24.79,24.08,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,12.23,32.92,2.10,27.60,5.00,13.17,0.55,17.95,0.21,0.60,19.51,19.51,19.51,1.20,62.26,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.83,6.75,18.90,0.00,0.00,0.00,1.00,53.21,60.32,1.34,1.80,0.55,55.75,52.43,0.00,1.92,0.10,0.00,11.00,0.00,23.00,0.00
