"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
11.00,17.50,23.67,17.10,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,19.90,18.20,17.56,10.93,8.60,4.20,31.50,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.90,13.00,38.40,2.90,0.00,19.51,17.56,133.10,18.34,35.70,0.00,17.00,17.00,17.00,2.40,27.50,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,11.00,14.40,18.00,1.00,1.58,0.78,1.23,32.80,36.50,2.50,3.10,112.60,59.40,15.00,0.40,2.00,76.42
12.00,17.40,23.81,17.10,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,19.60,18.20,17.56,10.93,8.60,4.90,37.00,7.70,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.90,14.90,44.90,2.90,0.00,19.51,17.56,139.10,18.34,33.60,0.00,17.00,17.00,17.00,2.40,40.00,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,10.90,14.30,18.00,1.00,1.58,0.79,1.23,36.20,39.60,2.80,3.30,112.40,68.50,24.00,0.40,2.00,74.68
13.00,17.10,23.63,16.20,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,18.20,18.20,17.56,10.93,8.60,5.80,40.80,7.50,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.90,17.00,53.10,2.90,0.00,19.51,17.56,143.40,18.34,30.20,0.00,17.00,17.00,17.00,2.40,60.20,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,11.30,14.50,18.00,1.00,1.58,0.78,1.23,40.30,43.70,3.30,3.60,111.80,77.90,41.00,0.40,2.00,69.21
14.00,16.60,23.79,14.20,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,18.30,18.40,17.56,10.93,8.60,6.30,44.20,7.60,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,16.00,18.60,60.30,2.90,0.00,19.51,17.56,142.90,18.34,25.40,0.00,17.00,17.00,17.00,2.40,76.80,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,11.50,14.40,18.00,1.00,1.58,0.78,1.23,44.40,47.90,3.80,3.90,110.30,82.90,58.30,0.40,2.00,69.96
15.00,15.60,23.61,12.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,19.10,18.40,17.56,10.93,8.60,5.70,46.20,7.70,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.90,20.00,64.00,2.90,0.00,19.51,17.56,141.80,18.34,21.40,0.00,17.00,17.00,17.00,2.40,82.60,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,10.90,13.30,18.00,1.00,1.58,0.78,1.23,48.60,52.20,4.10,4.30,107.70,86.30,76.10,0.30,2.00,75.98
16.00,14.10,23.79,10.00,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,18.90,18.20,17.56,10.93,8.60,5.20,47.50,7.90,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.80,20.80,67.20,2.90,0.00,19.51,17.56,138.30,18.34,17.20,0.00,17.00,17.00,17.00,2.40,87.70,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,10.20,12.10,18.00,1.00,1.58,0.66,1.23,52.30,56.20,4.40,4.80,103.10,89.10,93.10,0.20,2.00,77.83
17.00,12.00,23.80,7.80,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,18.40,17.90,17.56,10.93,8.60,5.50,47.10,7.80,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.60,21.40,69.00,2.90,0.00,19.51,17.56,130.20,18.34,13.20,0.00,17.00,17.00,17.00,2.40,90.80,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,9.00,10.10,18.00,1.00,1.58,0.64,1.23,54.80,59.30,4.60,5.20,96.30,91.70,107.20,0.20,2.00,76.97
18.00,9.50,23.80,5.70,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,17.60,17.50,17.56,10.93,8.60,5.60,46.30,7.80,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,15.20,21.70,70.50,2.90,0.00,19.51,17.56,118.20,18.34,11.30,0.00,17.00,17.00,17.00,2.40,95.40,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,8.00,8.40,18.00,1.00,1.58,0.60,1.23,57.20,62.20,4.90,5.70,88.10,92.00,119.20,0.10,2.00,74.96
19.00,6.90,23.65,3.90,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,15.90,17.00,17.56,10.93,8.60,5.40,44.70,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,14.60,21.90,71.30,2.90,0.00,19.51,17.56,106.60,18.34,9.90,0.00,17.00,17.00,17.00,2.40,104.00,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,7.30,7.30,18.00,1.00,1.58,0.50,1.23,58.90,64.60,5.10,6.00,80.90,91.60,124.50,0.10,2.00,71.18
20.00,4.30,23.60,2.40,14.00,4.20,0.00,12.20,19.22,1.80,0.70,3.40,15.99,12.70,16.20,17.56,10.93,8.60,5.10,43.10,8.00,10.44,15.61,5.00,19.32,19.32,19.51,19.51,2.80,13.30,21.40,71.70,2.90,0.00,19.51,17.56,82.70,18.34,7.30,0.00,17.00,17.00,17.00,2.40,110.90,12.88,19.51,19.51,8.00,0.00,7.08,10.00,2.40,6.60,6.30,18.00,1.00,1.58,0.36,1.23,59.90,66.60,5.30,6.10,67.80,91.00,129.00,0.10,2.00,63.90
