"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE","CSINTIPAMPAEXP"
1.00,0.00,20.78,0.00,14.00,2.90,7.90,5.80,9.85,1.40,0.40,3.30,20.11,0.00,0.00,10.73,0.00,0.00,23.63,22.31,0.00,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,0.00,15.72,44.17,2.50,26.90,4.00,16.59,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,32.90,9.00,10.24,3.50,10.80,8.17,5.80,1.20,5.14,9.38,18.90,0.00,0.00,0.00,1.00,17.45,34.06,1.15,1.51,0.00,43.17,32.01,0.00,1.76,0.00,0.00,11.00,0.00,23.00,0.00
2.00,0.00,20.89,0.03,14.00,2.90,7.90,5.80,9.85,1.40,0.40,3.30,20.11,0.09,0.04,10.73,0.00,0.00,23.61,22.39,0.00,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,0.00,15.37,43.19,2.50,26.90,4.00,16.59,1.48,17.95,0.44,0.60,19.51,19.51,19.51,1.20,34.82,9.00,10.24,3.50,10.80,8.17,5.80,1.20,5.21,9.52,18.90,0.00,0.00,0.00,1.00,19.20,37.00,0.97,1.35,1.12,45.62,32.03,0.00,1.76,0.25,0.00,11.00,0.00,23.00,0.00
3.00,0.18,20.93,0.65,14.00,2.90,7.90,5.80,9.85,1.40,0.40,3.30,20.11,1.41,1.71,10.73,0.00,0.00,23.51,22.20,0.00,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,1.37,15.07,42.68,2.50,27.00,4.00,16.59,29.92,17.95,5.80,0.60,19.51,19.51,19.51,1.20,36.31,9.00,10.24,3.50,10.80,8.17,5.80,1.20,5.83,10.00,18.90,0.00,0.00,0.00,1.00,21.08,40.20,0.78,1.22,28.70,48.26,32.01,0.00,1.76,11.96,18.75,11.00,37.00,23.00,0.00
4.00,0.78,21.04,1.86,14.00,2.90,7.90,5.80,9.85,1.40,0.40,3.30,20.11,2.79,5.00,10.73,0.00,0.00,23.37,21.71,0.00,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,5.28,14.75,41.19,2.50,27.00,4.00,16.59,74.94,17.95,14.90,0.60,19.51,19.51,19.51,1.20,35.31,9.00,10.24,3.50,10.80,8.17,5.80,1.20,6.63,10.60,18.90,0.00,0.00,0.00,1.00,22.83,43.14,0.59,1.10,59.05,50.71,31.09,0.00,1.72,41.06,57.42,11.00,75.00,23.00,0.32
5.00,2.53,21.08,3.19,14.00,2.90,7.90,5.80,9.85,1.40,0.40,3.30,20.11,6.06,10.62,10.73,0.00,0.00,23.26,21.13,0.00,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,9.69,14.43,39.41,2.50,26.90,4.00,16.59,114.85,17.95,26.63,0.60,19.51,19.51,19.51,1.20,33.37,9.00,10.24,3.50,10.80,8.17,5.80,1.20,7.20,10.96,18.90,0.00,0.00,0.03,1.00,24.17,45.26,0.52,0.99,84.87,52.58,29.80,0.00,1.76,64.23,112.77,11.00,128.00,23.00,0.65
6.00,5.05,20.91,5.89,14.00,2.90,7.90,5.80,9.85,1.40,0.40,3.30,20.11,12.83,15.64,10.73,0.00,0.00,23.15,22.73,0.00,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,13.41,14.56,40.70,2.50,26.90,4.00,16.59,139.98,17.95,33.46,0.60,19.51,19.51,19.51,1.20,32.24,9.00,10.24,3.50,10.80,8.17,5.80,1.20,7.69,11.23,18.90,0.00,0.00,0.05,1.00,26.63,46.64,0.49,0.87,99.85,54.83,30.05,0.00,1.76,76.54,174.89,11.00,180.00,23.00,0.97
7.00,7.84,21.00,8.58,14.00,2.90,7.90,5.80,9.85,1.20,0.40,3.30,20.11,16.88,17.54,10.73,0.00,0.00,22.72,25.08,0.00,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,14.77,14.85,43.12,2.50,26.90,4.00,16.59,144.47,17.95,36.34,0.60,19.51,19.51,19.51,1.20,31.23,9.00,10.24,3.50,10.80,8.17,5.80,1.20,8.37,11.60,18.90,0.00,0.00,0.06,1.00,32.03,49.66,0.61,1.04,105.84,59.76,30.74,0.00,1.76,79.71,209.65,11.00,190.00,23.00,1.29
8.00,10.05,21.16,10.48,14.00,2.90,7.90,5.80,9.85,1.20,0.40,3.30,20.11,18.36,18.40,10.73,0.00,0.00,22.19,29.42,3.20,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,15.51,15.36,46.28,2.50,26.90,4.00,16.59,144.48,17.95,37.80,0.60,19.51,19.51,19.51,1.20,33.91,9.00,10.24,3.50,10.80,8.17,5.80,1.20,9.12,12.00,18.90,0.00,0.00,0.09,1.00,37.44,52.69,0.77,1.29,108.87,64.69,35.99,0.10,1.72,80.00,226.72,11.00,199.00,23.00,1.94
9.00,11.78,21.06,12.38,14.00,2.90,7.90,5.80,9.85,1.20,0.40,3.30,20.11,18.96,18.78,10.73,0.00,0.00,21.36,34.42,3.90,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,15.91,15.94,49.75,2.50,26.90,4.00,16.59,144.48,17.95,38.68,0.60,19.51,19.51,19.51,1.20,37.76,9.00,10.24,3.50,10.80,8.17,5.80,1.20,9.95,12.55,18.90,0.00,0.00,0.44,1.00,39.90,54.07,1.15,1.64,110.65,66.94,42.73,0.20,1.72,80.00,238.32,11.00,203.00,23.00,2.58
10.00,13.30,21.20,14.04,14.00,2.90,7.90,5.80,9.85,1.20,0.40,3.30,20.11,18.76,18.86,10.73,0.00,0.00,20.43,40.02,4.00,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,15.97,17.13,54.75,2.50,26.90,4.00,16.59,144.48,17.95,38.96,0.60,19.51,19.51,19.51,1.20,45.35,9.00,10.24,3.50,10.80,8.17,5.80,1.20,10.81,13.16,18.90,0.00,0.00,0.59,1.00,45.45,58.81,1.61,2.03,111.68,73.04,53.04,0.20,1.72,80.00,243.95,11.00,207.00,23.00,3.23
