"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
11.00,2.96,23.73,1.49,14.00,4.20,7.50,11.86,19.14,3.41,0.00,3.50,0.00,2.76,10.09,17.49,0.00,5.80,21.68,27.61,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,8.42,22.05,65.25,3.50,27.00,19.44,18.27,51.08,17.88,4.77,0.60,19.44,19.44,19.44,1.20,119.05,12.83,20.41,8.10,10.70,8.00,16.52,2.40,3.04,1.51,18.00,0.34,1.00,109.30,102.18,10.35,12.95,44.16,100.18,78.90,0.10,2.00,27.66,118.80,5.00,81.60,20.00,0.17,11.80,62.21
12.00,1.06,23.79,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,5.32,17.49,0.00,5.80,20.80,32.58,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,4.91,22.02,65.17,3.50,27.00,19.44,18.27,30.51,17.88,1.73,0.60,19.44,19.44,19.44,1.20,117.55,12.83,20.41,8.10,10.70,8.00,16.52,2.40,2.57,1.13,18.00,0.23,1.00,109.12,102.62,10.07,12.68,26.86,99.88,83.90,0.10,2.00,9.37,52.45,5.00,34.60,20.00,0.11,7.00,28.68
13.00,0.10,23.88,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,2.23,17.49,0.00,5.80,19.25,34.67,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,3.18,22.06,64.47,3.50,27.00,19.44,18.27,20.09,17.88,0.55,0.60,19.44,19.44,19.44,1.20,113.54,12.83,20.41,8.10,10.70,8.00,16.52,2.40,2.08,1.08,18.00,0.08,1.00,109.78,103.29,9.40,11.68,17.61,99.21,83.91,0.00,2.00,1.62,17.35,5.00,10.21,20.00,0.05,2.19,6.17
14.00,0.00,23.90,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,17.74,34.42,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,1.40,3.04,22.05,63.55,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,107.81,12.83,20.41,8.10,10.70,8.00,16.52,2.40,1.63,1.08,18.00,0.04,1.00,110.73,103.96,8.54,10.43,16.49,98.58,121.91,0.00,2.00,0.85,13.58,5.00,5.84,20.00,0.02,0.85,4.68
15.00,0.00,23.65,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,16.70,31.99,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,21.92,62.75,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,100.47,12.83,20.41,8.10,10.70,8.00,16.52,2.40,1.25,1.09,18.00,0.00,1.00,110.81,104.38,7.77,9.31,16.49,98.24,105.01,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
16.00,0.00,23.71,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,16.08,29.46,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,21.84,62.98,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,94.95,12.83,20.41,8.10,10.70,8.00,16.52,2.40,0.88,1.11,18.00,0.00,1.00,107.80,104.19,7.15,8.44,16.49,98.55,97.71,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
17.00,0.00,23.56,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,15.46,29.86,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,22.29,64.29,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,93.85,12.83,20.41,8.10,10.70,8.00,16.52,2.40,0.62,1.20,18.00,0.00,1.00,101.50,103.56,6.58,7.62,16.49,98.80,98.32,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
18.00,0.00,23.55,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,15.02,26.78,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,22.52,63.83,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,89.00,12.83,20.41,8.10,10.70,8.00,16.52,2.40,0.57,1.36,18.00,0.00,1.00,97.00,103.12,6.11,6.96,16.49,97.99,89.82,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
19.00,0.00,23.87,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,14.75,21.00,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,22.11,61.33,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,81.57,12.83,20.41,8.10,10.70,8.00,16.52,2.40,0.57,1.52,18.00,0.00,1.00,92.23,102.21,5.69,6.33,16.49,96.12,79.02,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
20.00,0.00,23.63,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,14.60,14.64,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,21.45,57.85,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,72.94,12.83,20.41,8.10,10.70,8.00,16.52,2.40,0.61,1.70,18.00,0.00,1.00,85.45,100.70,5.27,5.69,16.49,93.75,67.92,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
21.00,0.00,23.87,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,14.02,10.35,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,20.93,54.86,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,65.62,12.83,20.41,8.10,10.70,8.00,16.52,2.40,0.64,1.87,18.00,0.00,1.00,77.30,98.60,4.74,5.02,16.49,91.99,61.43,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
22.00,0.00,23.67,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,13.44,7.22,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,20.56,52.84,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,59.58,12.83,20.41,8.10,10.70,8.00,16.52,2.40,0.70,1.99,18.00,0.00,1.00,69.16,95.50,4.21,4.38,16.49,90.94,55.73,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
23.00,0.00,23.59,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,13.02,5.43,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,20.36,52.46,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,54.52,12.83,20.41,8.10,10.70,8.00,16.52,2.40,0.78,2.04,18.00,0.00,1.00,60.71,91.26,3.75,3.75,16.49,90.74,49.13,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
24.00,0.00,23.59,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,12.36,7.09,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,20.91,55.65,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,52.93,12.83,20.41,8.10,10.70,8.00,16.52,2.40,1.07,1.98,18.00,0.00,1.00,53.55,85.25,3.42,3.23,16.49,93.09,44.94,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
25.00,0.00,23.67,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,11.52,10.29,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,21.96,58.57,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,50.47,12.83,20.41,8.10,10.70,8.00,16.52,2.40,1.53,2.00,18.00,0.00,1.00,47.94,77.61,3.21,2.95,16.49,96.18,83.94,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
26.00,0.00,23.85,0.00,14.00,4.20,7.50,11.86,19.14,3.46,0.00,3.50,0.00,2.57,1.23,17.49,0.00,5.80,11.62,9.48,8.00,9.00,12.44,5.00,19.24,19.24,19.44,19.44,2.80,3.04,21.84,56.30,3.50,27.00,19.44,18.27,18.99,17.88,0.43,0.60,19.44,19.44,19.44,1.20,42.65,12.83,20.41,8.10,10.70,8.00,16.52,2.40,1.68,2.11,18.00,0.00,1.00,40.61,69.16,2.88,2.56,16.49,94.83,123.94,0.00,2.00,0.83,13.41,5.00,5.58,20.00,0.00,0.00,4.68
