"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,95.74,19.19,0.63,26.42,12.54,50.00,9.44,5.18,163.91,56.52,93.37,36.25,32.26,175.70,14.58,1.97,6.88,43.84,6.39,9.98,61.29,6.44,14.18,0.00,144.33,28.66,44.14,44.28,25.75,152.65,164.01,152.70,0.00,68.72,33.34,45.95,47.56,53.05,30.67,30.56,30.55,42.50,42.52,50.82,50.81,203.20,11.85,20.25
2.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,94.76,19.19,0.63,26.42,12.26,50.00,9.44,5.18,163.91,56.52,92.19,36.25,30.80,180.95,14.58,1.97,6.88,43.84,6.39,9.98,57.26,6.44,13.24,0.00,144.33,33.76,33.69,34.84,33.76,149.19,160.15,149.24,0.00,67.63,31.62,48.38,41.66,53.05,30.67,30.56,30.55,42.36,42.37,45.31,45.30,203.20,11.85,20.25
3.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,93.69,19.19,0.63,26.42,12.26,50.00,9.44,5.18,163.91,56.52,90.88,36.25,28.39,176.38,14.58,1.97,6.88,43.84,6.39,9.98,53.21,6.44,12.31,0.00,144.33,23.85,37.86,35.38,24.30,145.40,155.88,145.44,0.00,67.01,52.58,43.12,37.48,53.05,30.67,30.56,30.55,41.98,41.99,34.73,34.73,203.20,11.85,20.25
4.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,93.00,19.19,0.63,26.42,0.00,50.00,9.44,5.18,163.91,56.52,90.04,36.25,30.14,169.77,14.58,1.97,6.88,43.84,6.39,9.98,48.41,6.44,11.20,0.00,144.33,34.17,35.49,34.17,34.17,142.81,152.95,142.86,0.00,67.01,30.93,66.56,0.00,53.05,30.67,30.56,30.55,41.17,41.18,25.45,25.45,203.20,11.85,20.25
5.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,50.00,9.44,5.18,163.91,56.52,111.18,36.25,35.37,178.05,14.58,1.97,6.88,43.84,6.39,9.98,57.22,6.44,13.24,0.00,0.00,31.34,22.43,31.35,31.34,154.52,166.07,154.57,0.00,74.91,0.00,46.58,38.19,53.05,30.67,30.56,30.55,42.50,42.52,38.08,38.08,203.20,11.85,20.25
6.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,50.00,9.44,5.18,163.91,56.52,111.18,36.25,35.37,174.47,14.58,1.97,6.88,43.84,6.39,9.98,53.82,6.44,12.45,0.00,0.00,28.91,28.90,28.93,28.90,151.38,162.60,151.43,0.00,68.28,32.53,44.27,41.20,53.05,30.67,30.56,30.55,42.36,42.37,21.33,21.33,203.20,11.85,20.25
7.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,11.23,50.00,9.44,5.18,163.91,56.52,111.18,36.25,35.37,174.58,14.58,1.97,6.88,43.84,6.39,9.98,53.21,6.44,12.31,0.00,0.00,33.73,35.23,23.21,22.98,150.12,161.19,150.18,0.00,68.10,32.24,44.55,41.33,53.05,30.67,30.56,30.55,42.36,42.37,30.36,30.36,203.20,11.85,20.25
8.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,50.00,9.44,5.18,163.91,56.52,111.18,36.25,35.37,178.19,14.58,1.97,6.88,43.84,6.39,9.98,51.37,6.44,11.88,0.00,0.00,22.40,31.24,31.27,31.27,149.53,160.53,149.58,0.00,67.15,31.07,44.38,40.63,53.05,30.67,30.56,30.55,41.17,41.18,29.53,29.53,203.20,11.85,20.25
9.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,110.37,19.19,0.63,26.42,14.92,50.00,9.44,5.18,163.91,56.52,111.18,36.25,35.37,179.40,14.58,1.97,6.88,43.84,6.39,9.98,54.51,6.44,12.61,0.00,0.00,37.49,42.26,0.00,37.49,153.51,164.96,153.56,0.00,67.01,52.58,43.86,40.26,53.05,30.67,30.56,30.55,42.50,42.52,42.06,42.06,203.20,11.85,20.25
10.00,48.41,29.95,67.13,635.03,206.59,7.75,6.65,87.70,19.19,0.63,26.42,14.92,50.00,9.44,5.18,163.91,56.52,83.59,36.25,26.14,169.51,14.58,1.97,6.88,43.84,6.39,9.98,52.19,6.44,12.07,144.33,0.00,30.11,30.09,30.11,30.11,150.65,161.78,150.70,0.00,67.01,30.93,43.47,37.96,53.05,30.67,30.56,30.55,41.17,41.18,31.52,31.52,203.20,11.85,20.25
