"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
1.00,0.00,19.16,0.00,13.53,4.50,7.60,3.10,6.10,2.00,0.00,3.50,0.00,0.00,0.00,0.00,9.90,7.50,20.09,37.95,6.00,5.30,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,10.69,39.58,2.10,27.62,3.20,11.59,0.00,15.46,0.00,0.60,7.00,6.00,6.00,1.15,115.32,4.70,9.00,3.00,10.43,8.12,3.80,2.30,16.00,15.00,9.50,0.00,2.16,33.97,45.47,4.47,4.47,0.00,48.84,92.96,0.00,1.41,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
2.00,0.00,18.94,0.00,13.53,4.50,7.60,3.10,6.10,2.00,0.00,3.50,0.00,0.00,0.00,0.00,9.86,7.50,18.32,35.42,7.10,5.30,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,11.03,40.27,2.10,27.82,3.20,11.59,0.00,15.46,0.00,0.60,7.00,6.00,6.00,1.15,103.79,4.70,9.00,3.00,10.43,8.12,3.80,2.30,16.00,14.00,9.50,0.00,2.16,34.56,47.83,4.35,4.19,0.00,47.37,76.35,0.00,1.44,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
3.00,0.00,18.94,0.00,13.53,4.50,7.60,3.10,6.10,2.00,0.00,3.50,0.00,0.00,0.00,3.10,9.95,7.50,17.85,33.21,7.70,5.30,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,11.41,41.03,2.10,27.92,3.20,11.59,0.00,15.46,0.00,0.60,7.00,6.00,6.00,1.15,91.26,4.70,9.00,3.00,10.43,8.12,3.80,2.30,15.00,14.00,9.50,0.00,2.16,35.22,50.42,4.22,3.89,0.00,45.79,58.22,0.00,1.45,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
4.00,0.00,18.82,0.00,13.53,4.50,7.60,3.10,6.10,2.00,0.00,3.50,0.00,0.00,0.00,3.10,10.63,7.50,16.82,28.34,7.60,5.30,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,11.75,41.72,2.10,28.04,3.20,11.59,0.00,15.46,0.00,0.60,7.00,6.00,6.00,1.15,79.72,4.70,9.00,3.00,10.43,8.12,3.80,2.30,15.00,14.00,9.50,0.00,2.15,35.81,52.79,4.10,3.61,0.00,44.32,41.61,0.00,1.46,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
5.00,0.00,18.90,0.00,13.53,4.50,7.60,3.10,6.10,2.00,0.00,3.50,0.00,0.00,0.00,3.10,11.01,7.50,15.78,23.47,7.60,5.30,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,11.97,42.19,2.10,28.14,3.20,11.59,0.00,15.46,0.00,0.60,7.00,6.00,6.00,1.15,71.14,4.70,9.00,3.00,10.43,8.12,3.80,2.30,14.00,13.00,9.50,0.00,2.12,36.17,54.48,4.00,3.40,0.00,43.17,29.56,0.00,1.47,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
6.00,0.00,19.22,0.00,13.53,4.50,7.60,3.10,6.10,2.00,0.00,3.50,0.00,0.00,0.00,3.10,11.01,7.50,15.31,21.26,7.60,5.30,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,11.47,41.08,2.10,28.26,3.20,11.59,0.00,15.46,0.00,0.60,7.00,6.00,6.00,1.15,66.75,4.70,9.00,3.00,10.43,8.12,3.80,2.30,14.00,13.00,9.50,0.00,2.10,34.82,53.55,3.83,3.25,0.00,41.73,29.63,0.00,1.47,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
7.00,0.00,19.14,0.00,13.53,4.50,7.60,3.10,6.10,2.00,0.00,3.50,0.00,0.00,0.00,3.10,11.01,7.50,15.19,17.54,6.70,5.30,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,10.37,38.65,2.10,28.34,3.20,11.59,0.00,15.46,0.00,0.60,7.00,6.00,6.00,1.15,57.11,4.70,9.00,3.00,10.43,8.12,3.80,2.30,13.00,13.00,9.50,0.00,2.08,31.84,51.51,3.46,2.90,0.00,38.56,29.78,0.00,1.46,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
8.00,0.00,19.20,0.00,13.53,4.50,7.60,3.10,6.10,2.00,0.00,3.50,0.00,0.00,0.00,3.10,11.01,7.50,15.07,13.83,6.50,5.30,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,9.27,36.22,2.10,28.44,3.20,11.59,0.00,15.46,0.00,0.60,7.00,6.00,6.00,1.15,47.46,4.70,9.00,3.00,10.43,8.12,3.80,2.30,13.00,13.00,9.50,0.00,2.04,28.87,49.46,3.08,2.55,0.00,35.39,29.93,0.00,1.45,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
9.00,0.00,19.09,0.00,13.53,4.50,7.60,3.10,6.10,2.30,0.00,3.50,0.00,0.00,0.00,3.10,11.01,7.50,15.26,14.78,1.10,5.30,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,8.78,35.12,2.10,28.46,3.20,11.59,0.00,15.46,0.00,0.60,7.00,6.00,6.00,1.15,43.07,4.70,9.00,3.00,10.43,8.12,3.80,2.30,13.00,13.00,9.50,0.00,2.00,27.52,48.53,2.91,2.39,0.00,33.95,29.99,0.00,1.43,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
10.00,0.00,19.46,0.00,13.53,4.50,7.60,3.10,6.10,2.30,0.00,3.50,0.00,0.00,0.00,3.10,11.01,7.50,15.46,15.73,0.00,5.30,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,8.11,32.04,2.10,28.50,3.20,11.59,0.00,15.46,0.00,0.60,7.00,6.00,6.00,1.15,33.90,4.70,9.00,3.00,10.43,8.12,3.80,2.30,13.00,13.00,9.50,0.00,1.94,25.70,45.30,2.71,2.09,0.00,32.77,25.48,0.00,1.40,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
