"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
18.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,135.78,5.14,2.82,164.07,96.68,132.84,44.10,20.19,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,62.03,10.32,14.36,228.68,228.42,37.06,0.00,37.06,37.06,184.35,188.53,184.41,5.67,74.99,75.00,50.60,41.84,77.12,30.70,30.59,30.58,85.00,21.44,91.69,91.65,203.40,19.44,20.27
19.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,142.44,5.14,2.82,164.07,94.43,132.84,44.10,18.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,82.43,10.32,19.09,228.68,228.42,20.60,54.59,55.14,20.60,184.35,188.53,184.41,5.67,74.99,75.00,51.22,41.98,77.12,30.70,30.59,30.58,85.00,44.20,110.37,110.32,203.40,19.44,20.27
20.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,142.44,5.14,2.82,164.07,93.35,132.84,44.10,18.00,216.27,33.36,4.42,6.88,87.77,16.00,6.39,9.98,81.48,10.32,18.87,228.68,228.42,20.60,54.60,55.14,20.60,184.35,188.53,184.41,5.67,74.99,75.00,50.05,41.65,77.12,30.70,30.59,30.58,85.00,44.20,103.32,103.28,203.40,19.44,20.27
21.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,142.44,5.14,2.82,164.07,92.62,132.84,44.10,18.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,84.09,10.32,19.47,228.68,228.42,20.60,54.59,55.14,20.60,184.35,188.53,184.41,5.67,74.99,75.00,50.63,41.81,77.12,30.70,30.59,30.58,85.00,44.20,106.76,106.72,203.40,19.44,20.27
22.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,142.44,5.14,2.82,164.07,92.11,132.84,44.10,18.00,215.88,33.36,4.42,6.88,87.77,16.00,6.39,9.98,85.48,10.32,19.79,228.68,228.42,20.60,60.69,61.40,20.60,184.35,188.53,184.41,5.67,74.99,75.00,50.63,41.81,77.12,30.70,30.59,30.58,85.00,44.20,109.47,109.43,203.40,19.44,20.27
23.00,73.26,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,142.44,5.14,2.82,164.07,91.52,132.84,44.10,18.00,216.27,33.36,4.42,6.88,87.77,16.00,6.39,9.98,85.48,10.32,19.79,228.68,228.42,46.12,45.58,67.94,21.02,184.35,188.53,184.41,5.67,74.99,76.38,55.25,43.20,77.12,30.70,30.59,30.58,44.20,85.00,110.37,110.32,203.40,19.44,20.27
24.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,142.44,5.14,2.82,164.07,88.91,132.84,44.10,18.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,73.62,10.32,17.04,228.68,228.42,20.60,54.60,55.13,20.60,184.35,188.53,184.41,5.67,74.99,75.00,48.70,41.27,77.12,30.70,30.59,30.58,44.20,85.00,93.89,93.85,203.40,19.44,20.27
25.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,142.44,5.14,2.82,164.07,86.86,132.84,44.10,18.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,71.32,10.32,16.51,228.68,228.42,20.60,64.44,65.21,20.60,184.35,188.53,184.41,5.67,74.99,75.00,51.39,42.03,77.12,30.70,30.59,30.58,50.03,85.00,110.37,0.00,203.40,19.44,20.27
26.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,132.45,5.14,2.82,164.07,85.32,132.84,44.10,18.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,35.73,10.32,8.27,228.68,228.42,20.60,64.44,65.21,20.60,184.35,188.53,184.41,5.67,74.99,75.00,50.05,41.65,77.12,30.70,30.59,30.58,50.03,85.00,55.50,0.00,203.40,19.44,20.27
27.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,91.67,5.14,2.82,164.07,83.59,132.84,44.10,18.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,0.00,10.32,0.00,228.68,228.42,20.60,64.44,65.21,20.60,168.94,173.31,169.01,5.67,74.99,75.00,50.05,41.64,77.12,30.70,30.59,30.58,85.00,50.03,0.00,0.00,203.40,19.44,20.27
28.00,72.37,29.98,67.20,620.01,201.90,3.09,3.24,110.48,18.63,1.52,41.90,14.93,88.41,5.14,2.82,164.07,78.73,132.84,44.10,18.00,216.08,33.36,4.42,6.88,87.77,16.00,6.39,9.98,0.00,10.32,0.00,228.68,228.42,42.73,42.30,65.22,20.60,169.70,174.02,0.00,5.67,74.99,75.00,50.05,41.64,77.12,30.70,30.59,30.58,50.03,85.00,0.00,0.00,203.40,19.44,20.27
