"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
32.00,2.93,23.88,3.52,14.00,2.90,7.50,12.24,19.14,3.20,0.00,3.50,16.23,7.68,14.03,0.00,0.00,5.20,9.03,42.15,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,9.90,20.66,68.96,3.20,27.00,19.44,18.46,80.49,17.88,16.94,0.60,19.44,19.44,19.44,1.20,114.80,12.83,20.41,7.20,10.70,7.59,16.52,2.40,3.13,1.70,18.00,0.39,1.20,87.30,104.04,6.53,9.18,64.75,92.27,139.66,0.10,2.00,44.33,181.05,11.00,109.22,20.00,0.23,26.48,86.19
33.00,0.71,23.80,1.07,14.00,2.90,7.50,12.24,19.14,3.10,0.00,3.50,16.23,0.98,10.15,17.49,0.00,5.20,8.54,40.83,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,5.89,20.57,68.69,3.20,27.00,19.44,18.46,37.95,17.88,9.41,0.60,19.44,19.44,19.44,1.20,116.36,12.83,20.41,7.20,10.70,7.59,16.52,2.40,2.56,1.40,18.00,0.34,1.20,86.40,103.59,6.24,8.64,35.93,92.53,141.78,0.10,2.00,21.67,111.46,11.00,68.69,20.00,0.18,13.54,57.53
34.00,0.04,23.91,0.05,14.00,2.90,7.50,12.24,19.14,2.80,0.00,3.50,16.23,0.00,4.95,17.49,0.00,5.20,8.12,39.16,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,2.20,20.42,68.14,3.20,27.00,19.44,18.46,12.65,17.88,3.64,0.60,19.44,19.44,19.44,1.20,115.54,12.83,20.41,7.20,10.70,7.59,16.52,2.40,2.09,1.15,18.00,0.24,1.20,85.70,102.40,5.83,7.92,13.63,93.25,138.54,0.10,2.00,6.85,41.69,11.00,23.96,20.00,0.12,8.35,24.00
35.00,0.00,23.97,0.00,14.00,2.90,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,1.41,17.49,0.00,5.20,7.80,35.74,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.29,20.77,66.96,3.20,27.00,19.44,18.46,1.88,17.88,0.59,0.60,19.44,19.44,19.44,1.20,112.14,12.83,20.41,7.20,10.70,7.59,16.52,2.40,1.57,0.96,18.00,0.08,1.20,88.60,101.80,4.84,6.55,2.26,93.63,125.01,0.00,2.00,0.95,5.39,11.00,3.64,20.00,0.06,3.16,1.49
36.00,0.00,23.92,0.00,14.00,2.90,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.20,17.49,0.00,5.20,7.66,32.69,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,20.99,65.43,3.20,27.00,19.44,18.46,0.20,17.88,0.04,0.60,19.44,19.44,19.44,1.20,106.32,12.83,20.41,7.20,10.70,7.59,16.52,2.40,1.21,0.90,18.00,0.04,1.20,90.70,101.57,3.84,5.34,0.25,93.54,107.93,0.00,2.00,0.06,0.34,11.00,0.17,20.00,0.03,1.58,0.00
37.00,0.00,23.86,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,7.83,30.63,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,20.73,63.73,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,97.16,12.83,20.41,7.20,10.70,7.59,16.52,2.40,1.01,0.90,18.00,0.00,1.20,91.20,101.51,3.10,4.52,0.00,92.65,91.12,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
38.00,0.00,23.81,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,8.17,31.95,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,20.09,63.08,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,89.32,12.83,20.41,7.20,10.70,7.59,16.52,2.40,1.01,0.89,18.00,0.00,1.20,86.60,101.34,2.67,4.07,0.00,91.52,83.28,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
39.00,0.00,23.67,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,8.15,34.27,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,20.07,63.82,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,83.09,12.83,20.41,7.20,10.70,7.59,16.52,2.40,1.05,0.79,18.00,0.00,1.20,81.60,101.16,2.50,3.85,0.00,90.80,80.55,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
40.00,0.00,23.88,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,8.01,31.99,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,20.06,62.15,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,72.13,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.97,0.73,18.00,0.00,1.20,78.10,101.54,2.41,3.72,0.00,89.12,69.52,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
41.00,0.00,23.67,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,7.53,28.78,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,19.99,59.47,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,63.21,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.75,0.69,18.00,0.00,1.20,74.40,101.38,2.24,3.32,0.00,88.14,60.66,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
42.00,0.00,23.73,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,6.87,25.43,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,19.90,56.49,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,55.92,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.58,0.67,18.00,0.00,1.20,70.00,100.93,2.03,2.85,0.00,87.50,53.16,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
43.00,0.00,23.78,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,6.66,22.49,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,19.03,52.64,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,47.57,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.60,0.66,18.00,0.00,1.20,65.20,100.72,1.98,2.71,0.00,84.87,45.11,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
44.00,0.00,23.83,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,6.67,20.24,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,18.05,49.46,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,40.28,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.66,0.64,18.00,0.00,1.20,60.10,99.68,1.94,2.59,0.00,82.71,37.89,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
45.00,0.00,23.74,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,6.82,18.53,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,17.36,48.04,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,35.46,12.83,20.41,7.20,10.70,7.59,16.52,2.40,0.75,0.62,18.00,0.00,1.20,54.70,96.90,1.81,2.30,0.00,83.05,33.09,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
46.00,0.00,23.71,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,6.79,18.56,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,17.94,50.25,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,34.80,12.83,20.41,7.20,10.70,7.59,16.52,2.40,1.09,0.65,18.00,0.00,1.20,52.50,91.13,1.61,1.93,0.00,88.13,32.67,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
47.00,0.00,23.85,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,6.23,19.71,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,19.38,51.93,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,32.44,12.83,20.41,7.20,10.70,7.59,16.52,2.40,1.42,0.74,18.00,0.00,1.20,49.30,83.80,1.51,1.88,0.00,92.22,30.88,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
48.00,0.00,23.85,0.00,14.00,4.20,7.50,12.24,19.14,2.70,0.00,3.50,16.23,0.00,0.00,17.49,0.00,5.20,5.95,18.63,8.00,10.00,12.24,3.40,19.24,19.24,19.44,19.44,2.80,0.00,19.08,48.84,3.20,27.00,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,1.20,25.15,12.83,20.41,7.20,10.70,7.59,16.52,2.40,1.31,0.72,18.00,0.00,1.20,44.40,76.56,1.35,1.72,0.00,90.09,23.79,0.00,2.00,0.00,0.00,11.00,0.00,20.00,0.00,0.00,0.00
