"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
29.00,12.05,18.34,11.80,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,10.41,16.76,3.10,7.20,31.00,81.00,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,12.99,12.18,23.20,0.00,26.10,3.20,10.98,110.00,9.20,29.59,0.60,8.00,8.00,8.00,2.30,82.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,16.76,15.23,9.50,1.00,0.37,50.38,70.34,6.25,5.42,79.20,68.44,82.00,0.00,1.35,63.67,230.12,10.63,155.40,12.14,0.41,38.09,70.68,13.39
30.00,10.00,18.36,10.00,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,10.08,16.71,3.10,7.20,31.00,81.00,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,12.87,12.85,22.60,0.00,26.70,3.20,11.00,108.00,9.20,29.15,0.60,8.00,8.00,8.00,2.30,91.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,16.68,15.28,9.50,0.93,0.37,51.75,70.94,6.45,5.30,77.76,68.82,91.00,0.00,1.38,56.04,226.07,10.63,148.69,12.14,0.41,37.84,65.43,13.13
31.00,8.98,18.22,8.45,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,8.17,16.47,3.10,7.20,30.00,82.00,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,12.53,12.11,21.40,0.00,26.30,3.20,10.97,100.00,9.20,27.82,0.60,8.00,8.00,8.00,2.30,98.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,16.46,15.27,9.50,0.78,0.38,50.38,70.22,6.86,5.48,72.00,67.46,98.00,0.00,1.36,46.95,219.63,10.63,138.03,12.14,0.38,37.83,58.41,13.00
32.00,6.02,18.06,5.85,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,6.30,15.80,3.10,7.20,30.00,82.00,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,11.72,12.63,20.20,0.00,26.50,3.20,10.98,86.00,9.20,23.15,0.60,8.00,8.00,8.00,2.30,102.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,16.32,15.01,9.50,0.57,0.38,46.80,72.52,5.76,5.50,61.92,65.03,102.00,0.00,1.38,35.45,209.66,10.63,117.19,12.14,0.33,36.21,50.55,12.61
33.00,4.81,18.01,4.06,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,2.58,14.15,0.00,7.20,30.00,81.00,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,10.21,12.67,18.80,0.00,26.90,3.20,10.97,66.00,9.20,13.83,0.60,8.00,8.00,8.00,2.30,105.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,16.11,15.02,9.50,0.49,0.37,50.33,69.88,6.10,5.46,47.52,63.61,105.00,0.00,1.41,22.27,169.64,10.63,73.17,12.14,0.25,25.98,32.47,6.70
34.00,1.55,18.15,1.45,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.56,9.00,0.00,7.20,30.00,81.00,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,4.96,12.40,17.40,0.00,26.90,3.20,10.95,39.00,9.20,5.57,0.60,8.00,8.00,8.00,2.30,108.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,16.33,15.10,9.50,0.34,0.37,48.19,69.83,6.65,5.26,28.08,61.26,108.00,0.00,1.43,9.92,97.33,10.63,28.70,12.14,0.16,14.72,14.16,1.57
35.00,0.85,18.15,0.48,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.04,2.67,0.00,7.20,30.00,81.00,6.40,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,0.95,12.51,17.10,0.00,27.20,3.20,10.95,10.00,9.20,1.10,0.60,8.00,8.00,8.00,2.30,106.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,16.02,15.09,9.50,0.12,0.40,50.62,67.20,5.99,4.81,7.20,60.15,106.00,0.00,1.46,2.62,28.55,10.63,5.31,12.14,0.06,4.46,3.39,0.89
36.00,0.00,17.60,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.10,0.00,7.20,30.00,81.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.05,11.95,16.90,0.00,27.40,3.20,10.96,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,100.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.98,15.07,9.50,0.06,0.41,50.39,66.65,6.74,4.88,0.00,56.38,100.00,0.00,1.48,0.00,1.01,10.63,0.00,12.14,0.03,0.00,0.00,0.86
37.00,0.00,17.81,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,0.00,7.20,29.00,75.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,12.15,17.10,0.00,27.70,3.20,10.95,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,91.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,16.09,15.20,9.50,0.00,0.41,50.50,63.30,5.92,4.87,0.00,56.99,91.00,0.00,1.57,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.18
38.00,0.00,18.71,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,0.00,7.20,29.00,75.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,12.61,17.30,0.00,27.80,3.20,10.96,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,77.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.71,14.96,9.50,0.00,0.42,49.88,63.03,5.97,4.54,0.00,57.22,77.00,0.00,1.66,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
