"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE"
1.00,0.00,17.11,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,10.81,37.58,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,11.82,22.72,2.60,26.80,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,24.00,11.80,13.66,3.50,10.80,7.49,8.60,2.40,1.45,1.33,18.90,0.00,0.00,0.00,0.00,63.81,70.94,1.00,1.25,0.00,40.92,19.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
2.00,0.00,17.11,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,10.81,37.58,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,11.82,21.16,2.60,26.80,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,19.00,11.80,13.66,3.50,10.80,7.49,8.60,2.40,1.45,1.33,18.90,0.00,0.00,0.00,0.00,63.81,70.94,1.00,1.25,0.00,38.98,15.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
3.00,0.00,17.57,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,11.77,39.13,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,11.42,19.55,2.60,26.80,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,16.00,11.80,13.66,3.50,10.80,7.49,8.60,2.40,1.15,0.95,18.90,0.00,0.00,0.00,0.00,56.26,61.47,0.91,1.17,0.00,37.99,13.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
4.00,0.00,17.66,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,12.68,40.94,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,11.17,18.11,2.60,26.80,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,15.00,11.80,13.66,3.50,10.80,7.49,8.60,2.40,0.99,0.75,18.90,0.00,0.00,0.00,0.00,56.26,61.47,0.84,1.11,0.00,37.00,12.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
5.00,0.00,17.71,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,13.46,41.61,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,11.09,16.84,2.60,26.90,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,14.00,11.80,13.66,3.50,10.80,7.49,8.60,2.40,0.92,0.67,18.90,0.00,0.00,0.00,0.00,47.58,51.47,0.75,0.95,0.00,36.92,11.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
6.00,0.00,17.57,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,14.19,41.89,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,11.06,16.00,2.60,26.90,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,13.00,11.80,13.66,3.50,10.80,7.49,8.60,2.40,0.89,0.62,18.90,0.00,0.00,0.00,0.00,47.58,51.47,0.65,0.77,0.00,36.84,10.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
7.00,0.00,17.78,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,15.27,41.44,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,10.95,15.60,2.60,26.90,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,12.00,11.80,13.66,3.50,10.80,7.49,8.60,2.40,0.83,0.56,18.90,0.00,0.00,0.00,0.00,30.31,33.82,0.62,0.73,0.00,36.96,10.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
8.00,0.00,17.69,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,16.45,40.75,8.00,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,10.80,15.49,2.60,26.90,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,12.00,11.80,13.66,3.50,10.80,7.49,8.60,2.40,0.75,0.49,18.90,0.00,0.00,0.00,0.00,30.31,33.82,0.62,0.73,0.00,37.08,11.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
9.00,0.00,17.83,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,17.56,0.00,0.00,17.61,38.55,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,10.85,15.68,2.60,26.90,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,12.00,11.80,13.66,3.50,10.80,7.49,8.60,2.40,0.92,0.64,18.90,0.00,0.00,0.00,0.00,18.46,20.68,0.63,0.76,0.00,37.27,11.00,0.00,2.00,0.00,0.00,11.00,0.00,23.00
10.00,0.01,17.81,0.05,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.11,0.10,17.56,0.00,0.00,18.74,35.84,7.90,0.00,4.80,2.50,17.95,14.24,13.66,17.56,1.40,0.00,10.97,15.96,2.60,27.00,19.51,18.05,2.69,18.05,0.62,0.60,19.51,19.51,19.51,2.40,12.00,11.80,13.66,3.50,10.80,7.49,8.60,2.40,1.18,0.85,18.90,0.00,0.00,0.00,0.00,18.46,20.68,0.64,0.81,2.15,37.45,11.00,0.00,2.00,0.28,0.00,11.00,0.00,23.00
