"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CT AGROLMOS"
1.00,15.05,12.53,17.69,14.00,0.00,7.60,3.40,4.40,1.83,0.40,3.40,17.00,14.33,16.53,4.00,0.00,7.00,27.70,48.10,3.50,4.20,5.00,1.60,18.93,10.00,3.50,5.00,0.00,11.55,3.60,27.30,0.00,27.00,3.50,10.68,131.63,16.02,32.79,0.60,3.00,3.50,3.50,0.00,47.00,7.50,6.50,19.42,2.00,10.60,0.00,5.90,1.20,12.80,16.50,18.00,0.00,0.00,1.23,1.00,44.00,47.60,7.08,5.80,95.74,32.50,56.80,0.40,0.84,71.48,238.31,0.00,0.00
2.00,14.63,12.56,17.07,14.00,0.00,7.60,3.40,4.40,1.83,0.40,3.40,17.00,13.97,16.54,4.00,0.00,7.00,28.70,51.60,3.50,4.20,5.00,1.60,18.93,10.00,3.50,5.00,0.00,11.36,4.70,34.00,0.00,27.00,3.50,10.68,131.48,16.02,32.84,0.60,3.00,3.50,3.50,0.00,53.40,7.50,6.50,19.42,2.00,10.60,0.00,5.90,1.20,12.80,16.50,18.00,0.00,0.00,1.23,1.00,45.60,48.70,7.35,6.04,95.11,35.90,62.30,0.40,0.84,71.27,229.52,0.00,0.00
3.00,14.03,12.48,15.95,14.00,0.00,7.60,3.40,4.40,1.84,0.40,3.40,17.00,13.21,16.49,4.00,0.00,7.00,30.20,56.30,3.50,4.20,5.00,1.60,18.93,10.00,3.50,5.00,0.00,10.98,6.40,39.20,0.00,27.00,3.50,10.68,130.94,16.02,32.97,0.60,3.00,3.50,3.50,0.00,54.20,7.50,6.50,19.42,2.00,10.60,0.00,5.90,1.20,12.80,16.50,18.00,0.00,0.00,1.23,1.00,53.00,54.50,7.54,6.31,94.13,39.00,65.70,0.30,0.84,70.63,232.23,0.00,0.00
4.00,13.35,12.47,14.41,14.00,0.00,7.60,3.40,4.40,1.84,0.40,3.40,17.00,10.38,16.24,4.00,0.00,7.00,31.50,60.30,3.40,4.20,5.00,1.60,18.93,10.00,3.50,5.00,0.00,10.20,8.20,44.10,0.00,27.00,3.50,10.68,129.95,16.02,33.05,0.60,3.00,3.50,3.50,0.00,56.60,7.50,6.50,19.42,2.00,10.60,0.00,5.90,1.20,12.60,16.50,18.00,0.00,0.00,1.04,1.00,55.70,61.00,7.70,6.59,92.92,41.50,70.50,0.20,0.84,68.69,245.78,0.00,0.00
5.00,12.70,11.93,12.54,14.00,0.00,7.60,3.40,4.40,1.83,0.40,3.40,17.00,6.93,15.73,4.00,0.00,7.00,31.40,61.20,0.00,4.20,5.00,1.60,18.93,10.00,3.50,5.00,0.00,8.87,10.20,50.20,0.00,27.00,3.50,10.68,127.86,16.02,32.85,0.60,3.00,3.50,3.50,0.00,61.90,7.50,6.50,19.42,2.00,10.60,0.00,5.90,1.20,12.40,16.70,18.00,0.00,0.00,1.01,1.00,58.50,67.80,8.06,7.02,90.65,47.00,78.20,0.20,0.84,65.47,245.45,0.00,0.00
6.00,11.96,11.64,10.12,14.00,0.00,7.60,3.40,4.40,1.83,0.40,3.40,17.00,4.49,14.82,4.00,0.00,7.00,31.20,62.00,0.00,4.20,5.00,1.60,18.93,10.00,3.50,5.00,0.00,7.91,12.00,57.40,0.00,27.00,3.50,10.68,123.02,16.02,31.98,0.60,3.00,3.50,3.50,0.00,66.30,7.50,6.50,19.42,2.00,10.60,0.00,5.90,1.20,12.10,16.80,18.00,0.00,0.00,0.94,1.00,61.30,69.90,8.48,7.49,87.68,52.60,85.20,0.10,0.84,61.05,230.23,0.00,0.00
7.00,11.27,11.68,7.18,14.00,0.00,7.60,3.40,4.40,1.83,0.40,3.40,17.00,3.41,13.52,4.00,0.00,7.00,31.80,63.80,0.00,4.20,5.00,1.60,18.93,10.00,3.50,5.00,0.00,7.07,13.60,62.10,0.00,27.00,3.50,10.68,112.66,16.02,28.90,0.60,3.00,3.50,3.50,0.00,67.00,7.50,6.50,19.42,2.00,10.60,0.00,5.80,1.20,11.80,16.80,18.00,0.00,0.00,0.79,1.00,64.00,72.10,8.97,8.07,81.61,58.10,88.80,0.10,0.84,51.30,214.02,0.00,0.00
8.00,10.46,11.54,4.34,14.00,0.00,7.60,3.40,4.40,1.83,0.40,3.40,17.00,1.64,11.27,4.00,0.00,7.00,31.40,66.00,0.00,4.20,5.00,1.60,18.93,10.00,3.50,5.00,0.00,5.17,15.10,66.40,0.00,27.00,3.50,10.68,77.00,16.02,18.14,0.60,3.00,3.50,3.50,0.00,77.30,7.50,6.50,19.42,2.00,10.60,0.00,5.80,1.20,11.40,16.80,18.00,0.00,0.00,0.57,1.00,67.20,74.10,9.48,8.68,63.99,62.30,100.80,0.10,0.88,34.56,196.10,0.00,0.00
9.00,9.30,11.20,1.86,14.00,0.00,7.60,3.40,4.40,1.83,0.40,3.40,17.00,0.09,7.44,4.00,0.00,7.00,31.50,69.80,0.00,4.20,5.00,1.60,18.93,10.00,3.50,5.00,0.00,1.37,16.30,68.50,0.00,27.00,3.50,10.68,33.54,16.02,7.72,0.60,3.00,3.50,3.50,0.00,86.80,7.50,6.50,19.42,2.00,10.60,0.00,5.80,1.20,11.10,16.50,18.00,0.00,0.00,0.49,1.00,70.50,76.00,9.73,9.02,32.73,66.10,108.50,0.10,0.96,14.03,152.38,0.00,0.00
10.00,6.82,11.83,0.20,14.00,0.00,7.60,3.40,4.40,1.83,0.40,3.40,17.00,0.00,2.61,4.00,0.00,7.00,31.50,72.80,0.00,4.20,5.00,1.60,18.93,10.00,3.50,5.00,0.00,0.10,17.40,70.30,0.00,27.00,3.50,10.68,6.84,16.02,1.11,0.60,3.00,3.50,3.50,0.00,86.30,7.50,6.50,19.42,2.00,10.60,0.00,5.80,1.20,10.60,16.20,18.00,0.00,0.00,0.34,1.00,71.10,77.60,9.89,9.27,7.89,68.50,104.80,0.10,1.00,2.81,84.60,0.00,0.00
11.00,0.51,12.00,0.00,14.00,0.00,7.60,3.40,4.40,1.83,0.40,3.40,17.00,0.00,0.23,4.00,0.00,7.00,31.40,74.20,8.00,4.20,5.00,1.60,18.93,10.00,3.50,5.00,0.00,0.00,18.40,71.60,0.00,27.00,3.50,10.68,0.25,16.02,0.00,0.60,3.00,3.50,3.50,0.00,95.40,7.50,6.50,19.42,2.00,10.60,0.00,5.80,1.20,10.00,15.90,18.00,0.00,0.00,0.12,1.00,70.80,79.10,10.01,9.13,0.33,70.50,106.20,0.00,1.08,0.14,35.75,0.00,0.00
