"ETAPA \ GENERADOR","KALLPACC123GAS","CHILCA1CC123GAS","OLLEROSTG1GAS","STAROSA TG8 GAS","FENIXCCGT11GT12GAS","VENTCC34GASFD"
1.00,0.00,0.00,0.00,0.00,127.60,0.00
2.00,0.00,0.00,0.00,0.00,118.35,0.00
3.00,0.00,0.00,0.00,0.00,0.00,0.00
4.00,0.00,0.00,0.00,0.00,0.00,0.00
5.00,0.00,0.00,0.00,0.00,127.60,0.00
6.00,0.00,0.00,0.00,0.00,127.60,0.00
7.00,0.00,0.00,0.00,0.00,0.00,0.00
8.00,0.00,0.00,0.00,0.00,0.00,0.00
9.00,0.00,0.00,0.00,0.00,110.58,0.00
10.00,0.00,0.00,0.00,0.00,0.00,0.00
11.00,0.00,0.00,0.00,0.00,0.00,0.00
12.00,0.00,0.00,0.00,0.00,107.84,0.00
13.00,0.00,0.00,0.00,0.00,115.36,0.00
14.00,0.00,0.00,0.00,0.00,120.86,0.00
15.00,0.00,0.00,0.00,0.00,118.55,0.00
16.00,0.00,0.00,0.00,0.00,120.86,0.00
17.00,0.00,0.00,0.00,0.00,115.38,0.00
18.00,0.00,0.00,0.00,0.00,120.12,0.00
19.00,0.00,0.00,0.00,0.00,0.00,0.00
20.00,0.00,0.00,0.00,0.00,120.86,0.00
21.00,0.00,0.00,0.00,0.00,0.00,0.00
22.00,0.00,0.00,0.00,0.00,121.18,0.00
23.00,0.00,0.00,0.00,0.00,0.00,0.00
24.00,0.00,0.00,0.00,0.00,127.10,0.00
25.00,0.00,0.00,0.00,0.00,0.00,0.00
26.00,0.00,0.00,0.00,0.00,0.00,0.00
27.00,0.00,0.00,0.00,0.00,118.12,0.00
28.00,0.00,0.00,0.00,0.00,121.05,0.00
29.00,0.00,0.00,0.00,0.00,127.60,0.00
30.00,0.00,0.00,0.00,0.00,127.60,0.00
31.00,0.00,0.00,0.00,0.00,120.76,0.00
32.00,0.00,0.00,0.00,0.00,127.07,0.00
33.00,0.00,0.00,0.00,0.00,0.00,0.00
34.00,0.00,0.00,0.00,0.00,0.00,0.00
35.00,0.00,0.00,0.00,0.00,127.12,0.00
36.00,0.00,0.00,0.00,0.00,127.14,0.00
37.00,0.00,0.00,0.00,0.00,127.60,0.00
38.00,0.00,0.00,0.00,0.00,127.60,0.00
39.00,0.00,0.00,0.00,0.00,127.60,0.00
40.00,0.00,0.00,0.00,0.00,127.60,0.00
41.00,0.00,0.00,0.00,0.00,127.60,0.00
42.00,0.00,0.00,0.00,0.00,127.60,0.00
43.00,0.00,0.00,0.00,0.00,127.60,0.00
44.00,0.00,0.00,0.00,0.00,127.60,0.00
45.00,0.00,0.00,0.00,0.00,127.60,0.00
46.00,0.00,0.00,0.00,0.00,127.60,0.00
47.00,0.00,0.00,0.00,0.00,124.59,0.00
48.00,0.00,0.00,0.00,0.00,0.00,0.00
