"ETAPA","G. HIDRO","G. TERMICA","G. RER Y NO COES","EXCESO","DEFICIT","DEMANDA","PERDIDAS"
1.00,4181.79,1709.75,876.12,0.00,0.00,6580.97,186.69
2.00,4057.03,1702.72,886.91,0.00,0.00,6460.39,186.26
3.00,3950.41,1699.32,874.72,0.00,0.00,6343.14,181.31
4.00,3875.64,1699.32,868.87,0.00,0.00,6264.10,179.73
5.00,3839.09,1700.95,874.05,0.00,0.00,6232.78,181.32
6.00,3792.31,1700.95,882.33,0.00,0.00,6191.91,183.69
7.00,3737.62,1699.32,888.43,0.00,0.00,6143.15,182.22
8.00,3667.35,1699.32,893.87,0.00,0.00,6074.91,185.63
9.00,3722.09,1700.95,860.96,0.00,0.00,6098.78,185.23
10.00,3725.73,1699.32,856.14,0.00,0.00,6108.59,172.60
11.00,3661.47,1700.70,876.08,0.00,0.00,6066.42,171.83
12.00,3411.23,1699.92,976.16,0.00,0.00,5937.05,150.26
13.00,2907.14,1969.92,1064.72,0.00,0.00,5804.48,137.30
14.00,3068.35,1699.92,1137.45,0.00,0.00,5773.59,132.13
15.00,2791.70,1969.92,1184.76,0.00,0.00,5822.75,123.63
16.00,3220.88,1698.89,1216.57,0.00,0.00,5985.87,150.47
17.00,3048.03,1967.87,1262.81,0.00,0.00,6106.87,171.84
18.00,3353.21,1697.87,1286.64,0.00,0.00,6170.48,167.25
19.00,3204.63,1965.23,1327.62,0.00,0.00,6318.65,178.82
20.00,3469.28,1698.46,1360.33,0.00,0.00,6359.73,168.33
21.00,3249.34,1965.23,1409.91,0.00,0.00,6449.22,175.25
22.00,3552.65,1696.19,1440.53,0.00,0.00,6520.47,168.91
23.00,3263.67,1964.22,1462.14,0.00,0.00,6514.97,175.06
24.00,3567.86,1694.85,1493.42,0.00,0.00,6582.39,173.75
25.00,3285.07,1963.22,1523.44,0.00,0.00,6595.44,176.28
26.00,3498.96,1692.22,1544.62,0.00,0.00,6571.28,164.52
27.00,3200.08,1963.86,1553.42,0.00,0.00,6536.44,180.91
28.00,3446.84,1693.86,1554.53,0.00,0.00,6522.11,173.11
29.00,3184.25,1963.86,1528.54,0.00,0.00,6499.11,177.54
30.00,3465.99,1693.86,1513.70,0.00,0.00,6502.93,170.62
31.00,3204.04,1966.12,1486.72,0.00,0.00,6481.05,175.84
32.00,3518.47,1694.85,1435.54,0.00,0.00,6473.65,175.21
33.00,3391.01,1963.22,1320.76,0.00,0.00,6484.13,190.85
34.00,3767.00,1693.22,1219.65,0.00,0.00,6484.98,194.89
35.00,3917.81,1692.77,1112.11,0.00,0.00,6531.48,191.21
36.00,4092.61,1693.79,1080.65,0.00,0.00,6678.77,188.28
37.00,4179.86,1989.25,1064.08,0.00,0.00,7035.10,198.08
38.00,4248.78,2193.64,1045.34,0.00,0.00,7283.29,204.48
39.00,4265.07,2283.15,1027.67,0.00,0.00,7365.52,210.37
40.00,4280.45,2338.73,1011.29,0.00,0.00,7417.64,212.84
41.00,4293.61,2358.23,988.75,0.00,0.00,7426.68,213.91
42.00,4268.77,2323.09,949.88,0.00,0.00,7330.39,211.36
43.00,4213.58,2278.90,927.53,0.00,0.00,7209.78,210.23
44.00,4213.58,2171.09,906.63,0.00,0.00,7085.79,205.51
45.00,4212.45,1982.86,874.34,0.00,0.00,6872.14,197.51
46.00,4212.45,1751.56,844.76,0.00,0.00,6619.46,189.31
47.00,4166.85,1696.87,832.10,0.00,0.00,6505.84,189.97
48.00,4035.46,1695.23,825.22,0.00,0.00,6371.48,184.45
