"ANEXO 2. HIDROLOGIA DE LAS CENTRALES HIDROELECTRICAS DE GENERACION "

"--------------------------------------------------------------------------------------------------------------------------------------------------"

"RESULTADO DE LAS CENTRALES"
"Los caudales estan en m3/s"

"CENTRALES","CAUDAL","CAUDAL","CAUDAL","CAUDAL"
" ","NATURAL","ENTRANTE","TURBINADO","VERTIDO"
"CALLAHUANCA",0.0,22.4,21.5,0.2
"HUAMPANI",0.0,24.7,13.4,7.8
"MOYOPAMPA",0.0,24.8,18.9,1.6
"MANTARO",0.0,101.0,101.0,0.0
"RESTITUCION",0.0,101.0,55.9,21.0
"OROYA",3.0,0.9,3.9,0.0
"PACHACHACA",0.9,0.0,0.9,0.0
"YAUPI",5.0,25.3,18.4,3.1
"HUANCHOR",16.0,0.0,3.6,6.9
"PARIAC",2.3,0.0,2.3,0.0
"YANANGO",13.3,0.0,13.1,0.1
"CHARCANI IV",0.0,12.9,9.0,3.9
"CHARCANI V",0.0,13.6,13.6,0.0
"CHARCANI VI",0.0,12.9,0.0,21.7
"ARICOTA I",0.8,0.0,0.8,0.0
"MACHUPICCHU",110.2,0.0,54.7,18.3
"SAN GABAN II",0.0,19.5,19.5,0.0
"YUNCAN",0.0,25.3,19.3,1.3
"CAHUA",32.3,0.0,23.8,4.5
"MALPASO",0.0,60.3,60.3,0.0
"CANON DEL PATO",0.0,113.0,70.3,12.2
"GALLITO CIEGO",15.1,0.0,14.8,0.4
"ARCATA",0.1,0.0,0.1,0.0
"CHARCANI 123",0.0,13.4,2.3,16.4
"SANTA TERESA",0.0,54.7,52.0,1.6
"QUITARACSA",0.0,10.5,10.5,0.0
"PCH CHAGLLA",3.7,0.0,2.0,1.0
"CH CARHUAQUERO IV",0.0,1.7,1.4,0.1
"HUANZA",0.0,5.0,5.0,0.0
"MCH CERRO DEL AGUILA",10.6,0.0,10.4,0.4
"CARHUAC",0.0,5.0,4.5,0.4
"CHAGLLA G1",0.0,66.4,66.4,0.0
"CHAGLLA G2",0.0,40.2,40.2,0.0
"HUINCO G1",0.0,2.3,2.3,0.0
"HUINCO G2",0.0,3.8,3.8,0.0
"HUINCO G3",0.0,4.5,4.5,0.0
"HUINCO G4",0.0,2.3,2.3,0.0
"CERRO DEL AGUILA G1",0.0,65.2,65.2,0.0
"CERRO DEL AGUILA G2",0.0,75.1,75.1,0.0
"CERRO DEL AGUILA G3",0.0,63.3,63.3,0.0
"CH CANA BRAVA",0.0,4.7,4.7,0.0
"CHIMAY G1",0.0,45.0,45.0,0.0
"CHIMAY G2",0.0,43.3,43.3,0.0
"MATUCANA G1",0.0,7.8,7.8,0.0
"MATUCANA G2",0.0,7.3,7.3,0.0
"LA VIRGEN",7.8,13.3,20.7,0.1
"CARHUAQUERO G1",0.0,0.5,0.5,0.0
"CARHUAQUERO G2",0.0,2.0,2.0,0.0
"CARHUAQUERO G3",0.0,0.5,0.5,0.0
"CHEVES G1",0.0,16.8,16.8,0.0
"CHEVES G2",0.0,0.0,0.0,0.0
"PLATANAL G1",0.0,22.0,19.6,0.4
"PLATANAL G2",0.0,22.3,20.0,0.4

"ANEXO 2. HIDROLOGIA DE LAS CENTRALES HIDROELECTRICAS DE GENERACION "

"--------------------------------------------------------------------------------------------------------------------------------------------------"

"RESULTADO DE LOS EMBALSES"
"Los volumenes estan en Hm3 y los caudales en m3/s"

"EMBALSES","VOLUMEN","VOLUMEN"," ","CAUDAL","CAUDAL","CAUDAL","RIEGO","CAUDAL"
