"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
25.00,0.00,23.43,14.47,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,13.29,14.49,9.00,0.00,7.80,17.06,55.02,7.82,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,12.27,15.43,55.08,3.52,28.12,17.32,18.46,118.00,5.70,28.90,0.60,15.55,17.49,17.69,2.00,53.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,13.22,14.50,18.94,1.12,0.17,65.84,71.26,8.18,4.71,84.96,71.65,67.00,0.40,2.52,69.13,201.59,11.00,169.21,17.50,0.43,39.42,84.12
26.00,0.00,23.40,13.34,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,13.38,14.40,9.00,0.00,7.80,17.58,58.12,7.84,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,12.28,15.97,57.28,3.52,28.12,17.31,18.46,118.00,5.70,29.65,0.60,15.55,17.49,17.69,2.00,67.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,13.24,14.49,18.94,1.12,0.16,66.69,72.61,7.54,5.03,84.96,74.17,78.00,0.40,2.56,67.72,198.70,11.00,169.51,17.50,0.41,39.48,84.12
27.00,0.00,23.40,12.80,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,12.48,14.10,9.00,0.00,7.80,19.09,60.56,3.82,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,12.08,16.12,57.89,3.52,28.12,17.31,18.46,118.00,5.70,29.77,0.60,15.55,17.49,17.69,2.00,79.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,12.61,14.13,18.94,1.12,0.15,74.24,77.63,9.57,5.92,84.96,74.86,88.00,0.30,2.56,67.15,200.86,11.00,170.75,17.50,0.39,39.54,85.04
28.00,0.00,23.46,10.91,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,12.19,13.85,9.00,0.00,7.80,19.56,61.94,7.50,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,11.90,16.37,58.68,3.52,28.12,17.13,18.46,118.00,5.70,29.78,0.60,15.55,17.49,17.69,2.00,89.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,12.84,14.01,18.94,0.94,0.15,74.67,77.70,9.75,6.04,84.96,73.82,98.00,0.20,2.60,64.42,197.66,11.00,172.49,17.50,0.36,39.54,86.45
29.00,0.00,23.55,10.04,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,11.40,13.58,9.00,0.00,7.80,20.32,62.93,7.83,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,11.70,16.34,58.68,3.52,28.12,16.84,18.46,118.00,5.70,29.19,0.60,15.55,17.49,17.69,2.00,99.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,11.70,13.39,18.85,0.91,0.15,80.04,81.24,10.96,6.79,84.96,74.03,108.00,0.20,2.56,62.33,195.53,11.00,173.14,17.50,0.33,39.54,87.37
30.00,0.00,23.39,8.04,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,11.30,13.65,9.00,0.00,7.80,20.74,63.49,7.85,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,11.61,16.44,59.20,3.52,28.12,16.86,18.46,118.00,5.70,26.22,0.60,15.55,17.49,17.69,2.00,107.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,11.76,13.22,18.85,0.86,0.00,80.85,82.06,10.49,6.97,84.96,73.56,116.00,0.10,2.52,61.67,198.32,11.00,170.31,17.50,0.28,32.47,85.95
31.00,0.00,23.46,6.54,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,8.95,12.74,9.00,0.00,7.80,21.19,61.59,7.82,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,10.80,16.77,59.57,3.52,28.12,16.85,18.46,107.00,5.70,21.96,0.60,15.55,17.49,17.69,2.00,113.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,11.97,12.88,18.94,0.72,0.00,81.00,81.44,10.69,7.24,77.04,75.59,122.00,0.10,2.56,55.34,187.42,11.00,160.64,17.50,0.24,25.40,81.41
32.00,0.00,23.33,3.74,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,6.42,10.81,9.00,0.00,7.80,21.07,60.54,7.83,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,9.03,17.36,60.47,3.52,28.12,16.48,18.46,87.00,5.70,15.83,0.60,15.55,17.49,17.69,2.00,116.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,12.48,12.94,18.84,0.52,0.00,82.09,82.37,11.13,7.25,62.64,76.95,126.00,0.10,2.56,40.30,147.77,11.00,136.48,17.50,0.18,18.80,75.09
33.00,0.00,23.51,2.10,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,2.28,5.47,9.00,0.00,7.80,20.98,60.25,7.83,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,4.44,17.10,60.04,3.52,28.12,16.48,18.46,58.00,5.70,8.68,0.60,15.55,17.49,17.69,2.00,118.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,11.67,12.41,18.84,0.45,0.12,82.67,82.31,10.64,7.43,41.76,74.46,129.00,0.10,2.60,21.40,76.22,11.00,78.19,17.50,0.13,12.19,46.06
34.00,0.00,23.43,0.79,0.00,4.50,7.10,5.00,19.14,0.00,0.40,3.30,0.00,0.42,0.80,9.00,0.00,7.80,20.90,60.04,7.85,7.50,3.80,5.00,19.44,19.44,16.03,19.44,1.30,0.74,17.15,59.57,3.52,28.12,16.36,18.46,22.00,5.70,3.22,0.60,15.55,17.49,17.69,2.00,120.00,12.83,17.49,6.60,10.70,0.00,14.09,0.00,11.73,12.43,18.83,0.31,0.18,82.50,82.47,11.16,7.17,15.84,73.93,129.00,0.10,2.64,6.99,13.26,11.00,25.02,17.50,0.08,6.48,16.21
