"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","WAYRASOLAR"
1.00,0.00,19.48,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,0.00,0.00,3.10,3.20,6.40,3.65,7.38,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.00,8.09,24.54,2.00,28.12,3.50,11.36,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,0.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,11.53,9.69,9.50,0.00,0.41,33.83,18.12,2.39,2.14,0.00,22.89,0.47,0.10,1.42,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
2.00,0.00,19.42,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,0.00,0.00,3.10,3.20,6.40,3.38,8.58,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.00,8.39,24.50,2.00,28.12,3.50,11.37,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,0.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,11.02,9.56,9.50,0.00,0.41,34.64,19.38,2.84,2.27,0.00,25.80,0.47,0.20,1.41,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.08
3.00,0.00,19.67,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,0.00,0.00,3.10,3.20,6.40,3.82,9.39,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.00,8.65,25.03,2.00,28.12,3.50,11.37,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,0.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,10.51,9.42,9.50,0.00,0.41,35.45,20.62,3.29,2.41,0.00,28.80,0.47,0.20,1.39,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.10
4.00,0.02,19.75,0.03,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,0.00,0.05,3.10,3.20,6.40,4.38,10.24,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,0.16,9.16,25.81,2.00,28.12,3.50,11.36,0.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,0.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,10.00,9.28,9.50,0.00,0.41,36.26,21.86,3.73,2.55,0.00,34.31,0.47,0.30,1.38,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.62
5.00,2.09,19.94,1.32,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,0.97,2.10,3.10,3.20,6.40,4.49,12.05,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,2.55,9.67,26.99,2.00,28.12,3.50,11.36,4.00,14.49,0.00,0.60,2.90,3.40,3.50,1.15,0.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,9.49,9.14,9.50,0.04,0.41,50.53,21.90,4.61,2.68,2.88,37.27,0.47,0.30,1.36,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.71
6.00,4.77,19.89,3.63,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,0.97,7.95,3.10,3.20,6.40,5.00,13.37,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,7.65,9.94,27.99,2.00,28.12,3.50,11.36,26.00,14.49,0.39,0.60,2.90,3.40,3.50,1.15,0.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,8.98,9.01,9.50,0.07,0.41,61.34,21.94,5.06,2.82,18.72,39.78,0.47,0.30,1.35,0.00,1.19,10.63,0.00,12.14,0.03,0.50,0.00,1.23
7.00,6.04,19.92,5.74,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,3.46,13.02,0.00,3.20,6.40,5.49,16.86,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,10.99,10.85,30.88,2.00,28.12,3.50,11.36,59.00,14.49,9.72,0.60,2.90,3.40,3.50,1.15,0.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,11.20,11.97,9.50,0.08,0.41,62.15,24.69,5.50,2.95,42.48,44.05,5.54,0.40,1.34,7.98,39.81,10.63,29.78,12.14,0.07,12.34,0.60,4.16
8.00,9.15,19.82,8.47,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,3.46,14.55,0.00,3.20,6.40,5.49,18.56,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.08,11.88,34.66,2.00,28.12,3.50,11.36,96.00,14.49,19.09,0.60,2.90,3.40,3.50,1.15,0.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,10.69,11.83,9.50,0.12,0.41,62.96,27.43,5.95,3.09,69.12,48.56,6.30,0.40,1.32,18.57,96.66,10.63,88.70,12.14,0.13,24.25,16.07,9.09
9.00,10.29,18.80,10.24,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,6.22,15.10,0.00,3.20,6.40,6.08,20.92,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.50,12.89,37.92,2.00,28.12,3.50,11.35,118.00,14.49,27.43,0.60,2.90,3.40,3.50,1.15,0.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,13.28,14.71,9.50,0.58,0.41,63.78,32.49,6.40,3.22,84.96,52.98,8.07,0.40,1.31,30.21,172.50,10.63,148.61,12.14,0.19,34.83,46.19,9.19
10.00,12.71,19.52,12.13,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,6.22,15.11,0.00,3.20,6.40,6.02,22.30,2.30,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.45,13.47,40.19,2.00,28.12,3.50,11.35,124.00,14.49,30.59,0.60,2.90,3.40,3.50,1.15,9.50,5.50,4.00,1.80,10.43,7.60,3.80,2.30,12.77,14.57,9.50,0.79,0.41,64.59,41.50,6.84,3.36,89.28,57.47,11.83,0.40,1.30,40.49,214.99,10.63,174.50,12.14,0.24,38.86,74.95,9.38
11.00,13.56,21.34,13.42,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,9.14,15.19,0.00,3.20,6.40,6.37,24.15,3.20,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.54,14.48,42.91,2.00,28.12,3.50,11.36,126.00,14.49,31.18,0.60,2.90,3.40,3.50,1.15,12.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,15.29,16.77,9.50,0.98,0.41,73.10,61.00,8.43,4.48,90.72,60.01,16.60,0.30,1.28,54.53,223.43,10.63,181.25,12.14,0.30,39.60,84.61,9.79
12.00,15.11,19.83,14.80,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,9.14,15.24,0.00,3.20,6.40,5.82,28.71,3.30,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.57,14.90,45.12,2.00,28.12,3.50,11.36,126.00,14.49,31.31,0.60,2.90,3.40,3.50,1.15,22.00,5.50,4.00,1.80,10.43,7.60,3.80,2.30,14.78,16.63,9.50,1.10,0.41,73.92,71.22,8.88,4.62,90.72,64.89,21.37,0.20,1.27,59.61,223.37,10.63,180.71,12.14,0.33,39.77,89.50,9.88
13.00,15.65,19.95,15.58,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,12.78,15.27,0.00,3.20,6.40,6.39,34.83,3.30,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.58,16.08,47.47,2.00,28.12,3.50,11.39,126.00,14.49,31.19,0.60,2.90,3.40,3.50,1.15,27.20,5.50,4.00,1.80,10.43,7.60,3.80,2.30,16.60,17.74,9.50,1.20,0.41,74.73,81.45,9.32,4.75,90.72,69.95,26.13,0.20,1.26,63.59,223.44,10.63,179.63,12.14,0.36,39.61,89.03,9.85
14.00,16.26,19.67,16.21,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,12.78,15.36,3.10,3.20,6.40,6.88,37.84,3.30,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.63,16.81,49.59,2.00,28.12,3.50,11.41,126.00,14.49,30.92,0.60,2.90,3.40,3.50,1.15,28.12,5.50,4.00,1.80,10.43,7.60,3.80,2.30,16.45,17.70,9.50,1.22,0.41,74.96,81.51,9.45,4.79,90.72,72.45,29.90,0.10,1.25,66.61,223.01,10.63,178.26,12.14,0.37,39.27,88.26,9.85
15.00,16.47,19.42,16.48,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,13.46,15.38,3.10,3.20,6.40,9.21,46.17,3.50,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.63,17.02,49.86,2.00,28.12,3.50,11.44,126.00,14.49,30.60,0.60,2.90,3.40,3.50,1.15,32.10,5.50,4.00,1.80,10.43,7.60,3.80,2.30,17.70,18.33,9.50,1.21,0.41,74.96,81.51,9.45,4.79,90.72,72.93,33.66,0.10,1.25,68.53,222.65,10.63,177.00,12.14,0.38,38.87,87.41,9.86
